FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216085,1001856,4/04/2024,266.56,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418688
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216087,1001856,4/04/2024,533.12,0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418690
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216088,1001856,4/04/2024,"2,360.96",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418691
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216090,1001856,4/04/2024,685.44,0.00,Homecare,20364,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418693
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216091,1001856,4/04/2024,"1,599.36",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418694
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216092,1001856,4/04/2024,"1,066.24",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418695
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216093,1001856,4/04/2024,266.56,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418696
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216095,1001856,4/04/2024,385.56,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418698
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216096,1001856,4/04/2024,799.68,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418699
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216097,1001856,4/04/2024,"1,180.48",0.00,Homecare,20156,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418700
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216098,1001856,4/04/2024,"2,132.48",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418701
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216099,1001856,4/04/2024,837.76,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418702
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216100,1001856,4/04/2024,952.00,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418703
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216102,1001856,4/04/2024,913.92,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418705
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216103,1001856,4/04/2024,533.12,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418706
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216105,1001856,4/04/2024,380.80,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418708
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216106,1001856,4/04/2024,"1,180.48",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418709
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216108,1001856,4/04/2024,"1,066.24",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418712
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216109,1001856,4/04/2024,"1,142.40",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418713
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216110,1001856,4/04/2024,"1,865.92",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418714
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216111,1001856,4/04/2024,342.72,0.00,Homecare,20140,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418715
LIST,Blackpool Council,Meridian Home And Social Care Ltd,216112,1001856,4/04/2024,609.28,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,418716
LIST,Blackpool Council,Delta Care Ltd,216114,1001590,4/04/2024,399.84,0.00,Homecare,20210,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,DC-00029389
LIST,Blackpool Council,CERA CARE OPERATIONS LTD,216117,1142001,4/04/2024,271.32,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,2040039689
LIST,Blackpool Council,Guardian Homecare,216118,1000403,4/04/2024,"1,247.12",0.00,Homecare,20296,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5233136
LIST,Blackpool Council,Routes Healthcare North Limited,216119,1001918,4/04/2024,274.72,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,298339
LIST,Blackpool Council,CERA CARE OPERATIONS LTD,216120,1142001,4/04/2024,271.32,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,2040040095
LIST,Blackpool Council,Routes Healthcare North Limited,216121,1001918,4/04/2024,266.56,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,299289
LIST,Blackpool Council,Routes Healthcare North Limited,216122,1001918,4/04/2024,704.48,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,299309
LIST,Blackpool Council,Routes Healthcare North Limited,216123,1001918,4/04/2024,266.56,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,299314
LIST,Blackpool Council,One Fylde,216124,1000353,4/04/2024,"5,238.90",0.00,Supported Living / Group Homes,20255,64507,Joint Authorities,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,49289
LIST,Blackpool Council,One Fylde,216125,1000353,4/04/2024,514.08,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,49293
LIST,Blackpool Council,One Fylde,216126,1000353,4/04/2024,698.44,0.00,Homecare,20256,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,49301
LIST,Blackpool Council,One Fylde,216127,1000353,4/04/2024,"1,323.36",0.00,Homecare,20269,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,49304
LIST,Blackpool Council,CERA CARE OPERATIONS LTD,216128,1142001,4/04/2024,271.32,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,2040040587
LIST,Blackpool Council,Routes Healthcare North Limited,216129,1001918,4/04/2024,266.56,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,300206
LIST,Blackpool Council,The Disabilities Trust,216131,1002311,4/04/2024,863.55,0.00,Supported Living / Group Homes,20348,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,CS0007585
LIST,Blackpool Council,CERA CARE OPERATIONS LTD,216132,1142001,4/04/2024,271.32,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,2040040983
LIST,Blackpool Council,Creative Support Ltd,216135,1001438,4/04/2024,561.68,0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,633688
LIST,Blackpool Council,MACINTYRE CARE,216137,1139903,4/04/2024,252.04,0.00,Other Day Services,20423,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,SINA/00031441
LIST,Blackpool Council,Achieve Together Ltd - Thornton Gate,216138,1005121,4/04/2024,406.99,0.00,Homecare,20063,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,947000412
LIST,Blackpool Council,Achieve Together Ltd - Thornton Gate,216139,1005121,4/04/2024,406.99,0.00,Homecare,20060,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,947000413
LIST,Blackpool Council,Northern Community Pathways,216141,1002695,4/04/2024,"1,660.71",0.00,Supported Living / Group Homes,20139,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,5845
LIST,Blackpool Council,I Care Gb Limited,216143,1000036,4/04/2024,333.20,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,458
LIST,Blackpool Council,I Care Gb Limited,216145,1000036,4/04/2024,523.60,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,460
LIST,Blackpool Council,I Care Gb Limited,216151,1000036,4/04/2024,266.56,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,467
LIST,Blackpool Council,I Care Gb Limited,216152,1000036,4/04/2024,533.12,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,468
LIST,Blackpool Council,I Care Gb Limited,216153,1000036,4/04/2024,533.12,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,469
LIST,Blackpool Council,I Care Gb Limited,216154,1000036,4/04/2024,"2,142.00",0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,470
LIST,Blackpool Council,I Care Gb Limited,216156,1000036,4/04/2024,752.08,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,472
LIST,Blackpool Council,I Care Gb Limited,216157,1000036,4/04/2024,"2,722.72",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,473
LIST,Blackpool Council,I Care Gb Limited,216158,1000036,4/04/2024,952.00,0.00,Homecare,20349,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,475
LIST,Blackpool Council,I Care Gb Limited,216160,1000036,4/04/2024,418.88,0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,477
LIST,Blackpool Council,I Care Gb Limited,216161,1000036,4/04/2024,799.68,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,478
LIST,Blackpool Council,I Care Gb Limited,216163,1000036,4/04/2024,533.12,0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,481
LIST,Blackpool Council,I Care Gb Limited,216165,1000036,4/04/2024,542.64,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,483
LIST,Blackpool Council,I Care Gb Limited,216166,1000036,4/04/2024,266.56,0.00,Homecare,20349,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,484
LIST,Blackpool Council,I Care Gb Limited,216167,1000036,4/04/2024,"1,066.24",0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,485
LIST,Blackpool Council,I Care Gb Limited,216169,1000036,4/04/2024,266.56,0.00,Homecare,20234,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,487
LIST,Blackpool Council,I Care Gb Limited,216170,1000036,4/04/2024,761.60,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,488
LIST,Blackpool Council,I Care Gb Limited,216171,1000036,4/04/2024,609.28,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,489
LIST,Blackpool Council,I Care Gb Limited,216173,1000036,4/04/2024,352.24,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,491
LIST,Blackpool Council,I Care Gb Limited,216176,1000036,4/04/2024,533.12,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,494
LIST,Blackpool Council,I Care Gb Limited,216178,1000036,4/04/2024,533.12,0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,496
LIST,Blackpool Council,I Care Gb Limited,216179,1000036,4/04/2024,"2,974.45",0.00,Homecare,20256,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,497
LIST,Blackpool Council,I Care Gb Limited,216180,1000036,4/04/2024,"2,665.60",0.00,Homecare,20171,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,498
LIST,Blackpool Council,I Care Gb Limited,216181,1000036,4/04/2024,266.56,0.00,Homecare,20222,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,499
LIST,Blackpool Council,I Care Gb Limited,216182,1000036,4/04/2024,"2,132.48",0.00,Homecare,20324,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,500
LIST,Blackpool Council,I Care Gb Limited,216183,1000036,4/04/2024,342.72,0.00,Homecare,20222,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,501
LIST,Blackpool Council,I Care Gb Limited,216185,1000036,4/04/2024,276.08,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,503
LIST,Blackpool Council,I Care Gb Limited,216187,1000036,4/04/2024,"1,028.16",0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,505
LIST,Blackpool Council,I Care Gb Limited,216189,1000036,4/04/2024,752.08,0.00,Homecare,20086,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,507
LIST,Blackpool Council,I Care Gb Limited,216192,1000036,4/04/2024,"1,190.00",0.00,Homecare,20222,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,510
LIST,Blackpool Council,I Care Gb Limited,216194,1000036,4/04/2024,"1,599.36",0.00,Homecare,20364,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,512
LIST,Blackpool Council,I Care Gb Limited,216196,1000036,4/04/2024,"2,132.48",0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,514
LIST,Blackpool Council,I Care Gb Limited,216197,1000036,4/04/2024,514.08,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,515
LIST,Blackpool Council,I Care Gb Limited,216198,1000036,4/04/2024,342.72,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,516
LIST,Blackpool Council,I Care Gb Limited,216199,1000036,4/04/2024,380.80,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,517
LIST,Blackpool Council,I Care Gb Limited,216202,1000036,4/04/2024,476.00,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,520
LIST,Blackpool Council,I Care Gb Limited,216203,1000036,4/04/2024,342.72,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,521
LIST,Blackpool Council,I Care Gb Limited,216204,1000036,4/04/2024,"1,218.56",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,522
LIST,Blackpool Council,I Care Gb Limited,216205,1000036,4/04/2024,533.12,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,523
LIST,Blackpool Council,I Care Gb Limited,216208,1000036,4/04/2024,304.64,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,527
LIST,Blackpool Council,I Care Gb Limited,216209,1000036,4/04/2024,285.60,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,528
LIST,Blackpool Council,I Care Gb Limited,216211,1000036,4/04/2024,266.56,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,530
LIST,Blackpool Council,Guardian Homecare,216213,1000403,4/04/2024,628.32,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234879
LIST,Blackpool Council,Guardian Homecare,216214,1000403,4/04/2024,495.04,0.00,Homecare,20234,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234880
LIST,Blackpool Council,Guardian Homecare,216216,1000403,4/04/2024,285.60,0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234882
LIST,Blackpool Council,Guardian Homecare,216218,1000403,4/04/2024,257.04,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234884
LIST,Blackpool Council,Guardian Homecare,216219,1000403,4/04/2024,723.52,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234885
LIST,Blackpool Council,Guardian Homecare,216220,1000403,4/04/2024,"1,875.44",0.00,Homecare,20234,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234886
LIST,Blackpool Council,Guardian Homecare,216221,1000403,4/04/2024,380.80,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234887
LIST,Blackpool Council,Guardian Homecare,216225,1000403,4/04/2024,699.72,0.00,Homecare,20140,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234891
LIST,Blackpool Council,Guardian Homecare,216226,1000403,4/04/2024,"1,066.24",0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234892
LIST,Blackpool Council,Guardian Homecare,216227,1000403,4/04/2024,790.16,0.00,Homecare,20393,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234893
LIST,Blackpool Council,Guardian Homecare,216229,1000403,4/04/2024,380.80,0.00,Homecare,20440,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234895
LIST,Blackpool Council,Guardian Homecare,216230,1000403,4/04/2024,533.12,0.00,Homecare,20269,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234896
LIST,Blackpool Council,Guardian Homecare,216234,1000403,4/04/2024,257.04,0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234901
LIST,Blackpool Council,Guardian Homecare,216236,1000403,4/04/2024,266.56,0.00,Homecare,20364,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234903
LIST,Blackpool Council,Guardian Homecare,216237,1000403,4/04/2024,514.08,0.00,Homecare,20156,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234904
LIST,Blackpool Council,Guardian Homecare,216238,1000403,4/04/2024,266.56,0.00,Homecare,20140,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234905
LIST,Blackpool Council,Guardian Homecare,216239,1000403,4/04/2024,"1,180.48",0.00,Homecare,20477,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234907
LIST,Blackpool Council,Guardian Homecare,216241,1000403,4/04/2024,875.84,0.00,Homecare,20422,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234909
LIST,Blackpool Council,Guardian Homecare,216243,1000403,4/04/2024,"1,408.96",0.00,Homecare,20377,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234911
LIST,Blackpool Council,Guardian Homecare,216244,1000403,4/04/2024,"1,237.60",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234912
LIST,Blackpool Council,Guardian Homecare,216245,1000403,4/04/2024,"1,066.24",0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234913
LIST,Blackpool Council,Guardian Homecare,216246,1000403,4/04/2024,266.56,0.00,Homecare,20459,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,041-5234914
