FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Siemens Financial Services Ltd,195825,1000123,3/04/2024,"3,300.00",550.00,Kincraig - General,10135,63004,Operating Lease,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED101,Kincraig Primary - 5,244/24/0107961
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),195876,1003477,3/04/2024,"7,672.80","1,278.80",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130788
LIST,Blackpool Council,GB MERCHANDISE LTD,195916,1141040,2/04/2024,642.00,107.00,Print Blackpool - Production,50033,63408,Services to Clients,Communication & Regeneration - 1,AMCPI,PRINTS,Print Blackpool - 3,PRINTS2,Print Blackpool - 5,18866
LIST,Blackpool Council,Helloprint United Kingdom B.V.,195947,1003550,2/04/2024,365.99,61.00,Print Blackpool - Production,50033,63408,Services to Clients,Communication & Regeneration - 1,AMCPI,PRINTS,Print Blackpool - 3,PRINTS2,Print Blackpool - 5,3892481
LIST,Blackpool Council,Vickers Business Systems Ltd,195989,1000052,3/04/2024,331.88,55.31,Holy Family -Office,10084,63305,Photocopying Charges,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED091,Holy Family Rc - 5,414870
LIST,Blackpool Council,TONI FAIRHOLM,196222,1140851,3/04/2024,"2,600.00",0.00,Woodlands HT,10364,63413,Consultants,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED531,Woodlands - 5,2023-WS-007
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196275,1003916,3/04/2024,420.00,70.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02136
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196278,1003916,3/04/2024,480.00,80.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02137
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196280,1003916,3/04/2024,"1,200.00",200.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02138
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196281,1003916,3/04/2024,420.00,70.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02139
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196282,1003916,3/04/2024,"5,940.00",990.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02126
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196284,1003916,3/04/2024,"5,997.60",999.60,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02127
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196288,1003916,3/04/2024,930.00,155.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02128
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196290,1003916,3/04/2024,900.00,150.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02129
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196291,1003916,3/04/2024,"1,080.00",180.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02130
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196292,1003916,3/04/2024,"1,200.00",200.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02131
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196294,1003916,3/04/2024,"3,198.00",533.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02132
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196295,1003916,3/04/2024,"1,140.00",190.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02133
LIST,Blackpool Council,Emchia Asbestos Solutions Ltd,196296,1003916,3/04/2024,840.00,140.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02134
LIST,Blackpool Council,Wrps Ltd,196303,1003665,3/04/2024,558.00,93.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,15347
LIST,Blackpool Council,Wrps Ltd,196305,1003665,3/04/2024,787.49,131.25,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,15346
LIST,Blackpool Council,Wrps Ltd,196308,1003665,3/04/2024,396.00,66.00,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,15344
LIST,Blackpool Council,Siemens Financial Services Ltd,196917,1000123,3/04/2024,522.90,87.15,Stanley -General Stock,10309,63006,Hire of Equipment,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED371,Stanley Primary School - 5,244/24/0107041
LIST,Blackpool Council,Duckworth (Wholesale) Ltd,196957,1001016,3/04/2024,669.28,111.55,Stanley -Building Maintenance,10327,61601,Consumable Supplies,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED371,Stanley Primary School - 5,248607
LIST,Blackpool Council,Remedian It Solutions Ltd,197162,1003035,3/04/2024,"2,046.00",341.00,Boundary -SEN Resources,10060,63531,Computer Hardware Purchase,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED071,Boundary Park Community - 5,INV-18406
LIST,Blackpool Council,Automatic Alarms Ltd,197180,1000535,3/04/2024,372.32,62.05,Calico,30173,61012,Maintenance Private Contractor,Community & Env Services - 1,BPLSER,WASTE,Waste Management - 3,DOMPFI1,Domestic Waste - 5,INV21553
LIST,Blackpool Council,North Liverpool Construction Ltd (Fac067),197354,1003477,3/04/2024,669.54,111.59,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130794
LIST,Blackpool Council,Prospec Limited,197408,1001294,3/04/2024,"5,032.74",838.79,Moor Park Pool,30017,63012,Other Equipment,Community & Env Services - 1,BPLSER,LESR,Leisure - 3,LEISUR1,Leisure Managem - 5,CIP-00018557
LIST,Blackpool Council,Nec Software Solutions Ltd,197437,1001081,10/04/2024,"1,623.16",270.53,Benefits Shared Service,40095,63532,Computer Running and License Costs,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,91482434
LIST,Blackpool Council,Nec Software Solutions Ltd,197438,1001081,10/04/2024,"1,623.16",270.53,Benefits - Admin,40090,63532,Computer Running and License Costs,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,91482435
LIST,Blackpool Council,Aat (Gb) Limited,197445,1002128,3/04/2024,826.80,137.80,,,65401,Aids To Daily Living,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,19084-20342
LIST,Blackpool Council,Weldlag Limited,197521,1003300,3/04/2024,431.50,71.92,Athena (Oxford Ctr),40048,61012,Maintenance Private Contractor,Resources - 1,TRSTOT,AEB,Buildings - 3,BDCH,Buildings -Childrens - 5,INV-2835
LIST,Blackpool Council,Darrren Clare Ltd T/A Portfolio,197668,1003436,2/04/2024,"9,423.60","1,570.60",Communitynewsletter-Your Bpool,50086,63315,Marketing,Communication & Regeneration - 1,AMCPI,VB,Visit Blackpool/Marketing Co - 3,PBF1,Communications - 5,P9450
LIST,Blackpool Council,Centerprise International Ltd,197670,1003914,2/04/2024,"16,507.20","2,751.20",,,63531,Computer Hardware Purchase,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAA2,Ict Corporate Services FGAA2 - 5,90314993
LIST,Blackpool Council,Tmp (Uk) Ltd,197677,1000064,3/04/2024,305.24,50.87,Tro Advertising,30132,64501,Private Contractors,Community & Env Services - 1,BPLSER,TR,Transportation - 3,TRA1,Traffic Managem - 5,357709
LIST,Blackpool Council,Tmp (Uk) Ltd,197678,1000064,3/04/2024,580.49,96.75,Tro Advertising,30132,64501,Private Contractors,Community & Env Services - 1,BPLSER,TR,Transportation - 3,TRA1,Traffic Managem - 5,357710
