Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Network Merchants Limited,315126,1142762,15/01/2025,"1,212.71",202.12,Central Multi-Storey,60051,63801,Other Expenses,Budgets Outside Cash Limits - 1,BUDOCL,TPCARP1,Parking Services - 3,TPCARP12,Parking Services TPCARP12 - 5,INV93193,1142762315126INV93193
Blackpool Council,Flightcare Ltd – Swansea Terrace Nursing Home,332764,1142683,20/01/2025,"1,375.38",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,725366,1.14268E+18
Blackpool Council,Flightcare Ltd – Swansea Terrace Nursing Home,340577,1142683,20/01/2025,"1,375.38",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,729072,1.14268E+18
Blackpool Council,Cool Milk At School Ltd,342332,1005019,16/01/2025,545.42,0,St Bernadettes -General,10174,63101,Provisions,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED191,St Bernadettes Catholic - 5,CMS0546254,1005019342332CMS0546254
Blackpool Council,Flightcare Ltd – Swansea Terrace Nursing Home,350357,1142683,20/01/2025,"1,375.38",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734106,1.14268E+18
Blackpool Council,Key Engineering Supplies Ltd,351355,1000771,09/01/2025,704.81,117.47,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,76225,1.00077E+17
Blackpool Council,Flightcare Ltd – Swansea Terrace Nursing Home,358225,1142683,20/01/2025,"1,375.38",0,Nursing Placements,20473,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,738044,1.14268E+18
Blackpool Council,Cool Milk At School Ltd,364102,1005019,16/01/2025,467.81,0,St Bernadettes -General,10174,63107,Milk For Drinking,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED191,St Bernadettes Catholic - 5,CMS0550925,1005019364102CMS0550925
Blackpool Council,Cool Milk At School Ltd,364180,1005019,16/01/2025,"1,110.15",0,St Nicholas -Catering,10279,66215,Catering Services,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED241,St Nicholas Ce - 5,CMS0546255,1005019364180CMS0546255
Blackpool Council,Cool Milk At School Ltd,364222,1005019,16/01/2025,955.62,0,St Nicholas -Catering,10279,66215,Catering Services,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED241,St Nicholas Ce - 5,CMS0550926,1005019364222CMS0550926
