Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,REDACTED PERSONAL DATA,125069,1002134,22/07/2024,469.1,0,Special Guardianship,10529,64809,Special Guardianship,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,625334,1.00213E+18
Blackpool Council,REDACTED PERSONAL DATA,238587,1140137,01/07/2024,"2,180.00",0,Airshow,50155,63401,General Services,Communication & Regeneration - 1,AMCPI,VB,Visit Blackpool/Marketing Co - 3,PRB1,Events - 5,BPOOL-INV-2024-01,1140137238587BPOOL-INV-2024-01
Blackpool Council,Cuerden Estates - Berkeley Village Care Home,244348,1005407,02/07/2024,"14,614.28",0,Complex Cases,20136,64201,Joint Authorities,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,681714,1.00541E+18
Blackpool Council,Integrate Provision T/A Withslack Group Ltd,246196,1007253,02/07/2024,"23,216.75",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,INTE124050011,1007253246196INTE124050011
Blackpool Council,Weightmans Llp,246357,1001679,11/07/2024,427.8,71.3,Administration,30225,63807,Legal and Court Costs,Community & Env Services - 1,BPLSER,PUBPRO,Public Protection - 3,PYAA1,Head Of Environ - 5,2248551,1.00168E+20
Blackpool Council,Cuerden Estates - Berkeley Village Care Home,251867,1005407,02/07/2024,"6,200.00",0,Complex Cases,20136,64201,Joint Authorities,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,685864,1.00541E+18
Blackpool Council,Bambers Remedial Contractors Limited,253432,1000516,02/07/2024,456,76,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,18861,1.00052E+17
Blackpool Council,Sellick Partnership Limited,254078,1001076,01/07/2024,"2,165.63",360.94,"Prop, Comm & Litigation Gen",61002,60791,Agency Staff,Chief Executive - 1,CEXTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,INV559588,1001076254078INV559588
Blackpool Council,Romano Education Limited,254140,1140161,01/07/2024,893.22,148.87,St Bernadettes -General,10174,60792,Supply Education Support,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED191,St Bernadettes Catholic - 5,RE010565,1140161254140RE010565
Blackpool Council,Romano Education Limited,254142,1140161,01/07/2024,334.75,55.79,St Bernadettes -Breakfast Club / After School Club,10163,60792,Supply Education Support,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED191,St Bernadettes Catholic - 5,RE010564,1140161254142RE010564
Blackpool Council,North Star Environmental Ltd,254157,1002631,02/07/2024,"1,080.00",180,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-31503,1002631254157INV-31503
Blackpool Council,North Star Environmental Ltd,254159,1002631,02/07/2024,540,90,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-31504,1002631254159INV-31504
Blackpool Council,REDACTED PERSONAL DATA,254588,1003434,01/07/2024,"1,548.44",0,Ongoing Direct Payments,20416,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,687853,1.00343E+18
Blackpool Council,REDACTED PERSONAL DATA,254630,1141219,08/07/2024,340.08,0,Ongoing Direct Payments,20472,65604,Direct Payments,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,687895,1.14122E+18
Blackpool Council,Bethell Construction Limited,255150,1000540,01/07/2024,"1,562.03",260.34,Core Carriageway,30200,61012,Maintenance Private Contractor,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,ENGINE1,Engineering - 5,19866,1.00054E+17
Blackpool Council,North Liverpool Construction Ltd (Fac067),255192,1003477,02/07/2024,"6,174.98","1,029.16",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,130915,1.00348E+18
