FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
LIST,Blackpool Council,F Parkinson Ltd,307958,1000018,27/08/2024,"364,432.75","60,738.79","Insurance,Dso,Banking",90069,61065,Retention Monies - Capital,Communication & Regeneration - 1,ZTRSTOT,ZTRSTOT2,Growth & Prosperity Team - 3,ZTRSTOT4,Growth - 5,11077,100001830795811077
LIST,Blackpool Council,Blackpool Pleasure Beach Ltd,302225,1000019,15/08/2024,"1,960.00",326.67,Independent Reviewing Officers,10501,63417,Entertainment,Children's Services - 1,CHISER,CHSAFE2,Children's safeguarding Team 2,CHSAFE2,Children's safeguarding Team 2,26045,100001930222526045
LIST,Blackpool Council,Blackpool Transport Services Limited,295179,1000020,7/08/2024,"5,214.72",0.00,Sct17,10545,65552,Bus Pass,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,00001536,100002029517900001536
LIST,Blackpool Council,Blackpool Transport Services Limited,295266,1000020,7/08/2024,"3,640.32",0.00,Lac Financial Assistance,10544,65552,Bus Pass,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,00001485,100002029526600001485
LIST,Blackpool Council,Blackpool Transport Services Limited,303589,1000020,21/08/2024,"1,278.00",0.00,Adolescent Service,10550,65552,Bus Pass,Children's Services - 1,CHISER,ADOLE,Adolescent Services - 3,ADOLE2,Adolescent Services - 5,00001568,100002030358900001568
LIST,Blackpool Council,Blackpool Transport Services Limited,304446,1000020,22/08/2024,"1,780.00",0.00,Staff travel scheme,90081,99636,Bus Travel Ticket Scheme,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,00001557,100002030444600001557
LIST,Blackpool Council,Blackpool Transport Services Limited,307988,1000020,28/08/2024,"4,240.79",706.80,Energy & Sustainability,40072,61202,Electricity,Resources - 1,TRSTOT,BST,Business Services Team - 3,ENG2,Energy - 5,00001539,100002030798800001539
LIST,Blackpool Council,Blackpool Transport Services Limited,302850,1000020,19/08/2024,"1,698.63",0.00,Public Transport Contracts,30138,63401,General Services,Communication & Regeneration - 1,AMCPI,HP,Planning Services - 3,HP1,Policy,00001555,100002030285000001555
LIST,Blackpool Council,Blackpool Airport Operations Limited,294932,1000022,14/08/2024,"1,000.00",0.00,"Prop, Comm & Litigation Gen",61002,63807,Legal and Court Costs,Chief Executive - 1,CEXTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,018877 - 020824,1000022294932018877 - 020824
LIST,Blackpool Council,REDACTED PESONAL DATA,294145,1000024,5/08/2024,"1,001.06",0.00,Special Guardianship,10529,64809,Special Guardianship,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,706466,1000024294145706466
LIST,Blackpool Council,Autism Initiatives Uk,292219,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304532,1000025292219304532
LIST,Blackpool Council,Autism Initiatives Uk,292220,1000025,1/08/2024,381.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304533,1000025292220304533
LIST,Blackpool Council,Autism Initiatives Uk,292221,1000025,1/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304534,1000025292221304534
LIST,Blackpool Council,Autism Initiatives Uk,292222,1000025,1/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304535,1000025292222304535
LIST,Blackpool Council,Autism Initiatives Uk,292224,1000025,1/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304537,1000025292224304537
LIST,Blackpool Council,Autism Initiatives Uk,292226,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304539,1000025292226304539
LIST,Blackpool Council,Autism Initiatives Uk,292227,1000025,1/08/2024,392.56,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304540,1000025292227304540
LIST,Blackpool Council,Autism Initiatives Uk,292228,1000025,1/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304541,1000025292228304541
LIST,Blackpool Council,Autism Initiatives Uk,292229,1000025,1/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304542,1000025292229304542
LIST,Blackpool Council,Autism Initiatives Uk,292230,1000025,1/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304543,1000025292230304543
LIST,Blackpool Council,Autism Initiatives Uk,292231,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304544,1000025292231304544
LIST,Blackpool Council,Autism Initiatives Uk,292232,1000025,1/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304545,1000025292232304545
LIST,Blackpool Council,Autism Initiatives Uk,292233,1000025,1/08/2024,467.12,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304546,1000025292233304546
LIST,Blackpool Council,Autism Initiatives Uk,292234,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304547,1000025292234304547
LIST,Blackpool Council,Autism Initiatives Uk,292236,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304549,1000025292236304549
LIST,Blackpool Council,Autism Initiatives Uk,292239,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304552,1000025292239304552
LIST,Blackpool Council,Autism Initiatives Uk,292240,1000025,1/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304553,1000025292240304553
LIST,Blackpool Council,Autism Initiatives Uk,292241,1000025,1/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304554,1000025292241304554
LIST,Blackpool Council,Autism Initiatives Uk,292699,1000025,1/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304512,1000025292699304512
LIST,Blackpool Council,Autism Initiatives Uk,292702,1000025,1/08/2024,366.24,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304515,1000025292702304515
LIST,Blackpool Council,Autism Initiatives Uk,292703,1000025,1/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304516,1000025292703304516
LIST,Blackpool Council,Autism Initiatives Uk,292704,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304517,1000025292704304517
LIST,Blackpool Council,Autism Initiatives Uk,292705,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304518,1000025292705304518
LIST,Blackpool Council,Autism Initiatives Uk,292706,1000025,1/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304519,1000025292706304519
LIST,Blackpool Council,Autism Initiatives Uk,292708,1000025,1/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304521,1000025292708304521
LIST,Blackpool Council,Autism Initiatives Uk,292709,1000025,1/08/2024,318.00,0.00,Other Day Services,20423,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304522,1000025292709304522
LIST,Blackpool Council,Autism Initiatives Uk,292710,1000025,1/08/2024,254.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304523,1000025292710304523
LIST,Blackpool Council,Autism Initiatives Uk,292711,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304524,1000025292711304524
LIST,Blackpool Council,Autism Initiatives Uk,292712,1000025,1/08/2024,318.00,0.00,Other Day Services,20423,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304525,1000025292712304525
LIST,Blackpool Council,Autism Initiatives Uk,292715,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304528,1000025292715304528
LIST,Blackpool Council,Autism Initiatives Uk,292716,1000025,1/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304529,1000025292716304529
LIST,Blackpool Council,Autism Initiatives Uk,296620,1000025,8/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305221,1000025296620305221
LIST,Blackpool Council,Autism Initiatives Uk,296623,1000025,8/08/2024,366.24,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305224,1000025296623305224
LIST,Blackpool Council,Autism Initiatives Uk,296624,1000025,8/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305225,1000025296624305225
LIST,Blackpool Council,Autism Initiatives Uk,296625,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305226,1000025296625305226
LIST,Blackpool Council,Autism Initiatives Uk,296626,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305227,1000025296626305227
LIST,Blackpool Council,Autism Initiatives Uk,296627,1000025,8/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305228,1000025296627305228
LIST,Blackpool Council,Autism Initiatives Uk,296629,1000025,8/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305231,1000025296629305231
LIST,Blackpool Council,Autism Initiatives Uk,296630,1000025,8/08/2024,318.00,0.00,Other Day Services,20423,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305232,1000025296630305232
LIST,Blackpool Council,Autism Initiatives Uk,296631,1000025,8/08/2024,254.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305233,1000025296631305233
LIST,Blackpool Council,Autism Initiatives Uk,296632,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305234,1000025296632305234
LIST,Blackpool Council,Autism Initiatives Uk,296633,1000025,8/08/2024,318.00,0.00,Other Day Services,20423,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305236,1000025296633305236
LIST,Blackpool Council,Autism Initiatives Uk,296636,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305239,1000025296636305239
LIST,Blackpool Council,Autism Initiatives Uk,296637,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305240,1000025296637305240
LIST,Blackpool Council,Autism Initiatives Uk,296640,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305243,1000025296640305243
LIST,Blackpool Council,Autism Initiatives Uk,296641,1000025,8/08/2024,381.60,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305244,1000025296641305244
LIST,Blackpool Council,Autism Initiatives Uk,296642,1000025,8/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305245,1000025296642305245
LIST,Blackpool Council,Autism Initiatives Uk,296643,1000025,8/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305246,1000025296643305246
LIST,Blackpool Council,Autism Initiatives Uk,296645,1000025,8/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305248,1000025296645305248
LIST,Blackpool Council,Autism Initiatives Uk,296647,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305250,1000025296647305250
LIST,Blackpool Council,Autism Initiatives Uk,296648,1000025,8/08/2024,392.56,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305251,1000025296648305251
LIST,Blackpool Council,Autism Initiatives Uk,296649,1000025,8/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305252,1000025296649305252
LIST,Blackpool Council,Autism Initiatives Uk,296650,1000025,8/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305253,1000025296650305253
LIST,Blackpool Council,Autism Initiatives Uk,296651,1000025,8/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305254,1000025296651305254
LIST,Blackpool Council,Autism Initiatives Uk,296652,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305255,1000025296652305255
LIST,Blackpool Council,Autism Initiatives Uk,296653,1000025,8/08/2024,302.64,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305256,1000025296653305256
LIST,Blackpool Council,Autism Initiatives Uk,296654,1000025,8/08/2024,467.12,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305257,1000025296654305257
LIST,Blackpool Council,Autism Initiatives Uk,296655,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305258,1000025296655305258
LIST,Blackpool Council,Autism Initiatives Uk,296657,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305260,1000025296657305260
LIST,Blackpool Council,Autism Initiatives Uk,296660,1000025,8/08/2024,318.00,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305263,1000025296660305263
LIST,Blackpool Council,Autism Initiatives Uk,296661,1000025,8/08/2024,504.40,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305264,1000025296661305264
LIST,Blackpool Council,Autism Initiatives Uk,296662,1000025,8/08/2024,403.52,0.00,Other Day Services,20257,64508,Day Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,305265,1000025296662305265
LIST,Blackpool Council,Autism Initiatives Uk,291454,1000025,1/08/2024,"2,096.84",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304430,1000025291454304430
LIST,Blackpool Council,Autism Initiatives Uk,291688,1000025,1/08/2024,"1,663.33",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,300103,1000025291688300103
LIST,Blackpool Council,Autism Initiatives Uk,291689,1000025,1/08/2024,"1,663.33",0.00,Supported Living / Group Homes,20348,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,300130,1000025291689300130
LIST,Blackpool Council,Autism Initiatives Uk,291690,1000025,1/08/2024,"1,746.50",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,300227,1000025291690300227
LIST,Blackpool Council,Autism Initiatives Uk,291691,1000025,1/08/2024,"1,746.50",0.00,Supported Living / Group Homes,20348,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,300253,1000025291691300253
LIST,Blackpool Council,Autism Initiatives Uk,291712,1000025,1/08/2024,"1,996.70",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,302435,1000025291712302435
LIST,Blackpool Council,Autism Initiatives Uk,291726,1000025,1/08/2024,579.60,0.00,Homecare,20256,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,299920,1000025291726299920
LIST,Blackpool Council,Autism Initiatives Uk,291727,1000025,1/08/2024,"1,656.00",0.00,Homecare,20256,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,299921,1000025291727299921
LIST,Blackpool Council,Autism Initiatives Uk,291728,1000025,1/08/2024,983.25,0.00,Homecare,20256,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,302606,1000025291728302606
LIST,Blackpool Council,Autism Initiatives Uk,291729,1000025,1/08/2024,"1,996.70",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,302998,1000025291729302998
LIST,Blackpool Council,Autism Initiatives Uk,291745,1000025,1/08/2024,"1,996.70",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,303554,1000025291745303554
LIST,Blackpool Council,Autism Initiatives Uk,291746,1000025,1/08/2024,"1,829.90",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,303692,1000025291746303692
LIST,Blackpool Council,Autism Initiatives Uk,292242,1000025,1/08/2024,"1,887.06",0.00,Supported Living / Group Homes,20255,64507,Domiciliary Care,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,304434,1000025292242304434
