FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
LIST,Blackpool Council,Blackpool & The Fylde College,293158,1000004,13/08/2024,"3,000.00",0.00,Multiply,50188,63801,Other Expenses,Communication & Regeneration - 1,AMCPI,LL,Lifelong Learning - 3,EK0197,EK0197 - 5,S0024633,1000004293158S0024633
LIST,Blackpool Council,Blackpool & The Fylde College,308381,1000004,29/08/2024,"30,822.69",0.00,Post-16,10436,64501,Private Contractors,Children's Services - 1,CHISER,JCJA,Post-16 - 3,JCJA2,Post-16 - 5,S0024598,1000004308381S0024598
LIST,Blackpool Council,Blackpool & The Fylde College,308421,1000004,29/08/2024,"38,068.37",0.00,Post-16,10436,64501,Private Contractors,Children's Services - 1,CHISER,JCJA,Post-16 - 3,JCJA2,Post-16 - 5,S0024599,1000004308421S0024599
LIST,Blackpool Council,Blackpool & The Fylde College,309086,1000004,29/08/2024,"33,771.25",0.00,Post-16,10436,64501,Private Contractors,Children's Services - 1,CHISER,JCJA,Post-16 - 3,JCJA2,Post-16 - 5,S0024600,1000004309086S0024600
LIST,Blackpool Council,South Shore Cricket Club & Squash Club,294201,1000011,5/08/2024,"2,100.00",0.00,Household Support Fund,10465,64501,Private Contractors,Children's Services - 1,CHISER,EHOTH,Early Help Other - 3,EHOTH2,Early Help Other - 5,A111,1000011294201A111
LIST,Blackpool Council,Read & Errington Ltd,299748,1000012,19/08/2024,369.70,61.62,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,22158,100001229974822158
LIST,Blackpool Council,Read & Errington Ltd,308250,1000012,29/08/2024,796.67,132.78,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,22468,100001230825022468
LIST,Blackpool Council,Read & Errington Ltd,308259,1000012,29/08/2024,437.94,72.99,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,22532,100001230825922532
LIST,Blackpool Council,Read & Errington Ltd,295204,1000012,7/08/2024,"5,127.60",854.60,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,CO-STOCK/05/24,1000012295204CO-STOCK/05/24
LIST,Blackpool Council,Read & Errington Ltd,295796,1000012,13/08/2024,"142,116.02","23,686.00",,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,MRC0166/V4,1000012295796MRC0166/V4
LIST,Blackpool Council,Read & Errington Ltd,299738,1000012,12/08/2024,"1,616.74",269.46,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,21515,100001229973821515
LIST,Blackpool Council,Read & Errington Ltd,308238,1000012,29/08/2024,269.66,0.00,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,22578,100001230823822578
LIST,Blackpool Council,Renaissance Uk Limited,294520,1000017,5/08/2024,"46,295.00",0.00,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health - 1,PUBHEL,PUBGRT1,Public Health Grant Spend - 3,PUBHEL8,Harm reduction,HARM REDUCTION 24/25,1000017294520HARM REDUCTION 24/25
LIST,Blackpool Council,Renaissance Uk Limited,294521,1000017,5/08/2024,"29,583.00",0.00,SSMTRG,62045,64501,Private Contractors,Public Health - 1,PUBHEL,PUBGRT1,Public Health Grant Spend - 3,PUBHEL12,Public Health Misc,SSMTRG 2024/25,1000017294521SSMTRG 2024/25
LIST,Blackpool Council,F Parkinson Ltd,291119,1000018,1/08/2024,"325,025.26","54,170.88","Insurance,Dso,Banking",90069,61065,Retention Monies - Capital,Communication & Regeneration - 1,ZTRSTOT,ZTRSTOT2,Growth & Prosperity Team - 3,ZTRSTOT4,Growth - 5,11062,100001829111911062
