Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Blackpool Council,363823,1000451,27/03/2025,370,0,Woodlands - S Peachey,10597,63303,Games and Visits,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED531,Woodlands - 5,31022845,1.00045E+20
Blackpool Council,Institute Of Swimming Ltd,396166,1001696,19/03/2025,359.1,0,Learn 2 Swim Scheme,30018,60911,Training Expenses,Community & Env Services - 1,BPLSER,LESR,Leisure - 3,LEISUR6,Swimming - 5,IOSINV042335,1001696396166IOSINV042335
Blackpool Council,North Liverpool Construction Ltd (Fac067),403526,1003477,03/03/2025,"1,170.00",195,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,131272,1.00348E+18
Blackpool Council,North Liverpool Construction Ltd (Fac067),403528,1003477,03/03/2025,"3,290.84",548.47,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,131271,1.00348E+18
Blackpool Council,The Networking People,405119,1002170,03/03/2025,"27,683.18","4,613.86",Network & Security Team,40102,63532,Computer Running and License Costs,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAA2,Ict Corporate Services FGAA2 - 5,SI116709,1002170405119SI116709
Blackpool Council,Calder Lodge Limited,405120,1004153,03/03/2025,"7,320.00",0,Advisory Service - General,10469,47011,Government Grants,Children's Services - 1,CHISER,SIP,SIP,MNGMT1,MNGMT1,1457,1.00415E+16
Blackpool Council,Blackpool Skip Hire Ltd,405151,1000674,28/03/2025,345,50,Sct17,10545,65580,"	Addressing home environment issues",Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,63216,1.00067E+18
Blackpool Council,Irrv Services,405506,1000304,03/03/2025,562.5,93.75,Benefits - Admin,40090,63605,Conferences and Short Courses,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,A136128,1000304405506A136128
Blackpool Council,REDACTED PERSONAL DATA,405507,1143088,03/03/2025,565.05,0,Research Project,64027,63821,Research,Chief Executive - 1,CEXTOT,CORPDU1,"Corp Dev, Eng & Comms - 3",CORPDU2,"Corp Dev, Eng & Comms - 5",ASL03-280125,1143088405507ASL03-280125
Blackpool Council,Key Engineering Supplies Ltd,405883,1000771,04/03/2025,526.89,0,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,78851,1.00077E+17
