Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Balmoral Care Home,350140,1000469,01/11/2024,667.43,0,Residential Placements,20456,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733991I,1000469350140733991I
Blackpool Council,Sheridan Care Limited,350141,1000154,01/11/2024,"1,407.38",0,Residential Placements,20220,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733992,1.00015E+18
Blackpool Council,G Rose Care Ltd - Lavender Lodge,350143,1003549,01/11/2024,"1,013.14",0,Residential Placements,20435,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733994,1.00355E+18
Blackpool Council,Lytham Grange Care Home,350146,1005781,01/11/2024,"1,407.38",0,Residential Placements,20391,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733996I,1005781350146733996I
Blackpool Council,Westlive Ltd,350148,1000035,01/11/2024,"1,407.38",0,Nursing Placements,20434,64506,Nursing Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733997I,1000035350148733997I
Blackpool Council,Haddon Court Rest Home,350149,1000489,01/11/2024,"1,407.38",0,Short Term Care,20204,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733998,1.00049E+18
Blackpool Council,Glenthorne Care Home Limited,350151,1000049,01/11/2024,"1,239.14",0,Residential Placements,20456,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,733999I,1000049350151733999I
Blackpool Council,Jah-Jireh (Charity) Homes Reg.No,350152,1000293,01/11/2024,"1,017.38",0,Residential Placements,20232,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734000,1.00029E+18
Blackpool Council,Arc Community Care Ltd - Rosehaven/The Owls,350153,1002967,01/11/2024,"1,169.74",0,Short Term Care,20450,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734001,1.00297E+18
Blackpool Council,Barchester Healthcare,350155,1000278,01/11/2024,839.56,0,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734004,1.00028E+18
