Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,H M Coroner,299400,1000327,12/12/2024,"1,284.65",0,Coroners & Mortuary Service,61066,63801,Other Expenses,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,Jul-24,1000327299400JULY 2024
Blackpool Council,H M Coroner,302171,1000327,12/12/2024,855.25,0,Coroners & Mortuary Service,61066,63807,Legal and Court Costs,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,Jul-23,1000327302171JULY 2023
Blackpool Council,H M Coroner,302177,1000327,12/12/2024,"2,933.09",0,Coroners & Mortuary Service,61066,63807,Panel Expenses,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,Oct-23,1000327302177OCTOBER 2023
Blackpool Council,SOTERA RISK SOLUTIONS LTD,322919,1142532,19/12/2024,"2,100.00",350,,,63413,Consultants,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,TRAMWAY,Tramway - 5,J2096/I11178,1142532322919J2096/I11178
Blackpool Council,Acorn Care & Education Ltd,334515,1000402,20/12/2024,397.52,0,Out of Borough - Behaviour Education,10438,64501,Private Contractors,Children's Services - 1,CHISER,LEARNG,Learning,JCGA1,JCGA1,141250,1.0004E+18
Blackpool Council,Acorn Care & Education Ltd,334516,1000402,20/12/2024,"1,603.33",0,Out of Borough - Behaviour Education,10438,64501,Private Contractors,Children's Services - 1,CHISER,LEARNG,Learning,JCGA1,JCGA1,141251,1.0004E+18
Blackpool Council,CAMBIAN WHINFELL SCHOOL LIMITED,343531,1141207,13/12/2024,"5,461.15",0,Post-16,10436,64501,Private Contractors,Children's Services - 1,CHISER,LEARNG,Learning,JCJA1,JCJA1,CWI0004661,1141207343531CWI0004661
Blackpool Council,Dac Beachcroft Llp,346178,1001560,17/12/2024,"1,320.00",220,Hounds Hill,50062,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,01-10273592,100156034617801-10273592
Blackpool Council,Dac Beachcroft Llp,346179,1001560,17/12/2024,"4,143.60",690.6,Hounds Hill,50062,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,01-10275905,100156034617901-10275905
Blackpool Council,Cornerstone Design And Marketing Limited,346845,1005360,03/12/2024,508.91,84.82,Moor Park Pool,30017,63315,Marketing,Community & Env Services - 1,BPLSER,LESR,Leisure - 3,LEISUR2,Moor Park - 5,14726,1.00536E+17
Blackpool Council,Wrps Ltd,348885,1003665,02/12/2024,726.91,121.15,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17735,1.00367E+17
Blackpool Council,Wrps Ltd,348887,1003665,02/12/2024,396,66,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17734,1.00367E+17
Blackpool Council,Wrps Ltd,348912,1003665,02/12/2024,"1,043.41",173.9,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17737,1.00367E+17
Blackpool Council,Wrps Ltd,348913,1003665,02/12/2024,530.04,88.34,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17736,1.00367E+17
Blackpool Council,CAMBIAN WHINFELL SCHOOL LIMITED,350276,1141207,13/12/2024,"6,072.50",0,Short Term Care,20340,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,734034,1.14121E+18
Blackpool Council,CAPITA ONE LIMITED,350801,1142814,02/12/2024,"1,680.00",280,Benefits - Admin,40090,63401,General Services,Resources - 1,TRSTOT,FCAC1,Benefits - Admin - 3,FCAC3,Benefits - Admin - 5,6004186413,1.14281E+22
Blackpool Council,Siemens Financial Services Ltd,350919,1000123,03/12/2024,"2,484.58",414.1,Vitaline Services,20019,63711,Subscriptions,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,001/25/0039671,1000123350919001/25/0039671
Blackpool Council,Curve Learning And Development Ltd,350920,1002411,02/12/2024,967.2,161.2,Adults Training,20032,60911,Training Expenses,Adult Services - 1,ADULTS,ADULTTR,Adults Training - 3,ADULTTR2,Adults Training - 5,23657,1.00241E+17
Blackpool Council,Dbe Services Ltd,350977,1001343,03/12/2024,660,110,St Nicholas -Blackpool CPD,10281,63413,Consultants,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED241,St Nicholas Ce - 5,13739,1.00134E+17
Blackpool Council,Centerprise International Ltd,350985,1003914,02/12/2024,"9,024.00","1,504.00",,,63531,Computer Hardware Purchase,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAA2,Ict Corporate Services FGAA2 - 5,90326448,1.00391E+20
Blackpool Council,Siemens Financial Services Ltd,351218,1000123,03/12/2024,"2,366.14",394.36,Vitaline Services,20019,63711,Subscriptions,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,001/25/0040753,1000123351218001/25/0040753
Blackpool Council,Instarmac Group PLC,351293,1142304,02/12/2024,"1,747.20",291.2,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,1004224,1.1423E+19
Blackpool Council,Travis Perkins Trading Company Limited,351323,1000056,02/12/2024,"1,331.03",221.84,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,1009591672,1.00006E+22
Blackpool Council,Wilde Consultants Limited,352058,1002535,03/12/2024,"16,342.80","2,723.80",,,63413,Consultants,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,MPB1,Edc - Economic Dev Company - 5,28053,1.00254E+17
Blackpool Council,Wilde Consultants Limited,352060,1002535,03/12/2024,"15,408.00","2,568.00",,,63413,Consultants,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,MPB1,Edc - Economic Dev Company - 5,28054,1.00254E+17
Blackpool Council,Key Engineering Supplies Ltd,352071,1000771,03/12/2024,456.73,76.12,Blackpool Sports Centre,30027,63031,Cleaning Equipment Purchase,Community & Env Services - 1,BPLSER,LESR,Leisure - 3,LEISUR4,Sports Centre - 5,76355,1.00077E+17
Blackpool Council,Pete Marquis T/A Pdm Industries Ltd,352099,1001367,02/12/2024,"6,994.56","1,165.76",Planning,90005,19624,Rechargeable Works Account,Communication & Regeneration BS - 1,ZAMCPI,ZAMCPI2,Balance Sheet Places - 3,ZAMCPI4,Balance Sheet Places - 5,11199,1.00137E+17
Blackpool Council,Emchia Asbestos Solutions Ltd,352125,1003916,03/12/2024,420,70,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02371,1003916352125INV-02371
Blackpool Council,Roc Northwest Limited,352128,1002151,23/12/2024,"18,342.86",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0116808,1002151352128CTI0116808
Blackpool Council,Roc Northwest Limited,352130,1002151,23/12/2024,"22,928.57",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0115937,1002151352130CTI0115937
Blackpool Council,Travis Perkins Trading Company Limited,352131,1000056,02/12/2024,"1,419.30",236.54,Balance Sheet,90000,61065,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,1009591671,1.00006E+22
Blackpool Council,Travis Perkins Trading Company Limited,352135,1000056,03/12/2024,365.03,60.83,Balance Sheet,90000,61065,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,1009673937,1.00006E+22
Blackpool Council,Roc Northwest Limited,352136,1002151,23/12/2024,"18,342.86",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0116797,1002151352136CTI0116797
Blackpool Council,Roc Northwest Limited,352139,1002151,23/12/2024,"22,928.57",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0115935,1002151352139CTI0115935
Blackpool Council,Roc Northwest Limited,352142,1002151,23/12/2024,"18,342.86",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0116798,1002151352142CTI0116798
Blackpool Council,Roc Northwest Limited,352148,1002151,23/12/2024,"22,928.57",0,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,CTI0115936,1002151352148CTI0115936
Blackpool Council,Cassidy + Ashton Group Limited,352151,1000808,03/12/2024,"70,834.20","11,805.70",,,63413,Consultants,Children's Services - 1,CHISER,NONDEL,Schools - Non Delegated - 3,NONDEL2,Schools - Non Delegated - 5,21553,1.00081E+17
Blackpool Council,Vp-Av Ltd,352161,1002368,03/12/2024,"2,864.40",477.4,Coroners & Mortuary Service,61066,63401,General Services,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,56845,1.00237E+17
Blackpool Council,Wrps Ltd,352168,1003665,03/12/2024,396,66,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17810,1.00367E+17
Blackpool Council,Nimble Group It Ltd,352169,1002384,03/12/2024,"7,396.87","1,232.81",Technical  Support Team,40110,63532,Computer Running and License Costs,Resources - 1,TRSTOT,FGAC,Ict Technical Support - 3,FGACAA1,Ict Technical Support - 5,INV-14295,1002384352169INV-14295
Blackpool Council,Wrps Ltd,352171,1003665,03/12/2024,"1,150.26",191.71,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17820,1.00367E+17
Blackpool Council,Wrps Ltd,352173,1003665,03/12/2024,"7,521.60","1,253.60",HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17819,1.00367E+17
Blackpool Council,Wrps Ltd,352174,1003665,03/12/2024,"1,648.34",274.72,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17818,1.00367E+17
Blackpool Council,Wrps Ltd,352175,1003665,03/12/2024,605.76,100.96,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17817,1.00367E+17
Blackpool Council,Wrps Ltd,352181,1003665,03/12/2024,395.14,65.86,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,17813,1.00367E+17
Blackpool Council,Emchia Asbestos Solutions Ltd,352183,1003916,03/12/2024,360,60,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02376,1003916352183INV-02376
Blackpool Council,Emchia Asbestos Solutions Ltd,352185,1003916,03/12/2024,420,70,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02375,1003916352185INV-02375
Blackpool Council,Emchia Asbestos Solutions Ltd,352187,1003916,03/12/2024,"1,800.00",300,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02374,1003916352187INV-02374
Blackpool Council,Emchia Asbestos Solutions Ltd,352188,1003916,03/12/2024,"2,340.00",390,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02373,1003916352188INV-02373
Blackpool Council,Emchia Asbestos Solutions Ltd,352190,1003916,03/12/2024,"5,606.40",934.4,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02372,1003916352190INV-02372
Blackpool Council,Emchia Asbestos Solutions Ltd,352192,1003916,03/12/2024,300,50,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02385,1003916352192INV-02385
Blackpool Council,Emchia Asbestos Solutions Ltd,352193,1003916,03/12/2024,"1,410.00",235,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02384,1003916352193INV-02384
Blackpool Council,Emchia Asbestos Solutions Ltd,352194,1003916,03/12/2024,420,70,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02383,1003916352194INV-02383
Blackpool Council,Emchia Asbestos Solutions Ltd,352196,1003916,03/12/2024,"3,120.00",520,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02382,1003916352196INV-02382
Blackpool Council,Emchia Asbestos Solutions Ltd,352197,1003916,03/12/2024,420,70,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02381,1003916352197INV-02381
Blackpool Council,Emchia Asbestos Solutions Ltd,352198,1003916,03/12/2024,"1,350.00",225,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02380,1003916352198INV-02380
Blackpool Council,Emchia Asbestos Solutions Ltd,352199,1003916,03/12/2024,"2,190.00",365,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02379,1003916352199INV-02379
Blackpool Council,Emchia Asbestos Solutions Ltd,352200,1003916,03/12/2024,"1,380.00",230,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,INV-02378,1003916352200INV-02378
