BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Homelessness,43650,Emergency Accommodation Allowance,550500,07/06/2021,5100463230,1540,Paddington House Hotel,105005
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Training,190150,31/01/2024,5100546096,2586.5,Logistics UK,104733
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,07/02/2024,5100549940,1010,Hgv Fleet Cleaning Services Ltd,102071
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Res & Intelligence,440850,31/08/2023,5100551891,207000,Warrington & Halton NHS Foundation,110719
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,12/09/2023,5100553594,1100,Our Lady of Lourdes Catholic Prim,400717
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,05/02/2024,5100557872,652.72,Johnston Sweepers Ltd,101251
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,19/10/2023,5100558244,1542.9,Linde Sterling Ltd,104867
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Director Adult Social Care,54000,Res & Intelligence,440850,26/10/2023,5100559189,207000,Warrington & Halton NHS Foundation,110719
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,07/02/2024,5100560581,602.13,Chainsaw Specialist,104876
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Equipment Purchase & Contract,400000,31/01/2024,5100560901,4500,Tassta UK,110945
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,07/02/2024,5100562160,844.82,Terberg Matec Uk Ltd,105173
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Bespoke Comm Outreach,31310,CP-LongStayExternal,441150,31/01/2024,5100563224,1659,Randstad Solutions Limited,119584
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,British Nationals HK,60307,Consult.& Prof. Serv,440000,05/02/2024,5100563562,2016,Warrington & Vale Royal College,440101
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,British Nationals HK,60307,Consult.& Prof. Serv,440000,01/02/2024,5100563564,10474,Warrington & Vale Royal College,440101
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,British Nationals HK,60307,Consult.& Prof. Serv,440000,27/02/2024,5100563566,10100,Warrington & Vale Royal College,440101
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Accent Music Hub,32220,"Campaigns,  Projects and Events",491950,23/01/2024,5100563931,1365,Redacted for personal data,118492
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,PIO,People & Improvement Other,85002,Maintenance of Plant & Machinery,250050,13/02/2024,5100565016,8108.99,Schofield and Sons Ltd,119188
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,28/02/2024,5100565312,1000.3,Balmers Garden Machinery,103669
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Maintenance Work - Sub Contractors,301150,12/02/2024,5100565547,1667.98,Balmers Garden Machinery,103669
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Veh Maint. Materials,300000,26/02/2024,5100565633,529.95,Dennis Eagle Parts,104661
