"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
10,10,Rosewood Primary,Supply Staff,10002,28/07/2023,,956.25,TRADEWIND RECRUITMENT LTD,
10,10,Brookfield,Agency Staff - Supply Teaching Staff,10202,28/07/2023,,999.45,TRADEWIND RECRUITMENT LTD,
10,10,Brookfield,Agency Staff - Supply Education Support Staff,10203,28/07/2023,,679.45,TRADEWIND RECRUITMENT LTD,
10,10,Brookfield,Agency Staff - Supply Teaching Staff,10202,28/07/2023,,212.89,TRADEWIND RECRUITMENT LTD,
10,10,Lathom High,Agency Staff - Supply Education Support Staff,10203,28/07/2023,,670,TRADEWIND RECRUITMENT LTD,
10,10,Larches High School,Agency Staff - Supply Non Curriculum Staff,10204,28/07/2023,,871.99,TRADEWIND RECRUITMENT LTD,
10,10,Wellfield High School,Agency Staff - Supply Teaching Staff,10202,28/07/2023,,240,TRADEWIND RECRUITMENT LTD,
10,10,Sir Tom Finney,Agency Staff - Supply Education Support Staff,10203,03/07/2023,,3095,VERITAS EDUCATION (PRESTON) LTD,
10,10,Sir Tom Finney,Agency Staff - Supply Teaching Staff,10202,03/07/2023,,1500,VERITAS EDUCATION (PRESTON) LTD,
10,10,Sir Tom Finney,Agency Staff - Supply Teaching Staff,10202,03/07/2023,,1740,VERITAS EDUCATION (PRESTON) LTD,
10,10,Sir Tom Finney,Agency Staff - Supply Education Support Staff,10203,03/07/2023,,1760.5,VERITAS EDUCATION (PRESTON) LTD,
10,10,Staining CE Primary,Agency Staff - Supply Teaching Staff,10202,03/07/2023,,945,VERITAS EDUCATION (PRESTON) LTD,
10,10,Burnley Brunshaw Primary,Agency Staff - Supply Teaching Staff,10202,03/07/2023,,925,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,440,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,559.7,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,447.76,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,487.24,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,447.76,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Mary's RC. Leyland,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,329.79,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Mary's RC. Leyland,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,462.84,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Mary's RC. Leyland,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,231.42,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,609.05,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,559.7,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,609.05,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,559.7,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,447.76,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Bede's. Clayton Green,Supply Staff,10002,05/07/2023,,578.95,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Bede's. Clayton Green,Supply Staff,10002,05/07/2023,,567,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,487.24,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,609.05,VERITAS EDUCATION (PRESTON) LTD,
10,10,Padiham Green CE Primary,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,559.7,VERITAS EDUCATION (PRESTON) LTD,
10,10,St Bede's. Clayton Green,Supply Staff,10002,05/07/2023,,267.1,VERITAS EDUCATION (PRESTON) LTD,
10,10,St George's CE Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,567,VERITAS EDUCATION (PRESTON) LTD,
10,10,Acorns,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,535,VERITAS EDUCATION (PRESTON) LTD,
10,10,Acorns,Agency Staff - Supply Education Support Staff,10203,05/07/2023,,650,VERITAS EDUCATION (PRESTON) LTD,
10,10,Burnley Brunshaw Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,764.4,VERITAS EDUCATION (PRESTON) LTD,
10,10,Burnley Brunshaw Primary,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,463.5,VERITAS EDUCATION (PRESTON) LTD,
10,10,Chorley All Saints' CE,Agency Staff - Supply Teaching Staff,10202,05/07/2023,,987.9,VERITAS EDUCATION (PRESTON) LTD,
