"Service label","Service code","Organisational unit","Expenditure category","Expenditure code","Date","Transaction number","Amount","Supplier name",
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/05/2023,3091650,402.56,REDACTED,
11,11,Family Support SGO - Central,Allowances - RO's/SGO's,15033,11/05/2023,3091651,701.27,REDACTED,
11,11,Reg Payments - Assist to Fam Burnley,Families Assistance,15021,04/05/2023,3088504,442.86,REDACTED,
11,11,Adoption - General,Allowances - Adoption,15035,10/05/2023,3090840,3183,REDACTED,
11,11,Reg Payments - Assist to Fam East,Families Assistance,15021,04/05/2023,3088505,571.29,REDACTED,
11,11,Family Support SGO - East,Allowances - RO's/SGO's,15033,11/05/2023,3091652,356.51,REDACTED,
11,11,CWD Agency Direct Payments -EAST,CYP Direct Payments,15031,03/05/2023,3084585,1716,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15029,03/05/2023,3084585,468,REDACTED,
11,11,CWD Agency Direct Payments -EAST,CYP Direct Payments,15031,23/05/2023,3100214,1716,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15029,23/05/2023,3100214,183.86,REDACTED,
11,11,CWD Agency Direct Payments -EAST,CYP Direct Payments,15031,24/05/2023,3101982,1716,REDACTED,
11,11,CWD Agency Direct Payments -EAST,Direct Payments-Personal Care,15029,24/05/2023,3101982,451.29,REDACTED,
11,11,Fylde Fostering LCC,Travelling Expenses Refunded,12103,04/05/2023,3088506,357.2,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,04/05/2023,3088506,2085.14,REDACTED,
11,11,Fylde Fostering LCC,Allowances - Fostering General,15040,24/05/2023,20185,712,REDACTED,
11,11,Fylde Fostering LCC,Travelling Expenses Refunded,12103,24/05/2023,20185,871.38,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,09/05/2023,3089641,1878,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering Holiday,15034,09/05/2023,3089641,885,REDACTED,
11,11,Preston Fostering LCC,Allowances - Fostering General,15040,22/05/2023,3098819,1878,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,23/05/2023,3100215,1726.45,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,23/05/2023,3100215,652.22,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,23/05/2023,3100215,211.01,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15030,24/05/2023,3101983,517.94,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,24/05/2023,3101983,38.37,REDACTED,
11,11,CWD Agency Direct Payments - SOUTH,Direct Payments-Personal Care,15029,24/05/2023,3101983,1112.6,REDACTED,
