Invoice Date,Transaction Number,Invoice Number,Amount,Supplier Name(T),Supplier Name,VAT Registration Number,Expense Area(T),Expense Code,Expense Code(T)
01/04/2023,60076517,J078 / 130109 / 27,1249.01,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60076715,2201983,1264.63,StaffAid Limited,RC300674,246 0481 17,Management of Community Support Services,R1100,Agency Staff
01/04/2023,60076590,DINV/00034414,1327.36,Nottingham Community Housing Association,RC505117,859 7959 34,Management of Community Support Services,R4401,Fees and Charges
01/04/2023,60076151,10957550,1372,The Oyster Partnership Ltd,RC302167,832961025,Highways Management,R1100,Agency Staff
01/04/2023,60076296,C/BN269161,1407,Civica UK Ltd,RC501070,391 1710 65,Community Care Finance,R1100,Agency Staff
01/04/2023,60076206,RUT012850,1445.5,Stevenage Leisure Limited,RC506545,700 3776 62,Section 31 Holiday Activities and Food,R4401,Fees and Charges
01/04/2023,60076717,2201998,1450.25,StaffAid Limited,RC300674,246 0481 17,Management of Community Support Services,R1100,Agency Staff
01/04/2023,60076541,MDN240903-87,1467.69,Claranet Limited,RC500963,908 7593 83,CCTV,R4537,Computing - Internet
01/04/2023,60076144,490303,1480,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
01/04/2023,60076237,LQP609464,1491,Liquid Personnel Ltd,RC302142,,ASC Support and Review Staffing,R1100,Agency Staff
01/04/2023,60076199,Redacted Personal Data,1500,Beyond Consult Ltd,RC302113,383 9062 71,Economic Development,R4400,Professional Fees
01/04/2023,60076277,SN29 - MAR 23,1530,1st Call County Taxis,RC509302,,SEN Transport,R3207,Transport Contract
01/04/2023,60076140,41468,1535.5,Hunter Gatherer AHP Resourcing Limited,RC302146,,Hospital Discharge and Therapy,R1100,Agency Staff
01/04/2023,60076176,RWLRUT37,1537.5,Redwings Lodge (Rutland) Ltd,RC300089,168491177,Homelessness,R4900,Accommodation Costs
01/04/2023,60076485,B3647,1540,Westcotes House Ltd,RC505233,987 7451 53,Homelessness,R4900,Accommodation Costs
01/04/2023,60076486,B3651,1540,Westcotes House Ltd,RC505233,987 7451 53,Homelessness,R4900,Accommodation Costs
01/04/2023,60076145,490304,1554,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
01/04/2023,60076236,LQP609463,1554,Liquid Personnel Ltd,RC302142,,ASC Support and Review Staffing,R1100,Agency Staff
01/04/2023,60076235,LQP609462,1557.9,Liquid Personnel Ltd,RC302142,,DOLS,R1100,Agency Staff
01/04/2023,60076757,1309414,1572.5,Eden Brown Ltd,RC300857,743724037,Contact and Referral Team,R1100,Agency Staff
01/04/2023,60076759,1309882,1572.5,Eden Brown Ltd,RC300857,743724037,Contact and Referral Team,R1100,Agency Staff
01/04/2023,60076762,1310831,1572.5,Eden Brown Ltd,RC300857,743724037,Contact and Referral Team,R1100,Agency Staff
01/04/2023,60076764,1311408,1572.5,Eden Brown Ltd,RC300857,743724037,Contact and Referral Team,R1100,Agency Staff
01/04/2023,60076301,1446,1575,Skeen Computing Services Limited,RC509489,428 5652 32,Digital Rutland,R4400,Professional Fees
01/04/2023,60076566,TRI316686,1578.3,Tripod Partners,RC301829,145000955,Contact and Referral Team,R1100,Agency Staff
01/04/2023,60076269,468,1610,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076234,19378,1650,Lattenbury Services Ltd,RC300207,102 3030 95,Public Rights of Way,R5009,TPP - Highway`s
01/04/2023,60076650,SI-K0000002570,1655.4,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/04/2023,60075149,LQP603481,1665,Liquid Personnel Ltd,RC302142,,Childrens Social Care Staffing,R1100,Agency Staff
01/04/2023,60076279,RCC 03/23AB,1840,Corby Jet Carz,RC508056,,SEN Transport,R3207,Transport Contract
01/04/2023,60076658,SI-K0000002571,1902.16,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/04/2023,60076360,230399,1919,Berridge Taxis,RC503277,978 4186 62,Home to School Transport,R3207,Transport Contract
01/04/2023,60076391,230387,1960,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/04/2023,60076380,16935,1962,Norton Taxi Services Ltd,RC301685,,SEN Transport,R3207,Transport Contract
01/04/2023,60076611,182258,1980,New Earth Solutions (West) Limited T/A Mid-UK Recycling Ltd,RC505938,246 2500 29,Waste Management,R5021,TPP - Waste Disposal
01/04/2023,60076200,LUF-0001,2000,Beyond Consult Ltd,RC302113,383 9062 71,Levelling Up Fund,R4400,Professional Fees
01/04/2023,60076526,J078 / 130110 / 155,2009.01,Tarmac Trading Ltd,RC507911,143 7761 02,Highways Third Party Claims,R4401,Fees and Charges
01/04/2023,60076808,INV-10187,2014.29,Safe Haven Accommodation Ltd,RC302376,310240768,Unaccompanied Asylum Seekers - Over 18,R4900,Accommodation Costs
01/04/2023,60076266,465,2024,Ace Cabs Stamford Ltd,RC500124,184 8594 53,Home to School Transport,R3207,Transport Contract
01/04/2023,60076536,90296343,2050.6,Neopost Finance Limited,RC500388,805 6441 40,Reprographics & Post,R4503,Postage
01/04/2023,60076121,13951,2086.86,George Walker Tree Care Ltd,RC501703,566 0980 16,Oakham Enterprise Park Service Chargeable Expenditure,R2076,Grounds Maintenance - Non Contract
01/04/2023,60076231,1489,2094.5,Sandra Whiles Coaching Ltd,RC302231,408779066,Directorate Management - Places,R4405,Training Charges
01/04/2023,60076207,6715091,2136,Pinsent Masons,RC302354,125463034,Economic Development,R4400,Professional Fees
01/04/2023,60076518,J078 / 130109 / 28,2284.32,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme Places - Highways,C1015,Engineering Works
01/04/2023,60076267,466,2300,Ace Cabs Stamford Ltd,RC500124,184 8594 53,Home to School Transport,R3207,Transport Contract
01/04/2023,60076352,230390,2300,Berridge Taxis,RC503277,978 4186 62,Home to School Transport,R3207,Transport Contract
01/04/2023,60076726,INV-1318,2334.91,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/04/2023,60076359,230396,2342.5,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/04/2023,60076530,J078 / 130112 / 20,2394.97,Tarmac Trading Ltd,RC507911,143 7761 02,Capital Programme - ITB,C1015,Engineering Works
01/04/2023,60076933,CEN-202303044,2469,The Housing Network,RC302053,,Homelessness,R4900,Accommodation Costs
01/04/2023,60076402,INV-1310,2507,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/04/2023,60076275,474,2530,Ace Cabs Stamford Ltd,RC500124,184 8594 53,Adult Social Services Transport,R3207,Transport Contract
01/04/2023,60076288,100181551,2549.83,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,Crime And Disorder,R4401,Fees and Charges
01/04/2023,60076638,1628462,2636.77,Access UK Ltd,RC503291,108 2213 56,Internal Homecare Staffing,R4535,Computing - Licences
01/04/2023,60076659,SI-K0000002587,2639.34,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/04/2023,60076787,SI-K0000002590,2737.1,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/04/2023,60076270,469,2760,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/04/2023,60076278,RCC 03/23,2760,Corby Jet Carz,RC508056,,Adult Social Services Transport,R3207,Transport Contract
01/04/2023,60076580,J078 / 130110 / 154,2767.28,Tarmac Trading Ltd,RC507911,143 7761 02,Highways Third Party Claims,R5009,TPP - Highway`s
01/04/2023,60076366,70760994,2790.35,Proquest LLC,RC500633,,Libraries,R4701,Subscriptions
