Invoice Date,Transaction Number,Invoice Number,Amount,Supplier Name(T),Supplier Name,VAT Registration Number,Expense Area(T),Expense Code,Expense Code(T)
20/04/2023,03768367,Redacted Personal Data,550,Redacted Personal Data,RC301656,,Care Leavers,R4900,Accommodation Costs
20/04/2023,03768440,Redacted Personal Data,600,Redacted Personal Data,RC506075,,Placements,R5017,TPP - Other
20/04/2023,03768441,Redacted Personal Data,600,Redacted Personal Data,RC301610,,Aiming High,R4400,Professional Fees
20/04/2023,03768442,Redacted Personal Data,600,Redacted Personal Data,RC508904,,Aiming High,R4400,Professional Fees
20/04/2023,03768380,Redacted Personal Data,760,Redacted Personal Data,RC302359,,Care Leavers,R6292,Section 24 Payments
20/04/2023,60076996,LQP613684,1260,Liquid Personnel Ltd,RC302142,,ASC Support and Review Staffing,R1100,Agency Staff
20/04/2023,60076991,3042,2100,CASY,RC301626,,SEN Recovery Plan Expenditure,R4400,Professional Fees
20/04/2023,60077000,2004360215,23856.04,Lincolnshire County Council,RC502090,129 3923 55,Adoption,R5011,TPP - Local Authorities
20/04/2023,60077012,2007845,58173.63,Office of the Police & Crime Commissioner for Leicestershire,RC502067,620 3491 72,Capital Programme Places,C1150,Capital Grant Expenditure
21/04/2023,60077014,G1242026,676.68,Espo (Gas),RC501573,705180561,Oakham Castle,R2101,Gas
21/04/2023,60077021,G1242033,1243.27,Espo (Gas),RC501573,705180561,The King Centre,R2101,Gas
21/04/2023,60077621,Room Hire 21/04/2023,1305,Barnsdale Lodge Hotel,RC500083,486 4132 33,MOD Early Years Activities,R2201,Room Hire
21/04/2023,60077052,177272,1354.98,Citipost Mail Ltd,RC300882,881 8531 94,Reprographics & Post,R4503,Postage
21/04/2023,60077018,G1242030,1473.35,Espo (Gas),RC501573,705180561,Museums Service,R2101,Gas
21/04/2023,60077017,G1242029,2027.83,Espo (Gas),RC501573,705180561,Admin Buildings,R2101,Gas
21/04/2023,60077107,100187119,44761.82,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,LA Pension Costs,R1900,Contribution to Employee provision
22/04/2023,60077034,80040004979,995,Zoho Corporation B.V,RC509252,855264263B01,Human Resources,R4400,Professional Fees
22/04/2023,60077324,1525,1400,Momma J's Kitchen,RC300782,,Section 31 Holiday Activities and Food,R4401,Fees and Charges
22/04/2023,60077323,1524,1527.65,Momma J's Kitchen,RC300782,,Section 31 Holiday Activities and Food,R4401,Fees and Charges
23/04/2023,60077311,375,575.5,Home Straight Partnership Ltd,RC508404,,ASC S&R Homecare OP,R5029,TPP - Home Care
23/04/2023,60077027,04629 - 04631,1023,The Caring Company Rutland,RC508741,,ASC S&R Homecare OP,R5029,TPP - Home Care
23/04/2023,60077063,115895,1476,Macildowie Associates Limited,RC300706,694 2566 96,Finance,R1100,Agency Staff
23/04/2023,60077062,115894,2168.69,Macildowie Associates Limited,RC300706,694 2566 96,Finance,R1100,Agency Staff
23/04/2023,60077035,ARG 01383,15861.76,A & R Guardian Services Ltd,RC509277,,ASC S&R Homecare OP,R5029,TPP - Home Care
24/04/2023,60077023,50,1238.75,JFrostPlayTherapy,RC301930,,SEN Recovery Plan Expenditure,R4400,Professional Fees
24/04/2023,60077041,Redacted Personal Data,1738,ICall Care,RC302020,,ASC S&R Homecare OP,R5029,TPP - Home Care
24/04/2023,60077046,Redacted Personal Data,1978.67,ICall Care,RC302020,,ASC S&R Homecare PD,R5029,TPP - Home Care
24/04/2023,60077634,445087,3760.2,Alliance Foster Care Ltd,RC301194,,Placements,R5017,TPP - Other
24/04/2023,60077049,RCC0045,4942.81,A&S Rescue Services Limited,RC302095,,ASC S&R Homecare OP,R5029,TPP - Home Care
25/04/2023,60077060,2328,1440,New Leaf Triangle CIC,RC300536,,Section 31 Holiday Activities and Food,R4401,Fees and Charges
25/04/2023,60077628,866,2049.12,Platform Up Ltd,RC301916,274231711,UASC 16-17,R6293,Asylum Seekers Allowance
25/04/2023,60077073,RCC00041,6146.91,Snowdrop Home Care Rutland Ltd,RC301472,,ASC S&R Homecare OP,R5029,TPP - Home Care
25/04/2023,60077071,RCC0079,8858.75,Midlands Total Care Limited,RC301877,,ASC S&R Homecare OP,R5029,TPP - Home Care
25/04/2023,60077070,RCC0078,10337.5,Midlands Total Care Limited,RC301877,,ASC S&R Homecare OP,R5029,TPP - Home Care
26/04/2023,60077127,13001584910,591.73,Enterprise Car Club,RC509499,215 5573 14,Pool Cars and Car Hire,R3004,Vehicle Maintenance
26/04/2023,60077123,266727,647.5,James Andrews Recruitment Solutions,RC302195,976026696,Housing Options Team,R1100,Agency Staff
26/04/2023,60077158,5153839,749,Northamptonshire Healthcare NHS Foundation Trust,RC508217,654 4039 40,Sexual Health,R5017,TPP - Other
26/04/2023,60077135,49894,939,Total Environmental Compliance LTD,RC302072,669613888,Central Maintenance,R2004,R & M - Programmed
26/04/2023,60077157,3383,1080,The Melton Learning Hub,RC507309,,Education Otherwise,R4401,Fees and Charges
26/04/2023,60077675,3388,1080,The Melton Learning Hub,RC507309,,SEN Funding EOTAS & Tuition,R4400,Professional Fees
26/04/2023,60077120,43140,1099.75,Hunter Gatherer AHP Resourcing Limited,RC302146,,Hospital Discharge and Therapy,R1100,Agency Staff
26/04/2023,60077136,Redacted Personal Data,1200,Redacted Personal Data,RC302276,,WHZAN ASC Project,R4401,Fees and Charges
26/04/2023,60077555,3387,1360,The Melton Learning Hub,RC507309,,Education Otherwise,R4401,Fees and Charges
26/04/2023,60077117,3384,1465,The Melton Learning Hub,RC507309,,Education Otherwise,R4401,Fees and Charges
26/04/2023,60077119,3386,1755,The Melton Learning Hub,RC507309,,Education Otherwise,R4401,Fees and Charges
26/04/2023,60077118,3385,2580,The Melton Learning Hub,RC507309,,Education Otherwise,R4401,Fees and Charges
26/04/2023,60077371,S174 Partial Award of Appeal Costs,5924,One off Invoice Payments - BACS,RC300802,,Development Control,R4401,Fees and Charges
26/04/2023,60077122,004264/4128/JMP,6600,Integrated Transport Planning Ltd,RC302380,705 0113 95,National Bus Strategy,R4400,Professional Fees
26/04/2023,60077126,89959869,7074.73,Leicester City Council,RC502036,115 3370 04,SEN Funding Other,R5011,TPP - Local Authorities
26/04/2023,60077178,Redacted Personal Data,10000,Community Inclusive Trust,RC508202,,SEN Funding Maintained Schools and Academies,R5011,TPP - Local Authorities
26/04/2023,60077168,Redacted Personal Data,21026,Greenfields Academy,RC508944,,SEN Funding Maintained Schools and Academies,R5011,TPP - Local Authorities
26/04/2023,60077074,1026,25660.13,Homefield,RC301886,,SEN Funding - Independent Special Schools,R5017,TPP - Other
26/04/2023,60077471,100187403,90398,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,Coroner,R5011,TPP - Local Authorities
27/04/2023,03768527,Redacted Personal Data,600,Redacted Personal Data,RC302185,,Aiming High,R4400,Professional Fees
27/04/2023,03768528,Redacted Personal Data,600,Redacted Personal Data,RC302185,,Aiming High,R4400,Professional Fees
27/04/2023,03768529,Redacted Personal Data,600,Redacted Personal Data,RC302185,,Aiming High,R4400,Professional Fees
27/04/2023,03768530,Redacted Personal Data,600,Redacted Personal Data,RC300200,,Aiming High,R4400,Professional Fees
27/04/2023,03768531,Redacted Personal Data,600,Redacted Personal Data,RC301796,,Aiming High,R4400,Professional Fees
27/04/2023,03768532,Redacted Personal Data,600,Redacted Personal Data,RC302026,,Aiming High,R4400,Professional Fees
27/04/2023,60077342,43B,600.25,Redacted Personal Data,300917,,Family Support Operations,R1100,Agency Staff
27/04/2023,60077481,3845,650,E M Dorman Funeral Directors,RC300285,,Env & Trading Standards,R4401,Fees and Charges
27/04/2023,03768467,Redacted Personal Data,760,Redacted Personal Data,RC302359,,Care Leavers,R6292,Section 24 Payments
27/04/2023,60077084,Added Years Pension Missing April Payment,2920.83,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,LA Pension Costs,R1900,Contribution to Employee provision
27/04/2023,60077169,6122,10483.53,Inspire Education Group,RC301650,135551130,Rutland Adult Skill Budget Post July 2014,R5022,TPP - Schools & Colleges
28/04/2023,03768541,Redacted Personal Data,552,Truelove Property Lettings Ltd,RC301520,,Care Leavers,R4900,Accommodation Costs
28/04/2023,60077402,SN34 - APRIL 2023,700,1st Call County Taxis,RC509302,,SEN Transport,R3207,Transport Contract
28/04/2023,60077514,30SI 988,726.5,Nene Park Academy,RC302310,,SEN Funding Maintained Schools and Academies,R5015,TPP - Other Establishments
28/04/2023,60077619,1051486,728.57,Prime Life Ltd,RC502626,729 8397 74,Interim Beds (CCG),R5028,TPP - Residental Care
28/04/2023,03768547,Redacted Personal Data,760,Redacted Personal Data,RC302359,,Care Leavers,R6292,Section 24 Payments
28/04/2023,60077401,SN29 - APRIL 2023,765,1st Call County Taxis,RC509302,,SEN Transport,R3207,Transport Contract
28/04/2023,60077207,RCC 04/23AB,800,Corby Jet Carz,RC508056,,SEN Transport,R3207,Transport Contract
28/04/2023,60077101,SN38 - APR 23,1160,D C Taxis,RC509186,,SEN Transport,R3207,Transport Contract
28/04/2023,60077506,49,1175,Fox Taxis,RC501652,,SEN Transport,R3207,Transport Contract
28/04/2023,60077915,1051487,1700,Prime Life Ltd,RC502626,729 8397 74,Interim Beds (CCG),R5028,TPP - Residental Care
28/04/2023,60077189,45025,1955.25,Ace Cars Peterborough,RC509239,,SEN Transport,R3207,Transport Contract
28/04/2023,60077617,521,2000,Alysia Caring,RC301932,,Interim Beds (CCG),R5028,TPP - Residental Care
28/04/2023,60078598,90296344,2141.12,Neopost Finance Limited,RC500388,805 6441 40,Reprographics & Post,R4503,Postage
28/04/2023,60077206,RCC 04/23,2160,Corby Jet Carz,RC508056,,Adult Social Services Transport,R3207,Transport Contract
28/04/2023,60077202,GB02CSI029900,2209,Direct Healthcare Group,RC509045,241 6574 10,Capital Programme People - Adults,C1150,Capital Grant Expenditure
28/04/2023,60077190,161,2565,Bayou Bluenvironment Ltd,RC300096,125 8219 18,Development Control,R4400,Professional Fees
28/04/2023,60077824,90877,3525.4,Park Lodge Project,RC302349,,UASC 16-17,R6292,Section 24 Payments
28/04/2023,60077129,Consultancy April 2023,4050,Redacted Personal Data,RC301300,,SEN Recovery Plan Expenditure,R4400,Professional Fees
28/04/2023,60077556,13024,4195,DPM,RC302052,997 1450 78,Tourism,R4401,Fees and Charges
28/04/2023,60077561,1051351,106269.29,Prime Life Ltd,RC502626,729 8397 74,Older People,R5028,TPP - Residental Care
30/04/2023,60077262,12,540,Redacted Personal Data,RC301967,,Leisure and Health,R4401,Fees and Charges
30/04/2023,60078502,4269,773.8,Action Deafness Ltd,RC506720,978 8916 31,ASC S&R Homecare PD,R5029,TPP - Home Care
30/04/2023,60077601,INV-5053,880,Melton Mowbray Mencap,RC502188,,Disabled Children,R4401,Fees and Charges
30/04/2023,60077257,04634 - 04636,979,The Caring Company Rutland,RC508741,,ASC S&R Homecare OP,R5029,TPP - Home Care
30/04/2023,60077280,12925,1229.5,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077286,12931,1495,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077282,12927,1647,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077283,12928,1647,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077281,12926,2085,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077276,12921,2241.67,Mark Bland Travel Ltd,RC502164,610 5787 48,Public Transport,R5017,TPP - Other
30/04/2023,60077771,14734,2689,Voluntary Action Rutland,RC502550,,Concessionary Travel,R6270,Concessionary fares
30/04/2023,60077806,SINVFT00021501,2750,Longhurst Group Ltd,RC502529,326027036,BCF: Assistive Technology,R4401,Fees and Charges
30/04/2023,60077285,12930,2887.5,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077513,3-23/24,2962.94,Rutland Citizens Advice Bureau,RC500792,271224528,Financial Crisis Support,R4401,Fees and Charges
30/04/2023,60077284,12929,2992.5,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077279,12924,3045,Mark Bland Travel Ltd,RC502164,610 5787 48,Home to School Transport,R3207,Transport Contract
30/04/2023,60077467,SINVFT00021417,3706.28,Longhurst Group Ltd,RC502529,326027036,BCF: Assistive Technology,R4000,Furniture & Equipment
30/04/2023,60077635,445088,3897.9,Alliance Foster Care Ltd,RC301194,,Placements,R5017,TPP - Other
30/04/2023,60077583,INV-012825,8310,Psychology Direct Ltd,RC302221,,SEN Operations,R4400,Professional Fees
30/04/2023,60077277,12922,10983.33,Mark Bland Travel Ltd,RC502164,610 5787 48,Public Transport,R5017,TPP - Other
30/04/2023,60077278,12923,10995.83,Mark Bland Travel Ltd,RC502164,610 5787 48,Public Transport,R5017,TPP - Other
30/04/2023,60077839,CW026RCC,15642.6,TLC Youth Care Ltd,RC301746,,Placements,R5017,TPP - Other
30/04/2023,60077840,INV-14142,21642.86,Dudley Lodge,RC302357,,Placements,R4900,Accommodation Costs
01/05/2023,60076989,SIN193173,509.47,Ambitions Personnel Limited,RC302090,GB613557153,Highways Management,R1100,Agency Staff
01/05/2023,60077450,INV0000007377,514.8,Imperial Civil Enforcement Solutions Ltd,RC501321,794 3960 79,Parking,R4401,Fees and Charges
01/05/2023,60076732,SIN193044,518.1,Ambitions Personnel Limited,RC302090,GB613557153,Highways Management,R1100,Agency Staff
01/05/2023,60077527,MIN0089635,518.5,Partic Motor Spares Ltd,RC508903,309473451,Transport Fleet,R3004,Vehicle Maintenance
01/05/2023,60076918,5481,535,Coeval Ltd,RC302333,,Safety,R5009,TPP - Highway`s
01/05/2023,60077482,Redacted Personal Data,550,Nic Barker Ltd,RC300026,241 1337 49,Waste Management,R4000,Furniture & Equipment
01/05/2023,60077044,INV478602,579,Sellick Partnership Ltd,RC300496,864 2880 95,Legal Services,R1100,Agency Staff
01/05/2023,60077184,RINV/00009915,598,Fostering Network,RC501650,231 6335 90,Placements,R4701,Subscriptions
01/05/2023,60077340,05-Oct-46,599.5,Norton Taxi Services Ltd,RC301685,,SEN Transport,R3207,Transport Contract
01/05/2023,60077397,3439,600,Rays Taxis,RC301709,,Children Looked After Transport,R3207,Transport Contract
01/05/2023,60077487,J078 / 134321 / 4,608.51,Tarmac Trading Ltd,RC507911,143 7761 02,Drainage and Jetting,R5009,TPP - Highway`s
01/05/2023,60076464,SIN192918,638.99,Ambitions Personnel Limited,RC302090,GB613557153,Highways Management,R1100,Agency Staff
01/05/2023,60077149,SIN193301,638.99,Ambitions Personnel Limited,RC302090,GB613557153,Highways Management,R1100,Agency Staff
01/05/2023,60077396,Redacted Personal Data,640,Super Scientists Ltd,RC301671,436 1387 92,SEN Funding EOTAS & Tuition,R4400,Professional Fees
01/05/2023,60077639,E2016988135,675.29,Allstar Business Solutions Ltd,RC507815,747 8801 91,Pool Cars and Car Hire,R3000,Fuel
01/05/2023,60077608,SI-17214,688.96,MCS Cleaning and maintenance Ltd,RC302323,926718694,Central Maintenance,R2700,Contract Cleaning
01/05/2023,60077652,P20682,696.2,Recycle Force Ltd,RC302063,,Waste Management,R5003,TPP - Recycling Contract
01/05/2023,60077132,100187055,700,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,Human Resources,R4400,Professional Fees
01/05/2023,60077211,230487,700,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60077300,479,700,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60078005,SI206930,708,Academy 21 Limited,RC302362,157206222,Education Otherwise,R4400,Professional Fees
01/05/2023,60077241,Redacted Personal Data,716,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077216,230499,730,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60077887,2370 04 23,750,Caroline Lee Associates Limited,RC302300,994293959,Legal Services,R4400,Professional Fees
01/05/2023,60076653,29345,785,Vogal Group Ltd,RC300065,551 0785 51,Central Maintenance,R2003,R & M - Emergency Works
01/05/2023,60077078,1907009830,809.47,West Lindsey District Council,RC509442,,IT Operational Support,R4534,Computing - Maintenance Agreements
01/05/2023,60077339,17079,833,Norton Taxi Services Ltd,RC301685,,Adult Social Services Transport,R3207,Transport Contract
01/05/2023,60077369,D0020852,856.31,Harborough District Council,RC501755,121 5258 05,Customer Services Team,R5011,TPP - Local Authorities
01/05/2023,60077238,Redacted Personal Data,860.8,Super Scientists Ltd,RC301671,436 1387 92,SEN Funding EOTAS & Tuition,R4400,Professional Fees
01/05/2023,60077234,Redacted Personal Data,864,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077236,Redacted Personal Data,864,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077239,Redacted Personal Data,864,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077240,Redacted Personal Data,864,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077509,Redacted Personal Data,864,Super Scientists Ltd,RC301671,436 1387 92,Education Otherwise,R4400,Professional Fees
01/05/2023,60077306,20-Apr-01,880,Ace Cabs Stamford Ltd,RC500124,184 8594 53,Post 16 Transport,R3207,Transport Contract
01/05/2023,60077043,INV478601,892.64,Sellick Partnership Ltd,RC300496,864 2880 95,Legal Services,R1100,Agency Staff
01/05/2023,60077315,60879,899.1,The Play Inspection Company Ltd,RC501130,845 1840 23,Amenity Grass (Urban Grass & Public Open Spaces),R2076,Grounds Maintenance - Non Contract
01/05/2023,60077643,INV-1329,926.5,Corby Star Cars Ltd,RC501949,307243038,Children Looked After Transport,R3207,Transport Contract
01/05/2023,60076721,100182461,933,Leicestershire County Council (Treasurers Dept),RC502058,115 3371 02,BCF: Programme Support,R4300,Printing & Photocopying
01/05/2023,60077411,INV-18974,968.5,Anglo Integrated Systems Ltd,RC500178,638 6762 94,Central Maintenance,R2004,R & M - Programmed
01/05/2023,60077603,SI-17091,985,MCS Cleaning and maintenance Ltd,RC302323,926718694,Central Maintenance,R2700,Contract Cleaning
01/05/2023,60077235,Redacted Personal Data,992,Super Scientists Ltd,RC301671,436 1387 92,SEN Funding EOTAS & Tuition,R4400,Professional Fees
01/05/2023,60077213,230490,1000,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60077263,5230001,1000,Robert Evans Catmose Limited T/A Taxi Bob,RC302204,,SEN Transport,R3207,Transport Contract
01/05/2023,60077307,477,1000,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077606,SI-17212,1000.69,MCS Cleaning and maintenance Ltd,RC302323,926718694,Central Maintenance,R2700,Contract Cleaning
01/05/2023,60077422,2202055,1024,StaffAid Limited,RC300674,246 0481 17,Management of Community Support Services,R1100,Agency Staff
01/05/2023,60077125,10960143,1029,The Oyster Partnership Ltd,RC302167,832961025,Highways Management,R1100,Agency Staff
01/05/2023,60077361,12346552,1031.75,Daisy Communications Ltd,RC507045,722 4713 55,IT Operational Support,R4537,Computing - Internet
01/05/2023,60077231,1449,1050,Skeen Computing Services Limited,RC509489,428 5652 32,Digital Rutland,R4400,Professional Fees
01/05/2023,60077605,SI-17211,1054.49,MCS Cleaning and maintenance Ltd,RC302323,926718694,Central Maintenance,R2700,Contract Cleaning
01/05/2023,60077420,2202037,1055.53,StaffAid Limited,RC300674,246 0481 17,Management of Community Support Services,R1100,Agency Staff
01/05/2023,60077510,Redacted Personal Data,1072.8,Super Scientists Ltd,RC301671,436 1387 92,SEN Funding EOTAS & Tuition,R4400,Professional Fees
01/05/2023,60077868,2304101,1087,Berridge Taxis,RC503277,978 4186 62,Section 31 Holiday Activities and Food,R4401,Fees and Charges
01/05/2023,60077423,2202063,1156.5,StaffAid Limited,RC300674,246 0481 17,Management of Community Support Services,R1100,Agency Staff
01/05/2023,60077637,CEN-202304044,1170,The Housing Network,RC302053,,Homelessness,R4900,Accommodation Costs
01/05/2023,60076227,MTGI00191284,1188,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60077400,MTGI00198742,1188,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60077353,VP92192270Q073,1198.17,British Telecommunications Plc,RC501804,245 7193 48,Telecommunications,R4504,Telephone Rental
01/05/2023,60077140,SIN0009923,1200,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
01/05/2023,60077301,480,1200,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077343,475,1200,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077332,183959,1200.12,New Earth Solutions (West) Limited T/A Mid-UK Recycling Ltd,RC505938,246 2500 29,Waste Management,R5021,TPP - Waste Disposal
01/05/2023,60077287,INV-0126,1246.73,Mark Bland Travel Ltd,RC502164,610 5787 48,Concessionary Travel,R6270,Concessionary fares
01/05/2023,60077512,2-23/24,1250,Rutland Citizens Advice Bureau,RC500792,271224528,Financial Crisis Support,R5017,TPP - Other
01/05/2023,60077214,230496,1267,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60076978,10959501,1274,The Oyster Partnership Ltd,RC302167,832961025,Highways Management,R1100,Agency Staff
01/05/2023,60077730,Redacted Personal Data,1294.42,Claranet Limited,RC500963,908 7593 83,IT Operational Support,R4537,Computing - Internet
01/05/2023,60077304,483,1300,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077726,C502114,1311.97,Print Image Network Ltd,RC508418,757 6567 76,Elections - Local,R4503,Postage
01/05/2023,60077681,6450,1314,Resource Futures Ltd,RC301499,,Waste Management,R4400,Professional Fees
01/05/2023,60077173,LQP615120,1327.5,Liquid Personnel Ltd,RC302142,,Childrens Social Care Staffing,R1101,Agency Staff Expenses
01/05/2023,60077641,INV-1327,1349,Corby Star Cars Ltd,RC501949,307243038,Home to School Transport,R3207,Transport Contract
01/05/2023,60077210,230486,1350,Topps Express Limited,RC501196,996 3909 51,SEN Transport,R3207,Transport Contract
01/05/2023,60077548,230486,1350,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60077660,679,1350,PWLC Projects,RC301681,236 3057 22,Transport Strategy,R4400,Professional Fees
01/05/2023,60077081,J078 / 130110 / 160,1356.24,Tarmac Trading Ltd,RC507911,143 7761 02,Env & Trading Standards,R4000,Furniture & Equipment
01/05/2023,60077651,P20681,1360,Recycle Force Ltd,RC302063,,Waste Management,R5021,TPP - Waste Disposal
01/05/2023,60077305,484,1380,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077242,Redacted Personal Data,1392.2,Super Scientists Ltd,RC301671,436 1387 92,SEN Funding EOTAS & Tuition,R4400,Professional Fees
01/05/2023,60077194,29361,1399.5,Vogal Group Ltd,RC300065,551 0785 51,Central Maintenance,R2003,R & M - Emergency Works
01/05/2023,60077192,49437,1439.97,Wybone Ltd,RC502244,182 0886 50,Street Cleaning,R4000,Furniture & Equipment
01/05/2023,60077212,230488,1450,Berridge Taxis,RC503277,978 4186 62,SEN Transport,R3207,Transport Contract
01/05/2023,60077299,478,1450,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60076756,MTGI00195397,1480,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60076985,MTGI00196946,1480,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60077448,SIN0010359,1480,Seven Resourcing Ltd,RC301926,,ASC P&S Staffing,R1100,Agency Staff
01/05/2023,60077302,481,1490,Ace Cabs Stamford Ltd,RC500124,184 8594 53,SEN Transport,R3207,Transport Contract
01/05/2023,60077455,SW-0002,1500,Beyond Consult Ltd,RC302113,383 9062 71,Economic Development,R4400,Professional Fees
01/05/2023,60077219,230485,1530.5,Berridge Taxis,RC503277,978 4186 62,Post 16 Transport,R3200,Hire of Vehicles & Plant
01/05/2023,60077517,1197,1553.75,Wish Care Limited,RC301323,330 4404 50,Disabled Children,R5015,TPP - Other Establishments
01/05/2023,60077175,LQP615122,1554,Liquid Personnel Ltd,RC302142,,ASC Support and Review Staffing,R1100,Agency Staff
01/05/2023,60077490,148,1596.75,Sheerwood Skip Services,RC500887,638 2780 15,Waste Management,R5021,TPP - Waste Disposal
01/05/2023,60077892,SI-K0000003127,1602,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/05/2023,60077171,LQP615118,1606.5,Liquid Personnel Ltd,RC302142,,DOLS,R1100,Agency Staff
01/05/2023,60077172,LQP615119,1606.5,Liquid Personnel Ltd,RC302142,,DOLS,R1100,Agency Staff
01/05/2023,60077832,INV-27669,1659.17,Locate Accommodation Ltd,RC301793,737619993,UASC 16-17,R6293,Asylum Seekers Allowance
01/05/2023,60076927,RU783142S,1659.84,The Mailshop Mailing Ltd,RC302389,GB 943 763 302,Communication,R4400,Professional Fees
01/05/2023,60077174,LQP615121,1665,Liquid Personnel Ltd,RC302142,,Childrens Social Care Staffing,R1101,Agency Staff Expenses
01/05/2023,60077227,B3668,1705,Westcotes House Ltd,RC505233,987 7451 53,Homelessness,R4900,Accommodation Costs
01/05/2023,60077333,183960,1743,New Earth Solutions (West) Limited T/A Mid-UK Recycling Ltd,RC505938,246 2500 29,Waste Management,R5021,TPP - Waste Disposal
01/05/2023,60077644,INV-1330,1750,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/05/2023,60077137,Q501421,1763,NLA Media Access Ltd,RC507164,661 8652 15,Communication,R4701,Subscriptions
01/05/2023,60077183,LQP613683,1768.95,Liquid Personnel Ltd,RC302142,,Childrens Social Care Staffing,R1101,Agency Staff Expenses
01/05/2023,60077830,INV-27667,1779.17,Locate Accommodation Ltd,RC301793,737619993,Unaccompanied Asylum Seekers - Over 18,R6293,Asylum Seekers Allowance
01/05/2023,60077831,INV-27668,1779.17,Locate Accommodation Ltd,RC301793,737619993,Unaccompanied Asylum Seekers - Over 18,R6293,Asylum Seekers Allowance
01/05/2023,60077270,Redacted Personal Data,1796.67,ICall Care,RC302020,,ASC S&R Homecare OP,R5029,TPP - Home Care
01/05/2023,60077645,INV-1331,1800,Corby Star Cars Ltd,RC501949,307243038,SEN Transport,R3207,Transport Contract
01/05/2023,60077632,50643/0569955,1813.89,Class Affinity Projects Limited t/a Class Networks,RC302417,733 7093 31,Mobile Phones,R4507,Mobile Telephones
01/05/2023,60077893,SI-K0000003128,1840.8,Horizon Supported Accommodation,RC506973,841 788494,Care Leavers,R4900,Accommodation Costs
01/05/2023,60076441,MTGI00193245,1850,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60077176,MTGI00198743,1850,Matchtech,RC301148,991 2571 00,Highways Management,R1100,Agency Staff
01/05/2023,60077486,J078 / 134321 / 3,1856.15,Tarmac Trading Ltd,RC507911,143 7761 02,Safety,R5009,TPP - Highway`s
01/05/2023,60077232,W3315,1860,Westcotes House Ltd,RC505233,987 7451 53,Homelessness,R4900,Accommodation Costs
