Supplier Name,Net Amount,Spend Type,Service,Department,Account,Entry Date,Payment type,
ACS HOMECARE LTD," 1,238.40 ",Non Lbi Domiciliary Care      ,Physical Support 75-84        ,Adult Social Services,General Fund,10 Jul 23,Invoiced,
Action First Assessments Ltd, 500.00 ,General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,21 Sep 23,Invoiced,
Action First Assessments Ltd, 550.00 ,General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,6 Sep 23,Invoiced,
Action First Assessments Ltd," 1,100.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
Action First Assessments Ltd," 1,200.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
Action First Assessments Ltd," 1,500.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,9 Aug 23,Invoiced,
Action First Assessments Ltd," 1,800.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,15 Sep 23,Invoiced,
Action First Assessments Ltd," 2,250.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,9 Aug 23,Invoiced,
Action First Assessments Ltd," 2,500.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,24 Jul 23,Invoiced,
Action First Assessments Ltd," 2,700.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,10 Aug 23,Invoiced,
Action First Assessments Ltd," 2,950.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,3 Jul 23,Invoiced,
Action First Assessments Ltd," 3,350.00 ",General Fees & Services       ,Safeguarding Adults           ,Adult Social Services,General Fund,1 Aug 23,Invoiced,
ACTION FOR CHILDREN LTD," 3,152.00 ",Direct Payment To N.S.O       ,AIM HIGHER - SHORT BREAKS     ,Children & Young People,General Fund,30 Jun 23,Invoiced,
ACTION FOR CHILDREN LTD," 4,795.14 ",Purchases General             ,Post 18 Asylum                ,Children & Young People,General Fund,10 Aug 23,Invoiced,
ACTION FOR CHILDREN LTD," 6,773.60 ",Direct Payment To N.S.O       ,AIM HIGHER - SHORT BREAKS     ,Children & Young People,General Fund,7 Jul 23,Invoiced,
ACTION FOR CHILDREN LTD," 8,962.50 ",Commissioning Costs           ,DCS Personal Budgets          ,Children & Young People,General Fund,14 Jul 23,Invoiced,
ACTION FOR CHILDREN LTD," 9,692.00 ",Commissioning Costs           ,DCS Personal Budgets          ,Children & Young People,General Fund,21 Sep 23,Invoiced,
ACTION FOR CHILDREN LTD," 9,907.85 ",Commissioning Costs           ,DCS Personal Budgets          ,Children & Young People,General Fund,17 Aug 23,Invoiced,
ACTION FOR CHILDREN LTD," 16,348.80 ",Direct Payment To N.S.O       ,AIM HIGHER - SHORT BREAKS     ,Children & Young People,General Fund,30 Jun 23,Invoiced,
ACTION FOR CHILDREN LTD," 17,500.00 ",Direct Payment To N.S.O       ,Strategy Comm & Policy        ,Children & Young People,General Fund,13 Jul 23,Invoiced,
ACTIVE LANDSCAPES LIMITED, 692.00 ,Direct Payment To N.S.O       ,EY REPAIRS & MAINTENANCE      ,Children & Young People,General Fund,18 Aug 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 11,505.00 ",General Works                 ,EY REPAIRS & MAINTENANCE      ,Children & Young People,General Fund,17 Jul 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 14,838.95 ",General Works                 ,EY REPAIRS & MAINTENANCE      ,Children & Young People,General Fund,28 Jun 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 2,952.85 ",Purchases General             ,Director of Operations        ,Homes & Neighbourhoods,HRA,24 Jul 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 6,528.57 ",Purchases General             ,Thriving Neighbourhoods       ,Homes & Neighbourhoods,HRA,20 Sep 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 10,321.00 ",Purchases General             ,Thriving Neighbourhoods       ,Homes & Neighbourhoods,HRA,18 Jul 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 1,560.00 ",Buildings-General             ,Performance & Improvement     ,Environment & Climate Change,General Fund,17 Aug 23,Invoiced,
ACTIVE LANDSCAPES LIMITED," 2,735.96 ",Buildings-General             ,Performance & Improvement     ,Environment & Climate Change,General Fund,5 Sep 23,Invoiced,
ACTUAL FIRST AID LTD, 600.00 ,Training - External Courses   ,CSC Workforce                 ,Children & Young People,General Fund,13 Jul 23,Invoiced,
ADCS," 2,795.00 ",Sundry Subscriptions          ,D & ADs                       ,Children & Young People,General Fund,1 Aug 23,Invoiced,
Addison Lee Extra, 1.32 ,Taxi / MiniCab Fares,COMMUNITY SAFETY - E&R,Homes & Neighbourhoods,General Fund,29 Aug 23,Purchase Card,
Addison Lee Extra, 1.32 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,8 Sep 23,Purchase Card,
Addison Lee Extra, 1.32 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,9 Sep 23,Purchase Card,
Addison Lee Extra, 1.98 ,Taxi / MiniCab Fares,LEARNING & SKILLS,Community Wealth Building,General Fund,13 Sep 23,Purchase Card,
Addison Lee Extra, 6.20 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,8 Sep 23,Purchase Card,
Addison Lee Extra, 6.60 ,Taxi / MiniCab Fares,Trading Standards,Homes & Neighbourhoods,General Fund,9 Sep 23,Purchase Card,
Addison Lee Extra, 28.38 ,Taxi / MiniCab Fares,Rough Sleeping,Homes & Neighbourhoods,General Fund,17 Jul 23,Purchase Card,
AdEPT TECHNOLOGY GROUP PLC, 540.00 ,Charges For Services          ,SCHOOL ICT SUPPORT PARTNERSHIP,Children & Young People,General Fund,2 Aug 23,Invoiced,
