Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
Abbeygate Garages,09/07/2024,"£1,062.05",Vehicle Repairs
Abbott Toxicology Limited,29/07/2024,"£1,505.48",Other Non-Operational Equipment
Agiito Limited,06/07/2024,"£14,892.72",Hotel Accommodation
Agiito Limited,12/07/2024,"£1,869.98",Hotel Accommodation
Agiito Limited,17/07/2024,"£1,671.05",Public Transport
Agiito Limited,20/07/2024,"£5,066.21",Hotel Accommodation
Agiito Limited,23/07/2024,£868.00,Hotel Accommodation
Agiito Limited,27/07/2024,£993.12,Hotel Accommodation
Agiito Limited,31/07/2024,"£1,037.70",Public Transport
Airwave Solutions Limited,19/07/2024,"£81,488.94",Airwave
Allstar Business Solutions,31/07/2024,"£2,597.55",Vehicle Fuel
Allstar Business Solutions,31/07/2024,"£54,312.23",Vehicle Fuel
Allstar Business Solutions,15/08/2024,"£2,382.86",Vehicle Fuel
Allstar Business Solutions,15/08/2024,"£51,435.89",Vehicle Fuel
Allwag Promotions Limited,22/07/2024,£878.40,Promotional material
Amr Electrical Services Limited,08/07/2024,"£7,741.07",Maintenance
Amr Electrical Services Limited,15/07/2024,"£4,362.81",Building Works - Other
Amr Electrical Services Limited,22/07/2024,"£9,688.95",Maintenance
Amr Electrical Services Limited,30/07/2024,"£22,858.12",Building Works - Other
Amr Mechanical Services Limited,19/06/2024,£760.72,Maintenance
Amr Mechanical Services Limited,08/07/2024,"£4,050.38",Maintenance
Amr Mechanical Services Limited,30/07/2024,"£20,206.82",Maintenance
Anglia Ruskin University,15/05/2024,£660.00,Conference and Seminar Fees
"Anglo Scottish Equipment
(Southern) Limited",09/04/2024,"£2,700.00",Building Works - Other
"Anglo Scottish Equipment
(Southern) Limited",31/07/2024,£752.85,Rent
Apex Signs And Engraving Limited,19/06/2024,"£2,003.50",Building Signage
Arco Limited,18/07/2024,£759.75,Clothing and Uniforms
Aristi Limited,11/07/2024,"£3,591.25",Stationery and Office Consumables
