Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,13/01/2025,"£1,513.33",Industrial Tribunal Payouts
Abbeygate Garages,06/12/2024,"£6,140.05",Vehicle Repairs
Abbeygate Garages,23/12/2024,"£2,168.17",Vehicle Repairs
Acs Technology Group Limited,31/12/2024,"£10,943.24",Hardware
Acume Forensics Limited,10/12/2024,"£2,000.00",Professional Fees
Advanced Services Limited,21/01/2025,£543.71,Vehicle Insurance
Aero Healthcare,05/12/2024,£677.40,First Aid Equipment / Consumables
Agiito Limited,06/12/2024,"£5,157.29",Hotel Accommodation
Agiito Limited,12/12/2024,"£4,412.10",Hotel Accommodation
Agiito Limited,19/12/2024,"£3,674.92",Public Transport
Agiito Limited,20/12/2024,"£5,309.48",Hotel Accommodation
Agiito Limited,27/12/2024,"£2,837.69",Hotel Accommodation
Agiito Limited,31/12/2024,"£6,142.22",Public Transport
Agiito Limited,03/01/2025,"£1,020.41",Hotel Accommodation
Airwave Solutions Limited,12/12/2024,"£78,920.07",Airwave
Alarm,01/01/2025,"£1,085.00",Subscriptions
Allstar Business Solutions,31/12/2024,"£49,236.18",Vehicle Fuel
Allstar Business Solutions,15/01/2025,"£49,915.33",Vehicle Fuel
Allwag Promotions Limited,09/12/2024,£785.00,Promotional material
Ambitious PR,30/11/2024,"£1,800.00",Promotional material
Amr Electrical Services Limited,05/12/2024,"£1,132.82",Maintenance
Amr Electrical Services Limited,09/12/2024,"£9,170.36",Maintenance
Amr Electrical Services Limited,13/12/2024,"£3,409.67",Maintenance
Amr Mechanical Services Limited,09/12/2024,£902.00,Maintenance
Amr Mechanical Services Limited,16/12/2024,"£9,392.94",Maintenance
Amr Mechanical Services Limited,31/12/2024,"£3,471.39",Maintenance
Anglian Water Business,11/12/2024,"£5,612.54",Utilities
"Anglo Scottish Equipment
(Southern) Limited",31/12/2024,£752.85,Rent
Armadillo Sec Limited,10/12/2024,"£4,987.50",Data - Consultancy - Implementation
"Autoquip (Gb) Garage Equipment
Limited",27/11/2024,£590.70,Vehicle Workshop Equipment
"Autoquip (Gb) Garage Equipment
Limited",19/12/2024,"£1,376.00",Vehicle Workshop Equipment
"AVR GROUP LIMITED T/A
ALERTCOM",01/12/2024,"£9,594.00",Hardware
"AVR GROUP LIMITED T/A
ALERTCOM",01/01/2025,"£1,992.00",Telecom Forensics
Ballicom Limited,20/12/2024,"£2,252.00",Hardware - purchase
