Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,03/04/2024,"£3,450.00",Counsel Fees
A C Leigh Limited,22/10/2024,"£1,108.54",Building Works
Abbeygate Garages,15/10/2024,"£2,124.10",Vehicle Repairs
Abbeygate Garages,31/10/2024,"£1,062.05",Vehicle Repairs
Acs Technology Group Limited,28/10/2024,£800.00,Telephony Equipment
Acume Forensics Limited,15/11/2024,"£3,000.00",Professional Fees
Agiito Limited,06/10/2024,"£1,972.82",Hotel Accommodation
Agiito Limited,12/10/2024,"£23,153.15",Hotel Accommodation
Agiito Limited,17/10/2024,"£7,563.93",Public Transport
Agiito Limited,20/10/2024,"£4,572.82",Hotel Accommodation
Agiito Limited,27/10/2024,"£8,503.92",Hotel Accommodation
Agiito Limited,30/10/2024,"£5,230.60",Public Transport
Airwave Solutions Limited,14/10/2024,£949.79,Airwave
Allstar Business Solutions,31/10/2024,"£56,092.63",Vehicle fuel
Allstar Business Solutions,15/11/2024,"£52,502.48",Vehicle fuel
Ambitious PR,05/11/2024,"£1,500.00",Promotional material
Amr Mechanical Services Limited,18/10/2024,"£6,141.57",Maintenance
Anglia Ruskin University,15/10/2024,"£21,691.67",DHEP Training Costs
Anglian Water Business,11/10/2024,"£6,372.08",Utilities
"Anglo Scottish Equipment
(Southern) Limited",31/10/2024,£752.85,Rent
Antrica Division Of Zilica Limited,31/10/2024,"£1,902.00",Hardware
Arktis Limited,16/10/2024,"£3,100.00",Clothing and Uniforms
Arktis Limited,23/10/2024,"£2,103.00",Clothing and Uniforms
Arktis Limited,01/11/2024,£995.00,Clothing and Uniforms
Armstrong Watson LLP,30/10/2024,"£12,672.00",Miscellaneous Home Office Grants
Auxillis Services Limited,07/11/2024,"£2,157.16",Vehicle Insurance
"AVR GROUP LIMITED T/A
ALERTCOM",01/11/2024,"£2,279.00",Telecom Forensics
Badger Software Limited,29/10/2024,"£16,562.00",Software - Maintenance
Bba Digital Media,07/11/2024,"£3,825.00",Promotional material
Birketts LLP,10/10/2024,£513.50,Land and Building Disposal Costs
Birketts LLP,20/11/2024,"£1,920.50",Estates Legal Costs
Boing Rapid Secure Limited,01/11/2024,"£1,065.00",Security Services
British Safety Council,21/10/2024,"£1,500.00",External Training Course
British Telecommunications Plc,15/10/2024,"£1,302.30",Intruder Alarms
"C & R Teamwear Limited (Macron
Store Norwich)",15/10/2024,£525.00,Presentations and Awards
C Signs And Graphics Limited,24/10/2024,£890.00,Police Vehicle Sundry Equipment
Cabinet Office,11/10/2024,"£9,756.31",Professional Fees
CBRE Managed Services Limited,31/10/2024,"£8,719.70",Maintenance
Cellmark Limited,15/11/2024,£668.90,Forensic Analysis
Certas Energy,09/10/2024,£884.90,Heating Fuel Oil
Chaplin Farrant Limited,31/10/2024,"£6,006.00",Building Works
Cipfa Business Limited,11/09/2024,£785.00,External Training Course
Clad Safety Limited,24/10/2024,"£1,477.00",Clothing and Uniforms
Cleartone Telecoms Limited,21/10/2024,"£2,758.00",Hardware
CMS Distribution Limited,21/10/2024,"£2,715.66",Furniture and Fittings
College Of Policing,04/09/2024,"£15,131.00",External Training Course
College Of Policing,15/10/2024,"£2,330.00",Other Third Party Payments
College Of Policing,21/10/2024,"£4,183.56",Assessment Centres
