Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,08/03/2024,"£4,800.00",Counsel Fees
5 Essex Chambers,03/07/2024,£562.50,Counsel Fees
Aah Pharmaceuticals Limited,05/06/2024,"£1,299.20",Hepatitis B Vaccinations
Abbeygate Garages,01/05/2024,"£1,040.00",Vehicle Repairs
Abbeygate Garages,13/06/2024,"£1,828.00",Vehicle Repairs
Abbeygate Garages,25/06/2024,"£2,183.73",Vehicle Repairs
ABC Taxis (Ea) Limited,31/05/2024,£837.87,Detained Persons - Costs
Acs Technology Group Limited,27/06/2024,"£4,615.60",Hardware
Aero Healthcare,21/06/2024,£839.36,First Aid Equipment / Consumables
Agiito Limited,06/06/2024,"£9,336.51",Hotel Accommodation
Agiito Limited,12/06/2024,"£12,664.46",Hotel Accommodation
Agiito Limited,20/06/2024,"£4,764.18",Hotel Accommodation
Agiito Limited,25/06/2024,"£6,155.86",Public Transport
Agiito Limited,27/06/2024,£860.01,Hotel Accommodation
Agiito Limited,28/06/2024,"£3,357.40",Public Transport
Airwave Solutions Limited,02/07/2024,"£84,150.94",Airwave
Allstar Business Solutions,15/06/2024,"£2,303.89",Vehicle Fuel
Allstar Business Solutions,15/06/2024,"£51,776.63",Vehicle Fuel
Allstar Business Solutions,30/06/2024,"£51,712.45",Vehicle Fuel
Allstar Business Solutions,30/06/2024,"£1,950.20",Vehicle Fuel
Allstar Business Solutions,15/07/2024,"£2,183.34",Vehicle Fuel
Allstar Business Solutions,15/07/2024,"£49,917.61",Vehicle Fuel
Altberg Limited,19/06/2024,£719.53,Clothing and Uniforms
Amr Electrical Services Limited,07/06/2024,"£2,262.30",Maintenance
Amr Electrical Services Limited,17/06/2024,"£35,726.54",Building Works - Other
Amr Electrical Services Limited,28/06/2024,"£10,755.52",Maintenance
Amr Electrical Services Limited,16/07/2024,"£3,172.25",Maintenance
Amr Mechanical Services Limited,04/06/2024,"£1,712.73",Maintenance
Amr Mechanical Services Limited,10/06/2024,"£5,150.72",Maintenance
Amr Mechanical Services Limited,17/06/2024,"£22,758.25",Building Works - Other
Amr Mechanical Services Limited,28/06/2024,"£2,253.00",Maintenance
Anglia Garage Equipment Limited,06/06/2024,£528.32,Vehicle Workshop Equipment
Anglia Ruskin University,20/06/2024,"£44,524.99",DHEP Training Costs
"Anglo Scottish Equipment
(Southern) Limited",30/06/2024,£728.55,Rent
Arktis Limited,18/06/2024,"£1,364.00",Clothing and Uniforms
Arktis Limited,18/06/2024,"£3,263.00",Clothing and Uniforms
"Av Niche Recording Systems
Limited",03/07/2024,"£6,985.00",Hardware
"AVR GROUP LIMITED T/A
ALERTCOM",01/06/2024,"£2,148.50",Telecom Forensics
"AVR GROUP LIMITED T/A
ALERTCOM",01/07/2024,"£1,586.00",Telecom Forensics
Best For Training,18/06/2024,"£1,166.68",External Training Course
Boing Rapid Secure Limited,05/12/2023,£909.10,Security Services
Boing Rapid Secure Limited,07/06/2024,"£1,367.40",Security Services
Boxxe Limited,28/06/2024,"£37,227.84",Software - Maintenance
British Telecommunications Plc,28/05/2024,"£1,900.00",Subscriber Telephone Details
British Telecommunications Plc,15/06/2024,"£2,400.09",Alarms
British Telecommunications Plc,02/07/2024,"£3,250.00",Network Connectivity
C W Headdress Limited,13/03/2024,"£1,370.80",Clothing and Uniforms
CBRE Managed Services Limited,31/05/2024,£610.50,Maintenance
CBRE Managed Services Limited,30/06/2024,"£32,435.53",Grounds & Caretaking Contract
Cellmark Limited,11/05/2024,"£3,315.05",Forensic Analysis
Certas Energy,28/06/2024,"£1,444.20",Heating Fuel Oil
Chaplin Farrant Limited,30/06/2024,"£3,903.13",Building Works - Other
"Chartered Institute Of Internal
Auditors",13/06/2024,"£2,310.00",External Training Course
Chinock Repairs Limited,22/01/2024,£626.35,Maintenance Specialist Operation Equipment
Chorus Intelligence Limited,10/06/2024,"£20,842.46",Software Licences
Chorus Intelligence Limited,17/06/2024,"£1,572.56",Software Licences
Cirrus Research Plc,17/06/2024,£639.00,Maintenance Specialist Operation Equipment
Civica UK Limited,11/06/2024,"£58,555.00",Hardware
Clyde And Co,27/06/2024,"£4,405.50",Legal Costs
Cobuild Norfolk Limited,07/06/2024,"£2,504.31",Maintenance
College Of Policing,24/05/2024,"£6,748.20",Assessment Centres
College Of Policing,03/06/2024,"£21,065.70",External Training Course
College Of Policing,08/06/2024,"£8,435.25",Assessment Centres
College Of Policing,17/06/2024,"£7,536.31",External Training Course
College Of Policing,26/06/2024,"£4,753.00",External Training Course
Comms Express Limited,04/06/2024,"£2,003.19",Hardware
Constant Cooling Limited,05/06/2024,"£3,235.06",Planned Maintenance - Fabric Decorating
Constant Cooling Limited,13/06/2024,£951.50,"Furniture, Fixtures and Fittings"
Control-F Limited,26/06/2024,"£6,696.00",External Training Course - HR Funded
Control-F Limited,26/06/2024,"£11,120.00",External Training Course - HR Funded
Cooks Blinds And Shutters Limited,30/06/2024,"£4,550.00",Maintenance
Cooneen Defence Limited,02/07/2024,"£2,835.50",Clothing and Uniforms
Crimestoppers Trust,14/06/2024,"£10,000.00",Other Partnerships
Crown Pet Foods Limited,28/06/2024,"£3,141.42",Police Dogs - Food
D. Tec International Limited,06/06/2024,"£7,686.00",Drug Wipes
"Daisy Corporate Services
(Formerly Alternative Networks
Plc)",30/04/2024,"£5,400.00",Data - Consultancy - Implementation
"Daisy Corporate Services
(Formerly Alternative Networks
Plc)",27/06/2024,"£10,350.00",Data - Consultancy - Implementation
"Dell Computer Corporation
Limited",10/06/2024,"£3,492.49",Hardware - purchase
"Dell Computer Corporation
Limited",26/06/2024,"£9,573.00",Hardware
Digital Devices Limited,12/06/2024,"£2,274.00",Hardware - purchase
Dpp Law Limited,17/07/2024,"£13,500.00",Public Liability
Fma,28/06/2024,"£15,000.00",FMA Services
"Drone Training Limited (The Aerial
Academy)",03/06/2024,"£1,500.00",External Training Course
E Rand & Sons Limited,31/05/2024,£725.00,Maintenance
East Coast Insulations Limited,04/06/2024,"£3,611.00",Building Statutory
East Coast Insulations Limited,24/06/2024,"£5,450.00",Building Statutory
Edgar Brothers,02/07/2024,"£1,082.34",Clothing and Uniforms
Ee Limited,03/07/2024,"£1,641.02",Mobile Phone Contract Cost
Elior UK,25/06/2024,"£1,120.00",Conference and Seminar Fees
Enigma Estates Limited,24/06/2024,"£10,750.00",Rent
Enterprise Rent-A-Car,20/05/2024,£624.40,Long Term Hire of Vehicles
Enterprise Rent-A-Car,31/05/2024,"£1,594.76",Long Term Hire of Vehicles
Enterprise Rent-A-Car,10/06/2024,£624.40,Long Term Hire of Vehicles
Enterprise Rent-A-Car,17/06/2024,£624.40,Long Term Hire of Vehicles
Enterprise Rent-A-Car,28/06/2024,"£1,543.32",Long Term Hire of Vehicles
Enterprise Rent-A-Car,01/07/2024,"£6,175.82",Long Term Hire of Vehicles
Enterprise Rent-A-Car,16/07/2024,"£2,400.00",Vehicle Insurance
Ernst And Young Llp,09/07/2024,"£22,341.50",External Audit Fee
Esedirect Limited,12/06/2024,"£2,208.54",Building Works - Other
Espo,17/06/2024,"£1,192.00","Furniture, Fixtures and Fittings"
Ets Sales And Hire Limited,14/06/2024,"£2,495.00",Furniture & Equipment Purchases
Firmin And Sons Limited,20/06/2024,"£2,600.00",Clothing and Uniforms
"Flagmakers (Specialised Canvas
Services Limited)",23/05/2024,£945.66,Presentations and Awards
Fmg Repair Services Limited,10/06/2024,"£4,841.34",Vehicle Insurance
