Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,22/09/2023,"£1,200.00",Legal Costs
5 Essex Chambers,07/02/2024,"£4,800.00",Legal Costs
5 Essex Chambers,08/03/2024,£650.00,Counsel Fees
5 Essex Chambers,03/04/2024,"£8,530.00",Legal Costs
5 Essex Chambers,08/05/2024,"£12,255.00",Counsel Fees
5 Essex Chambers,06/06/2024,"£4,850.00",Counsel Fees
5 Essex Chambers,14/06/2024,£737.49,External Training Course
Aah Pharmaceuticals Limited,14/05/2024,"£1,299.20",Medical Costs
Aco Electronics Limited,08/05/2024,"£2,200.00",Office Equipment
Acota Limited,22/05/2024,"£1,641.93",SOC Consumables
Agiito Limited,06/05/2024,"£3,911.73",Hotel Accommodation
Agiito Limited,12/05/2024,"£2,856.46",Hotel Accommodation
Agiito Limited,17/05/2024,"£5,238.88",Public Transport
Agiito Limited,20/05/2024,"£3,414.87",Hotel Accommodation
Agiito Limited,27/05/2024,"£3,842.01",Hotel Accommodation
Agiito Limited,30/05/2024,"£4,353.00",Public Transport
Ai Mediadata Limited,15/05/2024,"£2,887.50",Licence Fees
Airwave Solutions Limited,01/03/2024,"£80,366.68",Airwave
Airwave Solutions Limited,14/03/2024,"£77,282.58",Airwave
Airwave Solutions Limited,10/04/2024,"£78,361.75",Airwave
Airwave Solutions Limited,20/05/2024,"£80,401.74",Airwave
Airwave Solutions Limited,11/06/2024,"£80,422.54",Airwave
Allstar Business Solutions,15/05/2024,"£3,122.67",Vehicle Fuel
Allstar Business Solutions,31/05/2024,"£57,982.03",Vehicle fuel
Allwag Promotions Limited,08/05/2024,£755.00,Promotional material
Allwag Promotions Limited,14/05/2024,£680.00,Promotional material
Allwag Promotions Limited,28/05/2024,"£1,140.00",Promotional material
Amr Electrical Services Limited,15/05/2024,"£12,472.02",Maintenance
Amr Electrical Services Limited,28/05/2024,"£1,815.00",Maintenance
Amr Mechanical Services Limited,07/05/2024,"£2,354.00",Maintenance
Amr Mechanical Services Limited,29/05/2024,"£28,982.09",Building Works
"Anglo Scottish Equipment
(Southern) Limited",31/05/2024,£752.85,Rent
Antrica Division Of Zilica Limited,21/05/2024,"£2,041.00",Hardware
Apex Signs And Engraving Limited,21/05/2024,£545.00,Building Signage
"AVR GROUP LIMITED T/A
ALERTCOM",01/05/2024,"£1,839.50",Telecom Forensics
Baymed Healthcare Limited,08/05/2024,"£2,895.00",Specialist Operational Equipment
Bennett Safetywear Limited,29/05/2024,"£3,288.75",Clothing and Uniforms
Bluelight Commercial Limited,16/05/2024,£883.68,Software - Maintenance
Boing Rapid Secure Limited,03/05/2024,£977.10,Security Services
British Telecommunications Plc,01/10/2023,"£1,161.21",Network Connectivity
British Telecommunications Plc,01/11/2023,£917.19,Network Connectivity
British Telecommunications Plc,01/12/2023,"£1,406.81",Network Connectivity
British Telecommunications Plc,01/01/2024,"£1,015.50",Network Connectivity
British Telecommunications Plc,01/02/2024,"£1,015.50",Network Connectivity
British Telecommunications Plc,01/03/2024,£978.26,Network Connectivity
British Telecommunications Plc,01/04/2024,£963.44,Network Connectivity
British Telecommunications Plc,01/05/2024,£946.87,Network Connectivity
British Telecommunications Plc,15/05/2024,"£1,761.87",Intruder Alarms
British Telecommunications Plc,01/06/2024,£927.33,Network Connectivity
Buchanan Computing Limited,22/05/2024,"£12,026.79",Software - Maintenance
Buddi Limited,20/05/2024,£530.00,Hire of Operational Equipment
Buddi Limited,31/05/2024,"£11,400.00",Hire of Operational Equipment
Bylaugh Park Partners,13/05/2024,"£52,700.00",Hire of Rooms/Premises
C Signs And Graphics Limited,09/05/2024,£750.00,Vehicles - Spares
Cbre Managed Services Limited,29/04/2024,"£32,261.54",Grounds & Caretaking Contract (FM)
Cbre Managed Services Limited,31/05/2024,"£33,574.66",Grounds & Caretaking Contract (FM)
Chaplin Farrant Limited,31/05/2024,"£5,636.87",Building Works
Civica Uk Limited,24/05/2024,"£3,086.00",Hardware - purchase
Civica Uk Limited,31/05/2024,£600.00,Non IT Equipment
Cobuild Norfolk Limited,30/05/2024,"£5,466.70",Maintenance
College Of Policing,06/12/2023,"£15,824.00",Assessment Centres
College Of Policing,15/05/2024,"£9,266.00",External Training Course
College Of Policing,29/05/2024,"£3,367.68",Exam Costs
Constant Cooling Limited,31/05/2024,£792.00,Maintenance
Control-F Limited,04/06/2024,"£4,950.00",External Training Course
Cooks Blinds And Shutters Limited,22/05/2024,£662.30,Maintenance
"Copyright Licensing Agency
Limited",20/05/2024,"£2,753.10",Licence Fees
Csi Equipment Limited,31/05/2024,£858.00,Forensic Analysis
D.Tec International Limited,07/05/2024,"£7,722.00",Drug Wipes
Dac Beachcroft Llp,26/06/2024,£761.24,Vehicle Insurance
Defend Solutions Limited,28/05/2024,"£1,215.00",Police Vehicle Sundry Equipment
"Dell Computer Corporation
Limited",08/05/2024,"£6,826.00",Hardware
"Dell Computer Corporation
Limited",16/05/2024,"£33,577.17",Hardware
"Dell Computer Corporation
Limited",20/05/2024,"£27,950.00",Hardware
"Dell Computer Corporation
Limited",24/05/2024,"£3,010.00",Hardware
Direct Line,26/06/2024,"£8,567.99",Vehicle Insurance
Draeger Safety Uk Limited,16/05/2024,£604.96,Breath Testing Equipment
E Rand & Sons Limited,31/05/2024,"£1,305.00",Maintenance
Ee Limited,03/06/2024,"£1,640.90",Mobile Phone Contract Cost
Empowering Communities,04/04/2024,"£15,244.00",Software Licences
Enterprise Rent-A-Car,13/05/2024,£624.40,Hire of Vehicles
Espo,16/05/2024,"£1,060.00",PFI Purchases
"First Eastern Counties Buses
Limited",16/05/2024,£940.00,Detained Persons Costs
"Flagmakers (Specialised Canvas
Services Limited)",31/05/2024,£915.19,PFI Purchases
Fma,31/05/2024,"£15,750.00",FMA Services
Fmg Repair Services Limited,10/05/2024,"£8,026.33",Vehicle Insurance
Fmg Repair Services Limited,13/05/2024,"£5,057.69",Vehicle Insurance
Fmg Repair Services Limited,30/05/2024,"£3,633.06",Vehicle Insurance
Footsure Western Limited,06/05/2024,"£1,606.50",Clothing and Uniforms
Force It Solutions Limited,01/06/2024,"£5,200.00",Software - Maintenance
Ford And Slater,20/05/2024,"£2,820.48",Vehicle Repairs
"Ford Motor Company Limited T/A
Parts Plus",10/05/2024,"£3,797.99",Vehicles - Spares
Forensic Pathology Services,24/05/2024,"£1,500.00",Pathologists Fees
Fuchs Lubricants (Uk) Plc,31/05/2024,"£2,888.35",Lubricants (Oil and Grease)
Gartner Uk Limited,30/05/2024,"£59,800.00",Consultants Fees
Geoff Smith Associates Limited,16/05/2024,"£15,527.43",Software - Maintenance
Goodyear Tyres Uk Limited,17/05/2024,"£1,017.76",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,24/05/2024,"£1,177.23",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,30/05/2024,"£1,023.36",Vehicles - Tyres and Tubes
