Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
Enterprise Rent-A-Car,13/12/2024,"£1,401.45",Vehicle Insurance
Esedirect Limited,04/11/2024,£521.90,Building Works
Esedirect Limited,25/11/2024,"£7,529.00",Maintenance
Espo,06/11/2024,"£1,076.00","Furniture, Fixtures and Fittings"
Face On Training,21/11/2024,"£1,000.00",External Training Course
Fivium,11/11/2024,"£5,795.00",Software - Maintenance
Fma,29/11/2024,"£18,112.50",FMA Services
Fmg Repair Services Limited,04/11/2024,"£1,841.17",Vehicle Insurance
Fmg Repair Services Limited,12/11/2024,"£1,158.52",Vehicle Insurance
Fmg Repair Services Limited,20/11/2024,"£8,381.06",Vehicle Insurance
Fmg Repair Services Limited,28/11/2024,"£4,523.54",Vehicle Insurance
Fmg Repair Services Limited,03/12/2024,"£1,573.65",Vehicle Insurance
Footsure Western Limited,19/11/2024,"£1,217.00",Clothing and Uniforms
"Force Development Services
Limited",17/10/2024,"£2,439.33",Firearm equipment
"Ford Motor Company Limited T/A
Parts Plus",25/11/2024,£604.69,Vehicles - Spares
Forensic Analytics Limited,05/11/2024,£680.00,External Training Course
Forensic Pathology Services,08/11/2024,"£6,590.00",Pathologists Fees
Forensic Pathology Services,22/11/2024,"£3,295.00",Pathologists Fees
Fuchs Lubricants (Uk) Plc,04/11/2024,£580.15,Lubricants (Oil and Grease)
Fuchs Lubricants (Uk) Plc,21/11/2024,£627.84,Vehicles - Spares
Galleon Systems Limited,08/11/2024,£723.00,Hardware
Gmk Limited,27/11/2024,"£4,080.00",Clothing and Uniforms
Gmk Limited,03/12/2024,"£4,080.00",Clothing and Uniforms
Goodyear Tyres Uk Limited,18/10/2024,£590.60,Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,06/11/2024,"£1,598.61",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,12/11/2024,£763.26,Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,19/11/2024,"£1,504.44",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,28/11/2024,£636.89,Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,03/12/2024,£510.08,Vehicles - Tyres and Tubes
Grassmats Limited,18/11/2024,"£7,060.00",Building Minor Works
Gresham Office Furniture Limited,17/10/2024,"£10,212.00",Furniture and Fittings
Gresham Office Furniture Limited,22/10/2024,"£1,200.40","Furniture, Fixtures and Fittings"
Gresham Office Furniture Limited,12/11/2024,"£28,689.50","Furniture, Fixtures and Fittings"
Gresham Office Furniture Limited,15/11/2024,"£1,194.00","Furniture, Fixtures and Fittings"
Group 1 Land Rover,13/11/2024,£718.19,Vehicles - Spares
Group 1 Norwich Bmw,25/10/2024,£528.73,Vehicle Repairs
Group 1 Norwich Bmw,18/11/2024,£508.00,Vehicles - Spares
"H&G Technical Solutions Scotland
Limited",23/11/2024,"£2,430.00",Other IT Costs
Harrow Green Limited,18/11/2024,"£7,397.60",Furniture and Fittings
Heckler And Koch (Uk) Limited,04/11/2024,"£3,200.00",External Training Course
Higgs Newton Kenyon Solicitors,09/12/2024,"£1,456.41",Public Liability
Home Office,09/11/2024,"£37,325.78",Telecom Forensics
Ibj Consulting Limited,25/11/2024,"£2,400.00",Documentary Evidence
"Innovate Healthcare Management
Group Limited",02/12/2024,"£1,140.00",Physiotherapy
Inspired Energy Solutions Limited,30/11/2024,"£1,308.08",Other Energy Costs
Integrated Water Services Limited,30/10/2024,"£2,032.84",Building Statutory - Water
Ired LIMITED,12/11/2024,£675.00,Maintenance Specialist Operation Equipment
"Jarrold (Property Holding
Company) Limited",05/12/2024,"£81,565.63",Rent
Jml Software Solutions Limited,08/11/2024,"£164,305.00",Software - Maintenance
Jml Software Solutions Limited,27/11/2024,£603.00,Firearm equipment
Jockey Club Racecourses Limited,02/12/2024,£570.00,Hire of Rooms/Premises
John Kemp Service Limited,07/11/2024,£780.40,Vehicles - Spares
Juma Communications Limited,21/11/2024,"£2,470.62",Radio / Airwave - Equipment
"Justice Support Services (Nfk And
Sfk) Limited",01/12/2024,"£904,828.27",PFI Schemes - Main Contract
Keela International Limited,14/11/2024,"£3,968.45",Clothing and Uniforms
Keela International Limited,03/12/2024,£722.20,Clothing and Uniforms
Languageline Solutions,30/11/2024,"£16,770.92",Interpreters Fees
Laser Tech Uk Limited,06/11/2024,£909.00,Maintenance Specialist Operation Equipment
Liverpool John Moores University,09/10/2024,"£1,900.00",University Fees
Locker Shop Uk Limited,28/11/2024,£812.48,Hardware
Marsh Limited,20/11/2024,"£3,161.78",Other Insurance Costs
Marsh Limited,06/12/2024,"£7,163.25",Vehicle Insurance
Marval Software Limited,02/12/2024,"£2,400.00",External Training Course
Metro Rod Limited,11/11/2024,"£1,462.50",Maintenance
"Midland Pathology Services
Limited",29/11/2024,£932.00,Pathology
Mitie Care And Custody Limited,01/12/2024,"£104,855.41",FME Contract
Mjs Projects (March) Limited,27/11/2024,"£148,592.23",Building Works - Main Contract
Mla Michael Lupton Associates,26/11/2024,"£2,515.39",Clothing and Uniforms
Mll Telecom Limited,06/11/2024,"£2,079.60",Radio and Communications
Mojo Media (Norfolk) Limited,12/11/2024,"£10,286.90",Promotional material
Mountain Healthcare Limited,01/12/2024,"£59,495.87",SARC Doctors
Mr Overalls,04/11/2024,£665.00,Clothing and Uniforms
Mr Overalls,12/11/2024,£640.90,Clothing and Uniforms
Necsws Public Safety,02/12/2024,"£221,000.00",Hardware-Maintenance
Norwich City Council,12/12/2024,"£2,062.50",Rent
"Norwich Electrical Company
Limited",29/11/2024,£530.80,Data - Cabling and Trunking
Npower Limited,16/07/2024,"£410,576.38",Utilities
Npower Limited,28/11/2024,"£30,319.12",Utilities
Npower Limited,16/12/2024,"£171,682.75",Utilities
