Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
Abbeygate Garages,19/03/2024,£630.39,Vehicles - Spares
Abbeygate Garages,26/04/2024,"£1,857.59",Vehicle Repairs
Abbeygate Garages,01/05/2024,"£1,003.42",Vehicle Repairs
Advance Product Services Limited,21/05/2024,"£1,365.00",Maintenance
"Advocacy After Fatal Domestic
Abuse (Aafda)",15/04/2024,"£3,594.00",Conference and Seminar Fees
Ageas Insurance Limited,23/05/2024,"£2,065.00",Vehicle Insurance
Agiito Limited,20/03/2024,"£4,757.38",Hotel Accommodation
Agiito Limited,06/04/2024,"£11,120.23",Hotel Accommodation
Agiito Limited,12/04/2024,"£2,230.65",Hotel Accommodation
Agiito Limited,17/04/2024,"£4,631.50",Public Transport
Agiito Limited,20/04/2024,"£8,725.00",Hotel Accommodation
Agiito Limited,27/04/2024,"£4,928.11",Hotel Accommodation
Agiito Limited,30/04/2024,"£3,253.99",Public Transport
Airmax Remote Limited,17/04/2024,£800.00,Dashcams & Telematics (Equip & Maint)
Alliantist Limited,01/05/2024,"£12,600.00",Stationery and Office Consumables
Allstar Business Solutions,30/04/2024,"£2,936.24",Vehicle Fuel
Allstar Business Solutions,30/04/2024,"£56,554.41",Vehicle Fuel
Allstar Business Solutions,15/05/2024,"£54,407.40",Vehicle Fuel
Altberg Limited,02/05/2024,£616.74,Clothing and Uniforms
Amr Electrical Services Limited,04/03/2024,"£66,124.54",Building Works
Amr Electrical Services Limited,17/04/2024,"£5,258.75",Maintenance
Amr Electrical Services Limited,29/04/2024,"£33,520.86",Building Works
Amr Mechanical Services Limited,04/03/2024,"£11,046.40",Building Works
Amr Mechanical Services Limited,19/04/2024,"£1,532.00",Maintenance
Amr Mechanical Services Limited,22/04/2024,"£7,832.21",Maintenance
Amr Mechanical Services Limited,29/04/2024,"£3,264.17",Building Works
Amr Mechanical Services Limited,03/05/2024,"£3,874.27",Maintenance
Anglia Ruskin University,15/04/2024,"£27,400.00",DHEP Training Costs
Anglian Water Business,11/04/2024,"£9,789.78",Utilities Costs
"Anglo Scottish Equipment
(Southern) Limited",30/04/2024,£728.55,Rent
Apcoa Parking Uk Limited,08/04/2024,"£1,108.00",Public Transport
Arco Limited,26/04/2024,"£1,020.17",Clothing and Uniforms
Arktis Limited,10/04/2024,"£2,115.00",Clothing and Uniforms
Arktis Limited,25/04/2024,"£5,074.99",Clothing and Uniforms
Aspen Int Limited,22/04/2024,"£1,270.00",Specialist Operational Training Equipment
Aspen Int Limited,24/04/2024,"£2,531.22",Clothing and Uniforms
"Av Niche Recording Systems
Limited",04/04/2024,£600.00,Software - Maintenance
Axon Public Safety Uk Limited,25/04/2024,"£3,822.80",Clothing and Uniforms
Babar Mubarak (Delight Gifts),04/04/2024,£504.99,Promotional material
Ballicom Limited,24/04/2024,"£2,271.00",Hardware - purchase
Banner,30/04/2024,"£14,100.00",Hardware
Bigfork Limited,02/01/2024,"£1,080.00",Marketing
Bike Stop Limited,23/04/2024,"£1,108.66",Clothing and Uniforms
Blue Light Publishing (Police Pass),14/04/2024,"£5,123.22",Training Materials and Study Costs
Bluelight Commercial Limited,11/04/2024,"£200,477.47",Software - Maintenance
Bluelight Commercial Limited,26/04/2024,"£12,196.80",Software Licences
Boc Limited,30/04/2024,"£2,397.70",Specialist Operational Training Equipment
Boing Rapid Secure Limited,05/01/2024,"£1,035.20",Security Services
Boing Rapid Secure Limited,02/02/2024,£994.10,Security Services
Boing Rapid Secure Limited,01/03/2024,£721.20,Security Services
"Borough Council Of King's Lynn
And West Norfolk",09/04/2024,"£1,425.00",Business Rates
British Telecommunications Plc,01/04/2024,"£3,250.00",Network Connectivity
British Telecommunications Plc,15/04/2024,"£1,067.70",Intruder Alarms
Broadland District Council,11/04/2024,"£11,995.15",Rent
