Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
3i Studio Limited,21/03/2024,"£4,090.00",Software - Maintenance
5 Essex Chambers,03/04/2024,"£4,560.00",Legal Costs
5 Essex Chambers,09/04/2024,"£2,700.00",Public Liability
5 Essex Chambers,19/04/2024,£600.00,Public Liability
Aah Pharmaceuticals Limited,05/03/2024,"£1,299.20",Hepatitis B
Abacusnext International Limited,03/01/2024,£592.25,Consultants Fees
Abbeygate Garages,01/02/2024,"£1,213.36",Vehicle Repairs
Access Systems (UK) Limited,31/03/2024,£734.25,Software - Maintenance
Agiito Limited,06/03/2024,"£6,134.50",Hotel Accommodation
Agiito Limited,12/03/2024,"£2,421.85",Hotel Accommodation
Agiito Limited,20/03/2024,"£11,270.21",Public Transport
Agiito Limited,27/03/2024,"£6,677.27",Hotel Accommodation
Agiito Limited,03/04/2024,"£6,977.74",Public Transport
Allegro Creative Agency,15/03/2024,"£1,540.00",Web Infrastructure
Allstar Business Solutions,15/03/2024,"£53,509.76",Vehicle Fuel
Allstar Business Solutions,31/03/2024,"£59,562.62",Vehicle Fuel
Allstar Business Solutions,15/04/2024,"£50,167.71",Vehicle Fuel
Amr Electrical Services Limited,04/03/2024,"£2,224.08",Maintenance
Amr Electrical Services Limited,11/03/2024,"£6,510.28",Maintenance
Amr Electrical Services Limited,18/03/2024,£728.93,Maintenance
Amr Mechanical Services Limited,04/03/2024,"£1,139.54",Maintenance
Amr Mechanical Services Limited,11/03/2024,"£9,325.81",Maintenance
Amr Mechanical Services Limited,15/03/2024,"£4,956.81",Maintenance
Amr Mechanical Services Limited,18/03/2024,"£1,687.59",Maintenance
Amr Mechanical Services Limited,27/03/2024,"£3,123.33",Maintenance
Anglia Ruskin University,07/03/2024,"£27,400.00",DHEP Training Costs
"Anglian Demolition And Asbestos
Limited",27/03/2024,£950.00,Building Works
Anglian Water Business,11/03/2024,"£7,281.65",Utilities
"Anglo Scottish Equipment
(Southern) Limited",31/03/2024,£752.85,Rent
Apex Signs And Engraving Limited,22/03/2024,"£1,003.10",Building Works
Arco Limited,20/03/2024,£974.80,Specialist Operational Equipment
Arktis Limited,26/03/2024,"£3,119.97",Clothing and Uniforms
Arnolds Keys Llp,01/04/2024,"£12,512.97",Service Charge
"Av Niche Recording Systems
Limited",13/03/2024,"£16,788.00",Hardware
"Av Niche Recording Systems
Limited",02/04/2024,"£1,939.00",Building Works
"AVR GROUP LIMITED T/A
ALERTCOM",01/04/2024,"£1,944.00",Stationery and Office Consumables
Ballyclare,11/03/2024,"£2,340.00",Clothing and Uniforms
Ballyclare,26/03/2024,"£1,072.00",Clothing and Uniforms
Besa Publications Limited,19/02/2024,"£2,700.00",Subscriptions
Best Evidence Technology Limited,20/03/2024,"£14,280.00",Software - purchase
Bigfork Limited,04/03/2024,"£ 1,742.00",Other Third-Party Payments
Bigfork Limited,22/03/2024,"£2,340.00",Marketing
Bike Stop Limited,02/04/2024,"£1,041.66",Clothing and Uniforms
Birketts Llp,08/02/2024,£756.00,Estates Legal Costs
Birketts Llp,08/03/2024,"£1,087.50",Estates Legal Costs
Birketts Llp,18/03/2024,"£9,194.50",Estates Legal Costs
Birketts Llp,25/03/2024,"£1,501.00",Building Works
Britannia Safety & Training,26/03/2024,£520.00,External Training Course
British Telecommunications Plc,15/03/2024,"£2,244.80",Intruder Alarms
British Telecommunications Plc,25/03/2024,"£1,080.00",Subscriber Telephone Details
British Telecommunications Plc,08/04/2024,"£6,921.00",Fixed Telephone Line Rental
"Broadland Gate Estate
Management Limited",01/04/2024,"£3,755.92",Service Charge
Buffalo Systems Limited,09/01/2024,"£3,260.40",Clothing and Uniforms
C Signs And Graphics Limited,07/03/2024,"£2,640.00",Vehicles - Spares
Cablenet Trading Limited,15/03/2024,"£1,024.20",Building Works
"Caelus Drones Limited (Trading As
Enterprise Uav)",22/03/2024,"£3,875.00",Specialist Operational Equipment
CBRE Managed Services Limited,29/03/2024,"£46,047.52",Grounds & Caretaking Contract (FM)
"Cdsm Interactive Solutions
Limited (Thinqi)",19/03/2024,"£80,000.00",Software Licences - Capital
Central High Rise Limited,31/03/2024,"£7,504.00",Infrastructure Maintenance
Certas Energy,28/03/2024,"£1,075.32",Heating Fuel Oil
Certas Energy,04/04/2024,"£ 1,498.20",Heating Fuel Oil
Chorus Intelligence Limited,27/03/2024,"£8,248.00",Drug Squad Equipment
Citysprint (UK) Limited,29/02/2024,"£2,936.47",Courier Costs
Citysprint (UK) Limited,31/03/2024,£702.62,Courier Costs
Civica UK Limited,15/03/2024,"£9,540.00",Hardware
Civica UK Limited,20/03/2024,"£4,464.00",Non-IT Equipment
Civica UK Limited,26/03/2024,"£5,813.50",Hardware
