Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,07/08/2024,"£8,542.29",Counsel Fees
7br,29/08/2024,"£3,676.70",Public Liability
Aah Pharmaceuticals Limited,12/08/2024,"£1,039.36",Hepatitis B
Acota Limited,14/08/2024,"£2,505.88",SOC Consumables
"Acromas Insurance Company
Limited",25/09/2024,£815.05,Vehicle Insurance
Aero Healthcare,12/08/2024,"£1,312.84",First Aid Equipment / Consumables
Aero Healthcare,03/09/2024,"£1,300.00",Specialist Operational Training Equipment
Aetopia Limited,15/08/2024,"£6,735.97",Data Migration
Agiito Limited,06/08/2024,"£3,802.38",Hotel Accommodation
Agiito Limited,12/08/2024,"£3,396.61",Hotel Accommodation
Agiito Limited,20/08/2024,"£2,164.31",Hotel Accommodation
Agiito Limited,23/08/2024,"£3,821.30",Public Transport
Agiito Limited,27/08/2024,"£2,705.75",Hotel Accommodation
Agiito Limited,03/09/2024,"£2,398.57",Public Transport
Airwave Solutions Limited,22/08/2024,"£106,797.69",Airwave
Airwave Solutions Limited,11/09/2024,"£89,230.75",Airwave
Allstar Business Solutions,31/08/2024,"£54,217.56",Vehicle fuel
Allstar Business Solutions,15/09/2024,"£47,034.47",Vehicle Fuel
Altro Limited,05/09/2024,"£6,419.32",Building Works
Amr Electrical Services Limited,11/06/2024,"£11,395.84",Maintenance
Amr Electrical Services Limited,30/08/2024,"£38,376.53",Building Works
Amr Mechanical Services Limited,22/07/2024,"£1,121.50",Maintenance
Amr Mechanical Services Limited,06/08/2024,"£1,489.86",Maintenance
Amr Mechanical Services Limited,30/08/2024,"£30,521.49",Building Works
Anglia Ruskin University,17/07/2024,"£30,254.18",DHEP Training Costs
"Anglo Scottish Equipment
(Southern) Limited",31/08/2024,£752.85,Rent
Ans Group Limited,05/08/2024,"£12,687.50",Data - Consultancy - Implementation
"Av Niche Recording Systems
Limited",12/08/2024,£975.00,Hardware
"Av Niche Recording Systems
Limited",21/08/2024,"£4,989.00",Hardware
"AVR GROUP LIMITED T/A
ALERTCOM",01/09/2024,"£1,630.00",Telecom Forensics
"Barrack Street Developments
Limited",03/06/2024,£521.25,Rent
"Barrack Street Developments
Limited",23/08/2024,£521.25,Rent
Bechtle Limited,09/08/2024,"£2,266.50",Hardware - purchase
Birketts LLP,21/08/2024,"£1,348.50",Land and Building Disposal Costs
Birketts LLP,20/09/2024,"£9,413.00",Building Works
Breckland Council,03/09/2024,"£6,986.00",Business Rates
British Telecommunications Plc,15/08/2024,"£3,542.98",Intruder Alarms
British Telecommunications Plc,27/08/2024,"£1,330.00",Subscriber Details
"Busseys And Sabberton Bros
Limited",14/08/2024,"£1,574.66",Vehicle Repairs
C Signs And Graphics Limited,15/08/2024,£623.00,Vehicles - Spares
C Signs And Graphics Limited,27/08/2024,"£1,062.50",Vehicles - Spares
C W Headdress Limited,29/08/2024,"£1,102.60",Clothing and Uniforms
Cabinet Office,16/08/2024,"£5,826.93",Professional Fees
CBRE Managed Services Limited,31/08/2024,"£41,542.20",Grounds & Caretaking Contract
Cellmark Limited,23/07/2024,"£2,314.45",Forensic Analysis
Cellmark Limited,31/08/2024,"£2,441.40",Forensic Analysis
Chaplin Farrant Limited,30/08/2024,"£3,822.00",Building Works
Chinock Repairs Limited,13/08/2024,"£1,645.70",Maintenance Specialist Operation Equipment
"Church Of England Children's
Society",20/08/2024,"£7,380.00",Other Third Party Payments
"Cjs Event Solutions Limited (Cjs Uk
Management Limited)",20/08/2024,"£3,250.00",Conference and Seminar Fees
"Cjs Event Solutions Limited (Cjs
UK Management Limited)",29/08/2024,£545.00,Conference and Seminar Fees
Cleartone Telecoms Limited,15/08/2024,"£5,993.00",Hardware
Cobuild Norfolk Limited,19/08/2024,"£1,105.20",Building Works
College Of Policing,03/04/2024,£528.00,Hire of Rooms/Premises
College Of Policing,06/04/2024,"£14,366.60",Conference and Seminar Fees
College Of Policing,09/08/2024,"£10,497.20",Assessment Centres
College Of Policing,14/08/2024,"£2,669.00",External Training Course
College Of Policing,04/09/2024,"£14,273.50",External Training Course
Constant Cooling Limited,26/06/2024,"£4,639.99",Maintenance
Cooks Blinds And Shutters Limited,15/08/2024,"£4,702.00",Maintenance
Cooks Blinds And Shutters Limited,29/08/2024,£630.00,Maintenance
Cotswold Outdoor Limited,22/08/2024,"£2,566.67",Clothing and Uniforms
Defend Solutions Limited,07/08/2024,"£2,415.00",Police Vehicle Sundry Equipment
"Dell Computer Corporation
Limited",08/08/2024,"£17,812.54",Hardware
"Dell Computer Corporation
Limited",19/08/2024,"£58,152.00",Hardware
