Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
5 Essex Chambers,04/03/2025,"£2,340.00",Counsel Fees
5 Essex Chambers,12/03/2025,"£4,840.00",Counsel Fees
7br,06/03/2025,"£1,105.00",Public Liability
Aah Pharmaceuticals Limited,28/02/2025,"£1,169.28",Hepatitis B
Admiral Insurance,21/03/2025,"£9,791.44",Vehicle Insurance
Aero Healthcare,25/02/2025,£675.71,First Aid Equipment / Consumables
Agiito Limited,06/02/2025,"£2,698.36",Hotel Accommodation
Agiito Limited,12/02/2025,"£1,268.75",Hotel Accommodation
Agiito Limited,19/02/2025,"£4,832.46",Public Transport
Agiito Limited,20/02/2025,"£3,703.48",Hotel Accommodation
Agiito Limited,27/02/2025,"£5,612.09",Hotel Accommodation
Agiito Limited,28/02/2025,"£2,575.15",Public Transport
Airbox Systems Limited,12/02/2025,"£31,623.00",Software - Maintenance
Allstar Business Solutions,15/02/2025,"£51,146.49",Vehicle Fuel
Allstar Business Solutions,28/02/2025,"£45,915.03",Vehicle Fuel
Allstar Business Solutions,15/03/2025,"£54,488.40",Vehicle Fuel
Allwag Promotions Limited,17/02/2025,£555.00,Promotional material
Amr Electrical Services Limited,17/02/2025,"£12,314.94",Building Minor Works
Amr Mechanical Services Limited,05/02/2025,"£9,212.92",Maintenance
Anglia Ruskin University,19/02/2025,"£20,264.59",DHEP Training Costs
Anglian Water Business,11/02/2025,"£5,290.23",Utilities
Ans Group Limited,17/02/2025,"£2,972.61",Data - Consultancy - Implementation
Ans Group Limited,25/02/2025,"£35,089.89",Data - Consultancy - Implementation
Apex Signs And Engraving Limited,26/02/2025,£630.50,PFI Accommodation Moves
Arktis Limited,06/02/2025,"£3,131.64",Clothing and Uniforms
Arktis Limited,13/02/2025,"£1,565.00",Clothing and Uniforms
Aspen Int Limited,11/09/2024,"£3,015.80",Clothing and Uniforms
"AVR GROUP LIMITED T/A
ALERTCOM",01/02/2025,"£2,045.50",Telecom Forensics
"AVR GROUP LIMITED T/A
ALERTCOM",01/03/2025,"£1,725.00",Telecom Forensics
Axon Public Safety UK Limited,27/02/2025,"£8,946.00",Clothing and Uniforms
Ballicom Limited,06/02/2025,£916.00,Hardware - purchase
"Barrack Street Developments
Limited",10/02/2025,£521.25,Rent
Bennett Safetywear Limited,07/02/2025,"£1,674.00",Clothing and Uniforms
Besa Publications Limited,26/02/2025,"£2,880.00",Subscriptions
Brattonsound Engineering Limited,17/03/2025,£992.25,"Furniture, Fixtures and Fittings"
British Telecommunications Plc,15/02/2025,"£1,942.17",Intruder Alarms
British Telecommunications Plc,26/02/2025,"£2,100.00",Subscriber Telephone Details
Buffalo Systems Limited,29/01/2025,"£3,147.20",Clothing and Uniforms
"Busseys And Sabberton Bros
Limited",25/02/2025,£560.37,Vehicle Repairs
Capsticks Solicitors LLP,29/11/2024,£672.05,Legal Costs
"Carmar Consultants – The
Professional Standard Limited",25/03/2025,"£2,018.93",External Training Course
Cassandra Andrews Limited,16/01/2025,"£2,865.00",External Training Course
CBRE Managed Services Limited,31/01/2025,"£7,012.88",Grounds & Caretaking Contract
Ccs Media Limited,05/02/2025,"£1,080.00",Hardware
"Cdsm Interactive Solutions
Limited (Thinqi)",10/03/2025,"£8,000.00",Software - Maintenance
Cellmark Limited,28/02/2025,"£1,092.20",Forensic Analysis
Certas Energy,21/02/2025,£867.75,Heating Fuel Oil
Certas Energy,19/03/2025,£993.59,Heating Fuel Oil
Chaplin Farrant Limited,31/01/2025,"£3,949.87",Building Works
Chaplin Farrant Limited,28/02/2025,"£17,184.00",Building Works
Christian Police Association,04/03/2025,£650.00,Conference and Seminar Fees
Citysprint (Uk) Limited,31/01/2025,£710.84,Network Services
Civil Nuclear Constabulary,07/08/2024,"£17,200.00",External Training Course
Cj Austin And Sons,14/03/2025,"£5,000.00",Rent
Cleartone Telecoms Limited,27/02/2025,"£14,691.00",Hardware
Clermont Direct Limited,04/02/2025,£758.95,Clothing and Uniforms
Cloudbreak Analysis Limited,23/02/2025,"£3,200.00",External Training Course
CMS Distribution Limited,13/02/2025,"£7,376.83",Furniture and Fittings
Cobuild Norfolk Limited,23/01/2025,"£1,897.12",Maintenance
College Of Policing,04/02/2025,"£4,498.80",Assessment Centres
College Of Policing,09/02/2025,"£7,123.10",Assessment Centres
College Of Policing,12/02/2025,"£3,107.00",External Training Course
College Of Policing,20/02/2025,"£3,278.00",External Training Course
Constant Cooling Limited,31/01/2025,"£2,371.14",Maintenance
Cooks Blinds And Shutters Limited,20/02/2025,£591.80,Maintenance
D.Tec International Limited,10/02/2025,"£7,537.50",Drug Wipes
Davies Group Limited,26/02/2025,"£1,166.67",Vehicle Insurance
"Dell Computer Corporation
Limited",21/02/2025,"£1,960.00",Hardware
"Dell Computer Corporation
Limited",28/02/2025,"£7,570.90",Hardware
Dewva,18/02/2025,"£1,820.00",Drugs Fund
Digital Devices Limited,07/02/2025,"£1,254.85",Hardware - purchase
Digital Devices Limited,13/02/2025,"£1,400.77",Hardware
Digital Photo Solutions Limited,14/02/2025,£654.00,Forensic Analysis
Douglas Gill International Limited,27/02/2025,£940.00,Marine Unit Maintenance Costs
Dwp Debt Management,21/11/2024,£744.00,Public Liability
E Rand & Sons Limited,31/01/2025,"£1,450.00",Maintenance
"East Fire Extinguisher And Alarms
Uk Limited",26/03/2024,"£2,129.24",Maintenance
"East Fire Extinguisher And Alarms
Uk Limited",30/08/2024,"£2,807.24",Maintenance
Eastern Security Systems Limited,10/02/2025,"£1,785.00",Maintenance
Eastern Security Systems Limited,25/02/2025,"£1,540.10",Building Minor Works
Ecco Safety Group Uk Limited,07/02/2025,£810.58,Vehicles - Spares
Eddisons Commercial Limited,25/11/2024,"£17,900.00",Consultant Estates Fees
Edmundson Electrical Limited,18/02/2025,£890.00,External Training Course
Edmundson Electrical Limited,28/02/2025,"£17,468.50",Telephony Equipment
Ee Limited,19/02/2025,"£8,901.54",Mobile Phone Contract Cost
Enterprise Rent-A-Car,17/02/2025,£624.40,Long Term Hire of Vehicles
Enterprise Rent-A-Car,17/02/2025,£624.40,Long Term Hire of Vehicles
Enterprise Rent-A-Car,28/02/2025,£790.68,Long Term Hire of Vehicles
Ernst And Young Llp,21/02/2025,"£11,170.75",External Audit Fee
Ernst And Young Llp,04/03/2025,"£11,170.75",External Audit Fee
Fenners Chambers,11/03/2025,£750.00,Counsel Fees
Firmin And Sons Limited,13/02/2025,"£1,710.98",Clothing and Uniforms
"First Eastern Counties Buses
Limited",25/02/2025,"£1,350.00",Detained Persons - Costs
Fma,28/02/2025,"£17,250.00",FMA Services
Fmg Repair Services Limited,05/02/2025,"£4,060.03",Vehicle Insurance
Fmg Repair Services Limited,13/02/2025,"£1,807.71",Vehicle Insurance
Fmg Repair Services Limited,18/02/2025,"£1,539.31",Vehicle Insurance
Fmg Repair Services Limited,26/02/2025,£857.17,Vehicle Insurance
Fmg Repair Services Limited,27/02/2025,"£3,782.84",Vehicle Insurance
Footsure Western Limited,25/02/2025,"£1,791.00",Clothing and Uniforms
"Ford Motor Company Limited T/A
Parts Plus",07/02/2025,£675.20,Vehicles - Spares
Foster And Freeman Limited,24/02/2025,"£27,319.95",Non IT Equipment
Fuchs Lubricants (Uk) Plc,13/02/2025,"£1,537.50",Lubricants (Oil and Grease)
Fumecare Limited,27/02/2025,"£13,972.00",Non IT Equipment
Gmk Limited,06/02/2025,"£1,605.00",Clothing and Uniforms
Gmk Limited,24/02/2025,"£1,360.00",Clothing and Uniforms
Goodyear Tyres Uk Limited,05/02/2025,£823.22,Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,12/02/2025,£655.83,Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,19/02/2025,"£1,165.28",Vehicles - Tyres and Tubes
Goodyear Tyres Uk Limited,26/02/2025,"£2,170.17",Vehicles - Tyres and Tubes
Gresham Office Furniture Limited,09/08/2024,"£10,993.83",Building Works
Gresham Office Furniture Limited,04/02/2025,"£3,031.50",Furniture and Fittings
Group 1 Norwich BMW,03/02/2025,£768.65,Vehicles - Spares
Group 1 Norwich BMW,19/02/2025,"£1,662.55",Vehicles - Spares
Group 1 Norwich BMW,26/02/2025,£862.93,Vehicles - Spares
Harrow Green Limited,13/02/2025,"£1,156.49",Removal Costs
Hethel Engineering Centre,26/02/2025,£661.25,Conference and Seminar Fees
Higgs Newton Kenyon Solicitors,26/02/2025,"£5,315.50",Public Liability
Home Office,13/02/2025,"£37,325.78",Telecom Forensics
