Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Social Care Services,Barchester Prestbury Beaumont,Services to People,Care Payments,01/08/2023,-103.43
Social Care Services,Barchester Prestbury Beaumont,Services to People,Care Payments,01/08/2023,460
Social Care Services,Barchester Prestbury Beaumont,Services to People,Care Payments,01/08/2023,159.59
Social Care Services,Barchester Prestbury Beaumont,Services to People,Care Payments,01/08/2023,103.43
Social Care Services,The Nelson Trust,Services to People,Care Payments,01/08/2023,608.57
Social Care Services,Ashland Manor,Services to People,Care Payments,01/08/2023,784.68
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Services to People,Care Payments,01/08/2023,168.96
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Services to People,Care Payments,01/08/2023,253.44
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Services to People,Care Payments,01/08/2023,844.8
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,279.3
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,279.3
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,279.3
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,209.48
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-209.69
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-279.58
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-279.58
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,817.95
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,738.15
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,658.35
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,638.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,638.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,638.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,588.53
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,558.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,558.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,558.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,538.65
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,508.73
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,478.8
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,478.8
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,478.8
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,418.95
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,418.95
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,399
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,399
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,399
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,359.1
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,319.2
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,299.25
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,239.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,239.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,239.4
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,169.58
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,159.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,159.6
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,119.7
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,119.7
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-120.24
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-120.24
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-160.32
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-170.34
Social Care Services,LEONARD CHESHIRE DISABILITY,Services to People,Care Payments,01/08/2023,-240.48
