Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,749.76
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,665.28
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,295.68
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,232.32
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,601.92
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,422.4
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,105.6
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,-63.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,211.2
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,84.48
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,591.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,126.72
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,84.48
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,63.36
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,1203.84
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,887.04
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,295.68
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,168.96
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,126.72
Social Care Services,Prime Support Service Ltd,Services to People,Care Payments,31/10/2023,126.72
Social Care Services,Llyon Health Ltd T/A LlyonHealth,Services to People,Care Payments,16/01/2024,798.8
Social Care Services,Full Circle Care Ltd,Services to People,Fees and Charges,31/01/2024,30627.9
Education Services,ROSSENDALE SCHOOL,Services to People,Fees and Charges,31/01/2024,24308.27
Education Services,ROSSENDALE SCHOOL,Services to People,Fees and Charges,31/01/2024,24308.22
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,7840
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3960
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3832
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3540
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3360
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3360
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3360
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,3129
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2640
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2240
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2240
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2124
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2124
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,2032
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1516
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1416
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1416
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1416
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1320
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1320
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1320
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1120
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,1016
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,932
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,758
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,508
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,508
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,300
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,50
Social Care Services,THE TOGETHER TRUST CENTRE,Services to People,Care Payments,31/01/2024,41.02
Childcare Provision,Enabling Futures,Services to People,Leasing /Transport Hire,31/01/2024,3717.18
Childcare Provision,Enabling Futures,Services to People,Leasing /Transport Hire,31/01/2024,1448.25
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,200
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,200
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/01/2024,67.2
Disability Support,PURE INNOVATIONS LTD,Services to People,Publicity and Promotion,31/01/2024,1100
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,48
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/01/2024,-67.2
Childcare Provision,Little Giggles Private Day Nursery,Services to People,Care Payments,31/01/2024,929.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,31/01/2024,2575.57
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,31/01/2024,501.63
Psychology / Assessment Services,Out to Help Children's Services Ltd,Services to People,Care Payments,31/01/2024,1200
Childcare Provision,Kids Go Wild Forest School,Services to People,Publicity and Promotion,31/01/2024,840.56
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,31/01/2024,1353.93
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,31/01/2024,926.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,31/01/2024,761.02
Childcare Provision,Didsbury Childminding Ltd,Services to People,Care Payments,01/02/2024,756
Childcare Provision,Didsbury Childminding Ltd,Services to People,Care Payments,01/02/2024,130
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,196.53
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,196.53
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,112.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,16.87
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,11.73
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,9.38
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,3150.58
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,163.62
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,163.62
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,15.01
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,15.01
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Publicity and Promotion,02/02/2024,4.67
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,7.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,4.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Publicity and Promotion,02/02/2024,4.68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,7.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,4.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,242.7
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,242.7
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,234.61
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,16.86
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,16.86
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,16.86
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,15.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,15.01
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,02/02/2024,15.01
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,794.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-40
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,422
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,687.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,59.09
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,19.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,19.44
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,14.93
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,14.93
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-53.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,-63.77
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,642.05
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,59.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,02/02/2024,23.45
