Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,200
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,67.2
Childcare Provision,Fresh Start Independence Project,Services to People,Care Payments,31/05/2023,38.4
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,654.94
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,399.2
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,386.73
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,349.3
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,324.35
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,324.35
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,197.6
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,149.7
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,124.75
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,87.33
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,37.9
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,654.94
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,573.85
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,449.1
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,349.3
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,299.4
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,299.4
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,199.6
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,151.6
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,149.7
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,99.8
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,98.8
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,98.8
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,67.2
Property Management,Intact Projects Ltd,Services to People,Care Payments,31/05/2023,57.6
Health Services,ABL Health Ltd,Services to People,Care Payments,31/05/2023,4800
Health Services,ABL Health Ltd,Services to People,Care Payments,31/05/2023,6720
Health Services,ABL Health Ltd,Services to People,Care Payments,31/05/2023,3420
Health Services,ABL Health Ltd,Services to People,Care Payments,31/05/2023,5380
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,31/05/2023,666.66
Social Care Services,Affinity Trust,Services to People,Care Payments,31/05/2023,3576
Social Care Services,Infinity Care Home Ltd,Services to People,Care Payments,31/05/2023,900
Social Care Services,Infinity Care Home Ltd,Services to People,Care Payments,31/05/2023,900
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,406.64
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,399.2
Disability Support,Stockport CP Ltd t/a Supportability,Services to People,Care Payments,31/05/2023,299.4
