UID,Council,Contract Status,Classification,Name,STAR Category Manager,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date, Annual Contract Value (average) , Value ,Supplier Name,Company Registration number,Postcode,Supplier Type,Customer Name
4614,Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service",Tim Kulewa,OJEU Tender (Light Touch),Contract,43556,45382,," �89,980.00 "," �449,900.00 ",Pulse Regeneration,,x,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
6454,Trafford Borough Council,Live (On-going),270000 - Information Communication Technology,Virtual School Attendance and Attainment Management System,Andrew Bottomley,RBS - Low/Med - Simple (RFQ),Contract,43678,45504," �45,504.00 "," �16,731.00 "," �30,000.00 ",Contact Group Ltd,13443112,PL3 5AE,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10000,Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Trafford Youth Cabinet,Tim Kulewa,RBS - Low/Med - Simple (RFQ),Contract,43831,45657,," �54,904.00 "," �72,710.00 ",Gorse Hill Studios Creative Community,9646545,M32 0PS,,"Trafford Borough Council, TRAFF - Children's Services"
8760, Trafford Borough Council,Live (On-going),270000 - Information Communication Technology,Trafford Gazetteer Data for Adults & Children�s Services,Samantha Power,Call Off (External), Call-off Contract,44197,46387," �46,752.00 "," �2,720.00 "," �27,880.00 ",Liquidlogic Ltd,,LS25 1NB,,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Strategy and Resources"
4074,Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,"Substance Misuse - Collaborative tender between Bolton, Salford and Trafford",Peter Walpole,OJEU Tender (Light Touch),Contract,43115,45747,," �2,120,082.00 "," �10,600,410.00 ",Greater Manchester Mental Health NHS FT,,x,,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Integrated Commissioning"
4004,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Statutory Advocacy Hub Services,Shirella Simms,OJEU Tender,Contract,43191,45016,," �183,000.00 "," �915,000.00 ",Advocacy Focus,,BB5 6PW,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8708,Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,STAR Contract Register Solution,Andrew Bottomley,Call Off (External),Call-off Contract,44211,45671,," �5,385.00 "," �44,640.00 ",In-tend Ltd,5845701,S60 1DX,,"Trafford Borough Council, TRAFF - Finance and Systems"
8472,Trafford Borough Council,Live (On-going),270000 - Information Communication Technology,Software upgrade for CCTV,Andrew Bottomley,RBS - Low - Quick Quote,Contract,43835,45661,," �6,103.50 "," �30,517.50 ",Synectic Systems Group Ltd,5815524, S8 0XN,,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
5277,Trafford Borough Council,Live (On-going),381400 - Vehicle Management - Maintenance,Taxi and Private Hire Testing Service - LP MCR Ltd,Sarah Keating,OJEU Tender,Framework Agreement,44470,45930,," �133,105.00 "," �266,210.00 ",LP MCR Ltd,10711161,M16 9HE,,"Trafford Borough Council, TRAFF - Place"
5277,Trafford Borough Council,Live (On-going),381400 - Vehicle Management - Maintenance,Taxi and Private Hire Testing Service - Prestige Training Ltd,Sarah Keating,OJEU Tender,Framework Agreement,44470,45930,," �133,105.00 "," �266,210.00 ",Prestige Training LTD,,M50 2QL,,"Trafford Borough Council, TRAFF - Place"
5277,Trafford Borough Council,Live (On-going),381400 - Vehicle Management - Maintenance,Taxi and Private Hire Testing Service - Peter Ramsey,Sarah Keating,OJEU Tender,Framework Agreement,44470,45930," �45,930.00 "," �133,105.00 "," �266,210.00 ",Peter Ramsey Auto Services LTD,4435930,SK14 1AH,,"Trafford Borough Council, TRAFF - Place"
9238, Trafford Borough Council,Live (On-going),211100 - Furniture & Soft Furnishings - Domestic Furniture,Domestic Furniture & White Goods,Sarah Keating,Call Off (External), Call-off Contract,44287,45016," �45,747.00 "," �120,000.00 "," �240,000.00 ",Furniture Resource Centre Limited,2296329,L3 4BE,,"Trafford Borough Council, TRAFF - Place, TRAFF - Strategy and Resources"
10271,Trafford Borough Council,Live (On-going),321014 - Social Community Care Supplies & Services - Adult - Domiciliary Care,"Emergency Accommodation, Assessment Unit and Step Down Provision",Shirella Simms,OJEU Tender,Contract,44287,45747,," �271,553.50 "," �1,086,214.00 ",St Anne's Community Services,,LS2 9BN,,"Trafford Borough Council, TRAFF - Adults' Services"
4838,Trafford Borough Council,Live (On-going),"321100 - Social Community Care Supplies & Services - Children, 401720 - Social Community Care Supplies & Services - Children - Respite - Short break",Short Breaks Services for Children with Additional Needs (5-11 ),Tim Kulewa,Mini Competition (Internal),Call-off Contract,43952,45535,," �44,842.50 "," �239,160.00 ",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
4837,Trafford Borough Council,Live (On-going),"321100 - Social Community Care Supplies & Services - Children, 401720 - Social Community Care Supplies & Services - Children - Respite - Short break",Short Breaks Services for Children with Additional Needs (11 - 18 ),Tim Kulewa,Mini Competition (Internal),Call-off Contract,43952,45535,," �44,960.00 "," �239,787.00 ",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
976, Trafford Borough Council,Live (On-going),191000 - Facilities & Management Services - Advertising,Scrollers Advertising Units,Gary Lee,OJEU Tender, Contract,42565,48042,, Income , �-   ,JC Deceaux,,x,,"Trafford Borough Council, TRAFF - Finance and Systems"
6255, Trafford Borough Council,Live (On-going),271501 - Information Communication Technology - Services,Revenue and Benefits Enterprise License 2,Andrew Bottomley,Modification, Call-off Contract,43374,45929," �45,929.00 "," �292,000.00 "," �740,000.00 ",Civica UK Ltd,,SW15 6AR,,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
10086, Trafford Borough Council,Live (On-going),321017 - Social Community Care Supplies & Services - Adult - Nursing & Residential Care Homes,Residential and Nursing Care for Older People, Shirella Simms,OJEU Tender (Light Touch), Contract,44235,45961,," �1,691,720.48 "," �8,458,602.00 ",Making Space,, WA2 7JB,,"Trafford Borough Council, TRAFF - Adults' Services"
10121,Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Provision of Autism Short Breaks,Tim Kulewa,Mini Competition (Internal),Contract,44075,45535," �45,535.00 "," �117,704.33 "," �133,380.30 ",Sense,, B29 6NA,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8228,Trafford Borough Council,Live (On-going),201300 - Financial Services - Cash Collection,Cash Collection - Trafford ,Gary Lee,Call Off (External),Call-off Contract,44197,45657," �45,657.00 "," �12,000.00 "," �12,000.00 ",Security Plus,,WN7 3XJ,,"Stockport Metropolitan Borough Council, Trafford Borough Council, TRAFF - Finance and Systems"
9374,Trafford Borough Council,Live (On-going),371300 - Utilities - Water,Supply of Water and Ancillary Services for Trafford Council,Paul Atherton,Call Off (External),Call-off Contract,44409,45504,," �779,686.00 "," �2,382,000.00 ",Wave,3017251,EH7 4NS,,"Trafford Borough Council, TRAFF - Place"
3705, Trafford Borough Council,Live (On-going),152050 - Consultancy - Property,Property Investment Portfolio,Gary Lee,Call Off (External), Contract,42919,45321,," �430,000.00 "," �3,000,000.00 ",CBRE Limited,,M2 3DE,,"Trafford Borough Council, TRAFF - Place"
9323, Trafford Borough Council,Live (On-going),191411 - Facilities & Management Services - Lifts - Repair & Maintenance,Repair and maintenance of adaptation lifts and hoists,Paul Atherton,OJEU Tender, Framework Agreement,44378,45107,," �124,380.00 "," �248,760.00 ",VLC (STAIRLIFTS) LIMITED,4657120,WN4 8DT,,Trafford Borough Council
