Organisation Name,Expression of Interest Start,Contract Reference Number,Tender Title,Description of goods,Service within the council,Contract Start Date,Contract End Date,,,
Trafford Council,25/10/2024,DN749308,GM Provider Framework Opportunity,"321000 - Social Community Care Supplies & Services - Adult
410000 - Social Community Care Supplies & Services",,10/11/2024,10/11/2024,,,
Trafford Council,28/10/2024,DN749559,Sports Based Mentoring,"170000 - Education
290000 - Arts & Leisure Services
310000 - Healthcare
321100 - Social Community Care Supplies & Services - Children
410000 - Social Community Care Supplies & Services",,01/02/2025,31/01/2026,,,
Trafford Council,25/10/2024,DN749448,Tennis Investment Project – Tennis Operator,"290000 - Arts & Leisure Services
330000 - Sports & Playground Equipment & Maintenance",,23/02/2024,14/11/2026,,,
Trafford Council,23/10/2024,DN748983,Trafford Advocacy Services - Provider Engagement Session,321000 - Social Community Care Supplies & Services - Adult,,13/11/2024,13/11/2024,,,
Trafford Council,11/11/2024,DN751430,Framework Agreement For provision of a Library Management System,270000 - Information Communication Technology,,01/04/2025,31/03/2029,,,
Trafford Council,19/11/2024,DN751554,Trafford UID13375 Domestic Abuse Community Based Support - Invitation To Tender,"310000 - Healthcare
321000 - Social Community Care Supplies & Services - Adult
321100 - Social Community Care Supplies & Services - Children",,01/04/2025,31/03/2028,,,
Trafford Council,29/11/2024,DN754173,Soft Market Test - Blue Car Badge Independent Mobility Assessments,321000 - Social Community Care Supplies & Services - Adult,,20/12/2024,20/12/2024,,,
Trafford Council,27/11/2024,DN753723,Stretford Leisure Centre Cycle Hub,391110 - Construction,,19/12/2024,28/02/2025,,,
Trafford Council,03/12/2024,DN754317,Trafford UID13388 Falls Prevention Service,310000 - Healthcare,,01/04/2025,31/03/2028,,,
Trafford Council,16/12/2024,DN497325,"GMCA: Education, Work and Skills Flexible Procurement System",170000 - Education,,17/11/2020,27/09/2022,,,
Trafford Council,11/12/2024,DN755657,Soft Market Testing - Emotional Health and Wellbeing Support for children aged 5-13 years.,321100 - Social Community Care Supplies & Services - Children,,01/04/2025,31/03/2026,,,
Trafford Council,11/12/2024,DN755654,Soft Market Testing - Targeted Early Intervention and prevention ‘getting help’ mental health offer,321100 - Social Community Care Supplies & Services - Children,,01/04/2025,31/03/2026,,,
Trafford Council,19/12/2024,DN756771,Soft Market Testing- Trafford LGBT Specific Youth Provision,321100 - Social Community Care Supplies & Services - Children,,01/04/2025,31/03/2026,,,
Trafford Council,13/12/2024,DN755132,Statutory Advocacy Hub Service,"321000 - Social Community Care Supplies & Services - Adult
321100 - Social Community Care Supplies & Services - Children",,01/03/2025,28/02/2030,,,
Trafford Council,09/12/2024,DN755307,The Provision of Public Funerals - Soft Market Testing,"120000 - Cemetery & Crematorium
121000 - Burial & Cremation",,30/12/2024,12/03/2027,,,
