Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name ,Pro Class ID,Pro Class Description,Description of Goods or Service,Directorate / Service / Department,Expense Type,Expense Area,Net Order Value
01.10.2014,7500162805,1,140577,R Purcell Civil Eng Contractors LTD,391410,WORKS - CONSTRUCTION : Roads : Construction,purcell ltd invoice,EGEI,SUPPLIES/SERVICES,HIGH/DRAIN WORKS MGT,"�46,000.00"
01.10.2014,7500162808,1,151661,Derwen College,171011,EDUCATION : Services : Children,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�10,459.87"
01.10.2014,7500162808,2,151661,Derwen College,171011,EDUCATION : Services : Children,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�10,459.87"
01.10.2014,7500162843,1,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,2,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,3,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,4,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,5,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,6,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,7,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,8,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162843,9,153151,Vision Integrated Security Ltd,192211,FACILITIES MGT : Security : Closed Circuit Television,Maintenance Contract,T & R ,SECURITY MEASURES,CCTV Central watch S,"�1,229.17"
01.10.2014,7500162884,1,139038,MJB 24Hr Travel,361300,TRANSPORT : Passenger Transport,MJB - Run 120 M. You,CFW,CONT HIRE HOME TO SC,Home to School Tr,"�16,900.00"
02.10.2014,7500162913,1,153084,Eastwood Grange Priory,171011,EDUCATION : Services : Children,Redacted Personal Data,CFW,EXT RES CARE FEES,CHILDREN'S HOMES,"�8,365.50"
02.10.2014,7500162913,2,153084,Eastwood Grange Priory,171011,EDUCATION : Services : Children,Redacted Personal Data,CFW,EXT RES CARE FEES,CHILDREN'S HOMES,"�13,849.76"
02.10.2014,7500162914,1,141787,Nugent House School,171000,EDUCATION : Services,Redacted Personal Data,CFW,NON MAINT SCH FEES,OTHER L.E.A. & IN,"�51,514.33"
02.10.2014,7500162914,2,141787,Nugent House School,171000,EDUCATION : Services,Redacted Personal Data,CFW,NON MAINT SCH FEES,OTHER L.E.A. & IN,"�51,514.33"
02.10.2014,7500162914,3,141787,Nugent House School,171000,EDUCATION : Services,Redacted Personal Data,CFW,NON MAINT SCH FEES,OTHER L.E.A. & IN,"�51,514.33"
02.10.2014,7500162928,1,142249,Pennine Care NHS Trust,311600,MEDICAL : Services,Redacted Personal Data,CFW,PAYMENTS TO HA'S,ONE STOP RES CENTRE,"�7,824.00"
02.10.2014,7500162928,2,142249,Pennine Care NHS Trust,311600,MEDICAL : Services,Redacted Personal Data,CFW,PAYMENTS TO HA'S,ONE STOP RES CENTRE,"�22,937.00"
02.10.2014,7500162936,1,142249,Pennine Care NHS Trust,311600,MEDICAL : Services,Redacted Personal Data,CFW,PAYMENTS TO HA'S,ONE STOP RES CENTRE,"�7,824.00"
02.10.2014,7500162936,2,142249,Pennine Care NHS Trust,311600,MEDICAL : Services,Redacted Personal Data,CFW,PAYMENTS TO HA'S,ONE STOP RES CENTRE,"�22,937.00"
02.10.2014,7500162947,1,138372,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,050.00"
02.10.2014,7500162947,2,138372,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,200.00"
02.10.2014,7500162947,3,138372,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,500.00"
02.10.2014,7500162947,4,138372,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�600.00
