UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
11065, Trafford Borough Council,Live (On-going),Managed Security Service,"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services",Call Off (External), Call-off Contract,01/10/2021,30/09/2024,30/09/2026,"�54,300.00","�90,500.00",The Networking People Ltd,7667393,LA1 3PE,-,"STAR, TRAFF - Finance and Systems"
3280, Trafford Borough Council,Live (On-going),Short Stay Accommodation,321060 - Social Community Care Supplies & Services - Adult - Temporary Accommodation - Unsupported,Modification, Contract,01/04/2018,31/03/2024,-,"�148,391.80","�590,683.00",Irwell Valley Housing Association Ltd,IP20684R,M16 0LN,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
3280, Trafford Borough Council,Live (On-going),Short Stay Accommodation 2,321060 - Social Community Care Supplies & Services - Adult - Temporary Accommodation - Unsupported,Modification, Contract,01/04/2018,31/03/2024,-,"�330,600.00","�809,050.50",Great Places Housing Association,IP19564R,M21 7QP,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
3636, Trafford Borough Council,Live (On-going),Tree Works,249999 - Horticultural - Not Elsewhere Classified,OJEU Tender, Framework Agreement,08/04/2019,07/04/2022,07/04/2023,"�267,000.00","�801,000.00",(multiple),-,-,-,"Trafford Borough Council, TRAFF - Place"
11070, Trafford Borough Council,Live (On-going),Project Management Software,151812 - Information Communication Technology - Services - Project Management,Call Off (External), Call-off Contract,18/10/2021,17/10/2023,17/10/2024,"�14,599.00","�43,797.00",Best Outcome,-,SL9 8BQ,-,"STAR, TRAFF - Finance and Systems"
9290, Trafford Borough Council,Live (On-going),Mini bus Lease - Trafford Council,380000 - Vehicle Management,RBS - Low - Quick Quote, Contract,13/04/2022,12/04/2025,-,"�5,525.64","�12,566.52",Arnold Clark,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
6000, Trafford Borough Council,Live (On-going),Electoral Management System,271440 - Information Communication Technology - Software,OJEU Tender, Framework Agreement,08/01/2019,07/01/2025,07/01/2025,"�138,000.00","�862,500.00",XPRESS SOFTWARE SOLUTIONS,4152280,SE1 9LQ,-,"STAR, TRAFF - Governance and Community Strategy"
8441, Trafford Borough Council,Live (On-going),"Education sector purchasing, document management and training web-based ",271440 - Information Communication Technology - Software,Mini Competition (External), Contract,24/02/2020,23/02/2022,23/02/2024,"�15,940.00","�47,820.00",Frontline Data Ltd,5427762,CO4 9AD,-,"STAR, TAME - Education, TRAFF - Strategy and Resources"
8747, Trafford Borough Council,Live (On-going),Contract for the supply and maintenance of large format outdoor advertising displays ,191099 - Facilities & Management Services - Advertising - Not Elsewhere Classified,OJEU Tender,Concession,04/01/2011,03/01/2034,-,�0.00,"�5,998,146.00",JC Deceaux,-,x,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
4285, Trafford Borough Council,Live (One Off),Parking Enforcement and Associated Services,350200 - Street & Traffic Management - Parking,OJEU Tender,Please Select,31/03/2018,31/03/2023,31/03/2023,"�400,000.00","�2,012,035.00",NSL Ltd,-,OL1 1NZ,-,"STAR, TRAFF - Strategy and Resources"
