DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,21/03/2023,4192919,"1,197.77",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186240,"1,960.44",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186242,"1,700.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186241,"1,250.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186239,"1,250.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186237,873.70,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186236,961.07,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186235,725.55,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186214,957.18,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186243,"1,025.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186219,"1,475.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186234,"1,325.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186233,532.07,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186232,"1,310.55",0.00,N/A,N/A
