DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,HARTSHORNE MOTOR SERVICES LTD,05/11/2024,00146351,559386,511.24,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Retained Housing Revenue Account,EMS SECURITY SERVICES LTD,05/11/2024,00146958,582785,563.38,Housing Development HRA,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,VALDA ENERGY LTD,05/11/2024,00148418,586456,602.49,Friargate Studios,10 - Company,Company
Corporate,Corporate,Corporate,Corporate Resources Other,DERBYSHIRE COUNTY COUNCIL,05/11/2024,00146243,596905,"312,868.65",Compensatory Added Years,20 - Public/Government Agency,Public/Government Agency
Corporate,Corporate,Corporate,Corporate Resources Other,DERBYSHIRE COUNTY COUNCIL,05/11/2024,00146244,597063,"15,417.35",Compensatory Added Years,20 - Public/Government Agency,Public/Government Agency
People Services - Adults and Health,Public Health,Public Health,CYP,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,05/11/2024,00146488,600289,"666,657.50",0-19 Integrated Pubblic Health Childrens Services,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Waste Disposal,Waste Disposal,BIFFA WASTE SERVICES LTD,05/11/2024,00146225,600481,"41,011.88",Waste Disposal,10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,MAGFERN RECYCLING 2018 LTD,05/11/2024,00147209,600725,"1,746.62",Grounds Maintenance Derby Homes,40 - SME,SME
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,CIA FIRE AND SECURITY LTD,05/11/2024,00147070,602211,700.00,Outdoor Amenities,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Derby Bus Station,ARRIVA MIDLANDS LTD,05/11/2024,00146453,602728,"12,649.87",Derby Bus Station Holding Account,10 - Company,Company
Communities & Place,Communities,Regulatory Services,Environmental Protection,A W LYMN,05/11/2024,00146336,603022,"1,044.17",Burial/Crem N.A. Act 1948,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ALLROADS TRAINING LTD,05/11/2024,00146746,603923,"1,351.90",Highways - Winter Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,ALLROADS TRAINING LTD,05/11/2024,00146746,603924,945.40,Highways - Winter Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,AMEY OW LTD,05/11/2024,00147369,604071,577.63,Projects Water & Flood Risk Management,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,05/11/2024,00146777,604233,987.64,City Book Fund,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,GREG LONG TREE CARE,05/11/2024,00147582,604288,"2,000.00",Mackworth Park,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Streetpride,Cleansing,BUNZL CLEANING AND HYGIENE SUPPLIES,05/11/2024,00146231,607283,"1,255.60",Building Cleaning Derby Homes,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Economic Growth,UNIVERSITY OF DERBY.,05/11/2024,00146228,607730,"38,326.65",SPF Revenue,20 - Public/Government Agency,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SURVEY HUB LTD,05/11/2024,00147552,607788,"7,100.00",London Road Cycle Lane,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Connect Project,E.ON NEXT ENERGY LIMITED,05/11/2024,00147540,607818,586.09,Friargate Studios,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Corporate Health and Safety Team,APSE,05/11/2024,00146337,609231,552.00,Health and Safety Team,40 - SME,SME
Communities & Place,Communities,Streetpride,Cleansing,SMI INT GROUP UK SMI,05/11/2024,00148326,609255,924.06,Street Cleaning,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Network Mgmnt & Highway Dev Control,YUNEX LIMITED,05/11/2024,00147696,609344,"6,001.33",Network Management,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,05/11/2024,00146495,609349,"426,567.06",Home First: Community & Perth House,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,GREG LONG TREE CARE,05/11/2024,00147582,609368,600.00,Grounds Maintenance,60 - Sole Trader,Sole Trader
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/11/2024,00147306,609413,"1,148.62",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/11/2024,00147306,609414,"1,148.62",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/11/2024,00147306,609416,995.92,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,WISE HOME CARE LIMITED,05/11/2024,00147306,609418,"1,439.20",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,WISE HOME CARE LIMITED,05/11/2024,00147306,609419,"2,191.40",East OP (over 65) Memory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Support with Memory and Cognition,WISE HOME CARE LIMITED,05/11/2024,00147306,609420,"2,191.40",East OP (over 65) Memory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,COMPLETE NURSING SERVICES LTD,05/11/2024,00146294,609424,"2,461.24",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,COMPLETE NURSING SERVICES LTD,05/11/2024,00146294,609425,"1,671.42",South Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609427,959.92,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609429,"1,209.32",West OP (over 65) Sensory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609430,"1,209.32",West OP (over 65) Sensory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609432,522.93,East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609433,"1,209.32",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609434,"1,209.32",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609436,672.00,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609437,806.40,East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
