DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Adult Social Care,Community Support,Social Care Activities,SMITH PARTNERSHIP,04/06/2024,106142,449848,"2,596.23",Charging Income Holding Account,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Social Care Activities,REDACTED,04/06/2024,107402,450161,"3,023.99",Charging Income Holding Account,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450166,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450168,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450170,"1,260.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450171,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,04/06/2024,106134,450172,"1,250.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450175,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450177,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450180,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,04/06/2024,106134,450187,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,PREMIER MOBILITY (UK) LIMITED,04/06/2024,106233,450196,"1,482.17",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450217,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450220,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,LIBERTY HOUSING SOLUTIONS LTD,04/06/2024,107363,450224,"7,774.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450226,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450231,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,04/06/2024,106134,450238,700,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,EXCLUSIVE HOUSING SOLUTIONS LTD,04/06/2024,107332,450239,"35,996.00",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,REDACTED,04/06/2024,107403,450242,"50,000.00",Short Breaks Innovation Fund SEND,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,04/06/2024,107242,450245,"12,000.00",REFCUS - Disabled Facilities Grant 96 Act,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,Communities,Strategic Housing,Housing and Advice,ADFAN LIMITED,04/06/2024,106528,450845,800,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ADFAN LIMITED,04/06/2024,106528,450847,"1,020.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/06/2024,107080,450874,840,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST 2,04/06/2024,106706,450918,"3,900.00",Nursery Education Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ALVASTON ACHIEVERS DAY NURSERY LIMITED,04/06/2024,106597,450923,"1,700.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST.,04/06/2024,106659,450928,"1,000.00",Nursery Education Grant,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,04/06/2024,107205,450931,"9,232.25",Passenger Transport Procurement & Operations,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BIZZY KIDZ,04/06/2024,106335,450933,"1,100.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BRAMBLEBROOK PRE SCHOOL PLAYGROUP,04/06/2024,106205,450936,"1,600.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BUSY BEES NURSERIES LIMITED TREETOPS OAKWOOD,04/06/2024,107088,450941,"1,000.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,04/06/2024,106134,450943,"1,400.00",Housing Options (Private),40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,ARCADIS UK LTD,04/06/2024,106648,450947,"3,150.50",TCF Tranche 2 - Public Realm: Public Transport (Public Realm,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SILVER TREES DAY NURSERY,04/06/2024,106245,450948,"1,900.00",Nursery Education Grant,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",THEATRESIGN EDUCATION ACCESS AND MENTORING LTD,04/06/2024,106699,450958,700,Derby Live - Presented,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE SPENCER ACADEMIES TRUST CASTLEWARD SPENCER ACADEMY,04/06/2024,106670,450959,"1,400.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERWENT STEPPING STONES ST JAMES CENTRE,04/06/2024,106218,450966,"1,000.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,04/06/2024,106172,450968,"1,794.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,04/06/2024,106172,450969,"2,080.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,04/06/2024,106172,450970,"2,070.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,04/06/2024,107097,450979,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450980,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450981,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,450982,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,04/06/2024,107097,450983,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,04/06/2024,106134,450994,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,451000,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,451004,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,451005,560,Housing Options (Private),40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,MATRIX DIAGNOSTICS LIMITED,04/06/2024,107060,451036,"3,024.00",Integrated Substance Misuse Service,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERWENT STEPPING STONES,04/06/2024,106217,451049,"5,400.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,CLOSOMAT LTD,04/06/2024,106687,451051,"4,438.27",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,A M PROPERTY SERVICES LTD,04/06/2024,106137,451054,"9,215.00",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,FUN TIME NURSERY LTD,04/06/2024,106435,451056,"1,400.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,INCREDIBLE KIDS DERBY LTD,04/06/2024,106422,451060,"1,500.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,OFSTED,04/06/2024,106314,451063,"3,431.00",The Willows,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,04/06/2024,106689,451065,"1,425.00",Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,REDACTED,04/06/2024,107407,451071,"50,000.00",Short Breaks Innovation Fund SEND,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,ENDORPHINS GROUP,04/06/2024,107119,451075,"75,000.00",Short Breaks Innovation Fund SEND,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,04/06/2024,106892,451079,889.98,Vehicle Maintenance,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,04/06/2024,106674,451087,"2,150.83",Valuation,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,KF SURFACING LTD,04/06/2024,107221,451088,540,Highways Maintenance Works,10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,KF SURFACING LTD,04/06/2024,107221,451089,540,Highways Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,04/06/2024,106674,451091,"1,850.00",Valuation,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,04/06/2024,106475,451093,"1,400.00",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 3/4,DERBY GUESTHOUSE LTD,04/06/2024,106475,451096,700,City Wide EWO Team,40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,IPL PLASTICS (UK) LIMITED,04/06/2024,106717,451108,880,Refuse Collection,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,04/06/2024,106475,451110,560,Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,KIDS PLANET DAY NURSERIES LIMITED KIDS PLANET SPRINGFIELD,04/06/2024,107341,451130,800,Nursery Education Grant,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE GEORGIAN HOUSE HOTEL GHH LLP,04/06/2024,107372,451146,758.33,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE GEORGIAN HOUSE HOTEL GHH LLP,04/06/2024,107372,451171,758.33,Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LA PETITE ACADEMY,04/06/2024,106130,451174,"2,000.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,04/06/2024,106475,451176,700,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE GEORGIAN HOUSE HOTEL GHH LLP,04/06/2024,107372,451177,758.33,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/06/2024,107080,451178,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LITTLE ANGELS PLAYSCHOOL,04/06/2024,106387,451179,"2,300.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SINFIN COMMUNITY CENTRE,04/06/2024,106358,451180,"1,300.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LITTLE ANGELS DAY NURSERY,04/06/2024,106579,451182,"2,400.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ST ANDREWS PRE SCHOOL,04/06/2024,106126,451184,"1,100.00",Nursery Education Grant,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,04/06/2024,107080,451185,840,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WHITE HOUSE DAY NURSERY LTD,04/06/2024,106432,451188,"1,800.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,LITTLE POPPIES PLAYGROUP,04/06/2024,106131,451190,600,Nursery Education Grant,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Electoral Services/ Land Cha,ROYAL MAIL GROUP PLC,04/06/2024,106106,451196,"5,520.52",Conduct of Regional Elections,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST.,04/06/2024,106660,451197,600,Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ST EDMUNDS PRESCHOOL CIC,04/06/2024,106548,451198,600,Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,04/06/2024,106475,451199,560,Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,04/06/2024,106638,451209,"2,300.00",Nursery Education Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,COTTAGE PRIVATE DAY NURSERY,04/06/2024,106149,451210,"3,800.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Virtual School,CROWN HOUSE PUBLISHING LIMITED,04/06/2024,107039,451211,"1,749.30",Education for Looked After Children,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE EARLY YEARS ACADEMY DERBY,04/06/2024,106879,451214,800,Nursery Education Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 2,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,451217,700,8 - 18 MAT Team E - Locality 2,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,REVIVE MANAGEMENT SERVICES LTD.,04/06/2024,106253,451219,"4,101.01",Derwent Community Managed Library,40 - SME,SME
