DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
Communities & Place,"Environmental Protection, Housing Standards, Licensing, Emergency Planning",Public Protection and Streetride,A W LYMN,132,02/02/2023,4152186,"1,300.00",0.00,Burial/Crem N.A. Act 1948,Default
Communities & Place,"Environmental Protection, Housing Standards, Licensing, Emergency Planning",Public Protection and Streetride,A W LYMN,132,02/02/2023,4152171,"1,300.00",0.00,Burial/Crem N.A. Act 1948,Default
Corporate Resources,Property Design & Maintenance,Property,ABBACAS CONSULTING LTD,188279,02/02/2023,4155478,"3,244.50",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ACE NURSERY,553444,02/02/2023,4154414,"10,141.02",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ACE NURSERY,553444,02/02/2023,4154186,"6,709.06",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ACTION FOR CHILDREN,932535,02/02/2023,4154408,"8,500.44",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ACTION FOR CHILDREN,932535,02/02/2023,4154223,"5,881.92",0.00,N/A,N/A
Communities & Place,"Highways, Gounds Maintenance and Flood Defence",Public Protection and Streetride,AGGREGATE INDUSTRIES UK LTD,117850,02/02/2023,4154762,530.77,0.00,Highways Maintenance Works,Building and Construction Machinery and
People Services - Children & Young People,Commissioning,Non-Schools,ALBATROSS CARS DERBY LTD,878452,02/02/2023,4147675,"1,120.00",0.00,Home To School Transport - SEN,Transportation and Storage and Mail Serv
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ALVASTON ACHIEVERS DAY NURSERY LIMITED,937504,02/02/2023,4154436,"16,684.14",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ALVASTON ACHIEVERS DAY NURSERY LIMITED,937504,02/02/2023,4154187,"4,595.25",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ANTHEM SCHOOLS TRUST,1719491,02/02/2023,4154335,"4,647.75",0.00,N/A,N/A
Communities & Place,"Highways, Gounds Maintenance and Flood Defence",Public Protection and Streetride,ARRIVING LTD,217400,02/02/2023,4154685,"6,882.60",0.00,Highways Maintenance Works,Commercial and Military and Private Vehi
Communities & Place,"Highways, Gounds Maintenance and Flood Defence",Public Protection and Streetride,ARRIVING LTD,217400,02/02/2023,4153970,"8,800.00",0.00,Highways Maintenance Works,Commercial and Military and Private Vehi
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,ASHWOOD SPENCER ACADEMY (INTERFACE),942473,02/02/2023,4154416,"21,787.44",0.00,N/A,N/A
Communities & Place,Parks & Healthy Living,"Leisure, Culture and Tourism",ASI SECURITY SYSTEMS LTD,106643,02/02/2023,4154579,"2,175.00",0.00,Markeaton Park & Mundy Play Centre,Defense and Law Enforcement and Security
Corporate Resources,Property Design & Maintenance,Property,B & K PROPERTY SERVICES LTD,187862,02/02/2023,4155357,"3,190.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,B & K PROPERTY SERVICES LTD,187862,02/02/2023,4155501,"1,350.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,B & K PROPERTY SERVICES LTD,187862,02/02/2023,4155502,"1,122.00",0.00,N/A,N/A
