DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,Corporate Management,Corporate Management,Corporate Management,NOTTINGHAMSHIRE COUNTY COUNCIL,09/04/2024,91278,74431,"21,435.57",Corporate Management Activity,20 - Public/Government Agency,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,EUROVIA INFRASTRUCTURE LTD,09/04/2024,91510,303429,"273,540.55",TCF Tranche 2 - Interchange Hubs: Derby Bus Station vehicula,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,GREG LONG TREE CARE,09/04/2024,91849,312263,"2,471.00",Grounds Maintenance Derby Homes,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DAVENPORT BROTHERS LTD,09/04/2024,91434,350143,624,Fleet Hire,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,09/04/2024,91967,357038,"1,660.00",HR Shared Services,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DAVENPORT BROTHERS LTD,09/04/2024,91434,357452,678,Fleet Hire,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91842,371190,"1,100.00",Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91433,371216,920,Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91593,371241,"28,600.00",Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91672,371248,550,Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91393,371255,600,Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91764,371261,630,Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91672,374582,850,Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,91672,374588,"2,375.00",Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,09/04/2024,92050,374634,"4,750.00",Legal Fees,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NETWORK RAIL INFRASTRUCTURE LTD,09/04/2024,91309,374638,521.89,Caxton Street Railway Footbridge Replacement Feasibility,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WF EDUCATION GROUP LIMITED,09/04/2024,91749,382421,"12,316.01",Sinfin Library Works,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SYSTEMS ENGINEERING AND ASSESSMENT LTD,09/04/2024,91844,383676,"10,768.67",TM U08 Traffic Enforcement Cameras,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SYSTEMS ENGINEERING AND ASSESSMENT LTD,09/04/2024,91844,383678,"2,110.88",TM U08 Traffic Enforcement Cameras,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,T C HARRISON FORD,09/04/2024,91320,383683,659.14,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,09/04/2024,91819,383687,768.14,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,09/04/2024,91819,383706,984.2,Vehicle Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,09/04/2024,91975,383709,"10,000.00",Passenger Transport Procurement & Operations,10 - Company,Company
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,VALTECH LIMITED,09/04/2024,91688,383752,761.76,Blue Badge,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,LIBRARIES CONNECTED,09/04/2024,91775,383862,589.23,Libraries Development & Delivery,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AMA SUPPLIES LTD,09/04/2024,91318,383863,"6,936.00",Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,RESTORE HARROW GREEN,09/04/2024,91853,383941,"3,497.60",Parking Services,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,09/04/2024,91663,384084,"2,150.83",Valuation,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Transport Planning,WATERMAN ASPEN LTD,09/04/2024,91259,384239,"2,985.00",Transport Planning,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REDACTED,09/04/2024,92064,384315,"1,032.34",Personal Budgets,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,Communities,Regulatory Services,Trading Standards,HOME OFFICE,09/04/2024,91901,384454,"2,200.00",Trading Standards,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Climate & Environment,Healthy Living,SIGMA PHARMACEUTICALS PLC,09/04/2024,91515,384456,"1,119.90",NHS Pilot,10 - Company,Company
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,09/04/2024,91444,384521,"1,626.00",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DEAN AND SMEDLEY LTD,09/04/2024,91487,384523,690,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ASDA STORES LTD,09/04/2024,91325,384526,640.5,Substance Misuse Pharmacy Based Services,10 - Company,Company
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,BOOTS UK LTD,09/04/2024,91485,384528,512.5,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,NORMANTON PHARMACY,09/04/2024,91872,384534,658,Substance Misuse Pharmacy Based Services,20 - Public/Government Agency,Public/Government Agency
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,WELFARE PHARMACY,09/04/2024,91523,384536,"1,403.00",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ROSEHILL PHARMACY LTD,09/04/2024,91489,384537,"4,521.00",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,VISIONPHARMA LIMITED,09/04/2024,91808,384538,534.5,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,09/04/2024,91444,384539,"2,054.00",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,09/04/2024,91444,384541,"2,762.00",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ASDA STORES LTD,09/04/2024,91325,384543,659,Substance Misuse Pharmacy Based Services,10 - Company,Company
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,VISIONPHARMA LIMITED,09/04/2024,91808,384545,501.5,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,ROSEHILL PHARMACY LTD,09/04/2024,91489,384560,"1,964.20",Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,DAY NIGHT LTD,09/04/2024,91444,384561,706.1,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,SUPERDRUG STORES PLC,09/04/2024,91490,384564,561.2,Substance Misuse Pharmacy Based Services,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,ROYAL MENCAP SOCIETY,09/04/2024,91380,384566,"2,352.00",Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,ROYAL MENCAP SOCIETY,09/04/2024,91380,384567,783.55,Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,ROYAL MENCAP SOCIETY,09/04/2024,91380,384568,783.55,Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,ROYAL MENCAP SOCIETY,09/04/2024,91380,384570,783.55,Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
