DCC Supplier Payments Over �500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,MHR INTERNATIONAL UK LIMITED,03/09/2024,00130455,119599,"1,223.75",HR Shared Services,10 - Company,Company
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,AVISON YOUNG,03/09/2024,00130499,161400,"10,948.05",Central Traffic Management,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,AVISON YOUNG,03/09/2024,00130499,166067,"2,595.46",Central Traffic Management,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,MHR INTERNATIONAL UK LIMITED,03/09/2024,00130455,312527,"1,223.75",HR Shared Services,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DEVON COUNTY COUNCIL,03/09/2024,00130109,379588,"25,170.43",Other Local Authority Education Placements,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,MHR INTERNATIONAL UK LIMITED,03/09/2024,00130455,453378,"1,223.75",HR Shared Services,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,03/09/2024,00130028,481380,"1,230.47",Valuation,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,BUXTONS LTD,03/09/2024,00130070,485957,"2,192.74",Arboricultural Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,BUXTONS LTD,03/09/2024,00130070,497559,"1,044.29",Arboricultural Maintenance,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Electoral Services/ Land Cha,EMS SECURITY SERVICES LTD,03/09/2024,00130341,503603,"1,187.12",Conduct of National Elections,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YUNEX LIMITED,03/09/2024,00130782,504830,"14,097.24",A52 Ashbourne Rd/Surrey St Pelican,40 - SME,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,BAILY GARNER LLP,03/09/2024,00130888,509799,"1,976.00",The Knoll NB,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,SALLY STANLEY CONSULTANCY,03/09/2024,00130891,511895,"2,000.00",Early Years Quality Assurance,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,SPONDON CRICKET CLUB,03/09/2024,00131137,516567,"5,000.00",Neighbourhood Boards,65 - Voluntary,Voluntary
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YUNEX LIMITED,03/09/2024,00130782,516802,"66,850.00",Osmaston Road/Harvey Road,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,PCC ST PHILIPS CHADDESDEN,03/09/2024,00130176,516803,"2,400.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,PCC ST PHILIPS CHADDESDEN,03/09/2024,00130176,516804,"1,000.00",Neighbourhood Boards,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Youth Offending Service,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,03/09/2024,00130162,521426,"10,100.00",YOS - Youth Justice Grant,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,REDACTED,03/09/2024,00130391,521913,"1,250.00",MH West/South Staff Costs,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,JONTEK,03/09/2024,00130561,523647,650.52,Carelink,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526932,723.16,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526933,"1,072.48",High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526934,594.44,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526935,611.12,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526936,552.52,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526938,906.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526939,806.88,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
