DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,SENAD LTD,01/10/2024,137419,417823,"31,807.91",Independent School Education Placements,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,SCHOOLS PUBLISHING LTD,01/10/2024,137608,549905,880,D2N2 - Marketing,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 2,TTS.,01/10/2024,137893,550009,"1,665.80",Allenton Childrens Centre,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SUNBELT RENTALS LIMITED,01/10/2024,137922,557689,"2,076.24",Land Drainage: LDFD Data Capture,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,MAGFERN RECYCLING 2018 LTD,01/10/2024,137826,559329,"1,080.24",Grounds Maintenance Derby Homes,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DR ABAIGH DEVINE CLINICAL PSYCHOLOGY SERVICES,01/10/2024,138008,559512,805,High Needs Contingency,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Schools Block,Commissioning - Schools Block,Recoupment - Independent Special School,SENAD LTD,01/10/2024,137419,559552,"-25,000.00",Independent School Education Placements,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,NOTTINGHAMSHIRE COUNTY COUNCIL,01/10/2024,137364,562655,993.48,D2N2 Fostering Project,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,HYDRO X WATER TREATMENT LTD,01/10/2024,137413,563094,"2,852.67",Markeaton Park & Mundy Play Centre,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,PCS MOTOR FACTORS,01/10/2024,137425,565650,583.73,Vehicle Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,MAGFERN RECYCLING 2018 LTD,01/10/2024,137826,567021,"1,054.19",Grounds Maintenance Derby Homes,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,MAGFERN RECYCLING 2018 LTD,01/10/2024,137826,567022,998.39,Grounds Maintenance Derby Homes,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUS T,01/10/2024,137813,567196,"4,410.00",IDCS Residential,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUS T,01/10/2024,137813,567198,"3,825.80",IDCS Residential,20 - Public/Government Agency,Public/Government Agency
