DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,NOTTINGHAMSHIRE COUNTY COUNCIL.,02/05/2024,98650,377308,"82,404.50",Adoption,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Streetpride,Cleansing,WARD,02/05/2024,98839,383767,"-6,195.22",Waste Transfer Station - London Road Depot,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",BEBIDA BEVERAGE SOLUTIONS LTD,02/05/2024,98729,383975,"1,187.22",Derby Live Catering - Markeaton Park,40 - SME,SME
Children and Young People,Children and Young People,Children and Young People,Children and Young People,CHADDESDEN FURNITURE AND CARPETS,02/05/2024,98648,384195,783.34,Family Hub Capital Grant,60 - Sole Trader,Sole Trader
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,02/05/2024,98630,384274,"2,504.82",Valuation,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,ACTIVE SUPPORT LIMITED,02/05/2024,98877,385822,"1,270.00",Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,02/05/2024,98630,388341,"2,134.60",Valuation,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 1/5,UK EDUCATIONAL FURNITURE.,02/05/2024,98724,388369,730,Early Help Children Centres Locality 1/5,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YORK ARCHAELOGICAL TRUST FOR EXCAVATION AND RESEARCH LTD,02/05/2024,98714,388431,671.29,TCF Tranche 2 - Public Realm: Public Transport (Public Realm,10 - Company,Company
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,FRONTIER NX LIMITED,02/05/2024,98833,388446,"1,987.25",Substance Misuse Pharmacy Based Services,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,HUWS GRAY LIMITED,02/05/2024,98725,390770,945.6,Highways Maintenance Reactionary Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,HAYS SPECIALIST RECRUITMENT LTD,02/05/2024,98630,395775,"1,569.91",Valuation,40 - SME,SME
Children and Young People,Children and Young People,Children and Young People,Children and Young People,CHADDESDEN FURNITURE AND CARPETS,02/05/2024,98648,396419,"1,375.00",Family Hub Capital Grant,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DERBY BEARINGS LTD,02/05/2024,98662,396891,"1,500.00",Vehicle Maintenance,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,JONTEK,02/05/2024,98800,398757,949.4,Carelink,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,DERBYSHIRE LGBT PLUS LTD,02/05/2024,98859,398817,"1,230.00",Highways Maintenance Works,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,CERTAS ENERGY UK LIMITED,02/05/2024,98847,403612,666.4,Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,CERTAS ENERGY UK LIMITED,02/05/2024,98847,403619,"41,743.31",Fleet Hire,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,02/05/2024,98910,406385,782.51,South OP (Over 65) Physical - R/N,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,BABY T WORKSHOPS LTD,02/05/2024,98688,406405,"1,080.00",Arboretum Under 11's Team,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,02/05/2024,98915,406765,"4,350.00",REFCUS - Empty Property Assistance,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,02/05/2024,98706,408129,"1,309.02",Highways Maintenance Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,02/05/2024,98706,408401,"1,679.04",Highways Maintenance Works,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,Leisure,EAST MIDLANDS VENDING LTD,02/05/2024,98857,408641,911.74,Springwood Centre DSO,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,02/05/2024,98858,408667,"1,000.00",Legal Fees,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,02/05/2024,98846,410238,800,Legal Fees,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Retained Housing Revenue Account,DERBY CITY COUNCIL C/TAX,02/05/2024,98880,415740,900.26,Housing Development HRA,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415783,"1,000,000.00",UPRN 10000H&B - Kitchens and Bathrooms,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415788,"600,000.00",UPRN 10000H&B - New & Replcmnt Central Heating,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415944,"125,000.00",UPRN 10000H&B - Rewiring/Electrical Upgrades,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415949,"125,000.00",HRA Fire Safety,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415953,"125,000.00",UPRN 10000H&B - Estates Pride - General,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,415963,"175,000.00",UPRN 10000H&B - Disability Adaptions,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,417542,"264,250.00",UPRN 10000H&B - One-off Mods/Major Refurbishments,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,417546,"175,000.00",UPRN 10000H&B - Capital Salaries Mods Liaison,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,417549,"375,000.00",UPRN 10000H&B - Re-Roofing,20 - Public/Government Agency,Public/Government Agency
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,DERBY HOMES LTD,02/05/2024,98673,417553,"375,000.00",UPRN 10000H&B - PVCU Windows & Doors,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,02/05/2024,98836,417700,"2,767.68",Business Support Grant Recovery,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,02/05/2024,98856,417746,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,02/05/2024,98856,417747,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,02/05/2024,98856,417749,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,02/05/2024,98856,417750,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,02/05/2024,98856,417759,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417877,980,Housing Options (Private),40 - SME,SME
