DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",EDEN FARM LTD,02/07/2024,00114134,481425,545.68,Derby Live Catering - Markeaton Park,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,02/07/2024,00113814,481516,"1,194.30",Vehicle Maintenance,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,CLOSOMAT LTD,02/07/2024,00114334,481524,"5,232.40",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Leisure - Management,Sales, Marketing &",THE WATSON PLAYERS,02/07/2024,00113941,481556,"2,210.00",Derby Live - Sales and Information Centre,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,TRISHGANGOLLI LTD,02/07/2024,00114238,481618,577.50,Deprivation Of Liberty Safeguards,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481621,990.00,Housing Options (Private),40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Electoral Services/ Land Cha,ROYAL MAIL GROUP PLC,02/07/2024,00113792,481622,"20,939.01",Conduct of National Elections,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481623,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",SHOWSEC INTERNATIONAL LTD,02/07/2024,00113838,481624,"1,284.97",Derby Live - Presented,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481628,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481629,560.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481631,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481632,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481633,980.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481634,560.00,Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,SILLY SIDS,02/07/2024,00113801,481635,700.00,Transition Homes,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481636,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,02/07/2024,00114149,481637,560.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481646,980.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481656,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481661,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TERBERG MATEC UK,02/07/2024,00114332,481665,"1,270.24",Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481671,"1,260.00",Housing Options (Private),40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH ENVIRONMENT PLANNING TRANSPORT LIMITED,02/07/2024,00114515,481678,"4,444.00",Our City Our River - Package 2,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481679,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,02/07/2024,00113811,481682,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,02/07/2024,00113811,481688,560.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481694,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481699,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,02/07/2024,00113811,481701,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481702,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,02/07/2024,00113811,481705,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481706,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481711,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,THE ASCOT HOTEL,02/07/2024,00113811,481714,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481715,980.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481717,700.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481720,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481724,980.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481730,980.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481735,840.00,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/07/2024,00114389,481740,560.00,Housing Options (Private),40 - SME,SME
