DCC Supplier Payments Over �500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,01/08/2024,00123154,439298,"2,473.50",HR Shared Services,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,JONTEK,01/08/2024,00123090,462466,"29,260.24",Carelink,40 - SME,SME
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Human Resources,COMMERCIAL SERVICES KENT LTD,01/08/2024,00123154,471216,"3,070.50",HR Shared Services,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Regeneration Projects,LONDON & CONTINENTAL RAILWAYS LTD,01/08/2024,00123172,473136,"70,000.00",Regeneration Projects,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,WORD OF MOUTH CREATIVE LTD,01/08/2024,00122992,485433,898.00,D2N2 - Marketing,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,WATERMAN ASPEN LTD,01/08/2024,00122942,492206,"2,880.00",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Legal Services,Legal Services,PAYSTREAM MY MAX LIMITED,01/08/2024,00123177,493084,"1,920.00",Corporate Services - Legal,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Waste Disposal,H W MARTIN WASTE LIMITED,01/08/2024,00123096,493466,"85,239.15",Waste Disposal,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,HIGH PEAK ONE RADIO CIC,01/08/2024,00123176,495426,"3,002.00",D2N2 - Marketing,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,JS HUBS AND CO LTD,01/08/2024,00123129,495483,"1,300.00",Agency Fostering,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Drugs and Alcohol,AQUARIUS ACTION PROJECTS,01/08/2024,00122966,495906,"125,000.00",Integrated Substance Misuse Service,40 - SME,SME
