Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Housing Rents,Housing Rents,Housing Rents,Housing Rents,REDACTED,03/12/2024,00156556,639038,650.00,Rent Refunds HRA (DHL Use),20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,R&R RENTAL ACCOMMODATION LIMITED,03/12/2024,00156471,639053,700.00,Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REACH2 ACADEMY TRUST SCIENTIA ACADEMY,03/12/2024,00156544,639062,"1,500.00",Pupil Premium Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,REACH2 ACADEMY TRUST SCIENTIA ACADEMY,03/12/2024,00156544,639073,"1,500.00",Pupil Premium Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,SOFTCAT PLC,03/12/2024,00155460,639080,"13,687.00",Adult Learning Service - Operational,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,SOFTCAT PLC,03/12/2024,00155460,639092,"13,687.00",Adult Learning Service - Operational,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,SOFTCAT PLC,03/12/2024,00155460,639097,"13,687.00",Adult Learning Service - Operational,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,WASTE PARTS UK LTD,03/12/2024,00154685,639099,"1,110.00",Vehicle Maintenance,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,BEECHTREE DAY SERVICES LTD,03/12/2024,00155346,639100,"1,155.00",Central Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ACADEMIES ENTERPRISE TRUST,03/12/2024,00155737,639125,560.00,Pupil Premium Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ARCHWAY LEARNING TRUST BLUECOAT ASPLEY ACADEMY,03/12/2024,00155169,639128,600.00,Pupil Premium Grant,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY CATHEDRAL SCHOOL,03/12/2024,00155291,639129,"1,160.00",Pupil Premium Grant,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,HARTSHORNE MOTOR SERVICES LTD,03/12/2024,00154415,639136,"2,008.59",Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,POLSKI LINK LTD,03/12/2024,00156536,639151,750.00,Neighbourhood Boards,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,03/12/2024,00155690,639339,795.00,Mockingbird Project,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/12/2024,00155449,639518,634.48,Special Guardianship,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,03/12/2024,00154810,640093,640.85,Fostering Allowances,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Fostering,REDACTED,03/12/2024,00154327,640113,725.00,Fostering Allowances,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,03/12/2024,00155440,640174,836.54,Adoption,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,03/12/2024,00154628,640208,866.27,Adoption,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,03/12/2024,00156542,640221,533.57,Adoption,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/12/2024,00155596,640272,639.00,Special Guardianship,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/12/2024,00155872,640295,513.38,Special Guardianship,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/12/2024,00155920,640321,688.00,Special Guardianship,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/12/2024,00155986,640327,708.00,Special Guardianship,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,SPIRAL ARTS,03/12/2024,00154335,640468,"1,000.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Streetpride,Cleansing,MURFITTS INDUSTRIES LIMITED,03/12/2024,00156031,640470,567.32,Waste Transfer Station - London Road Depot,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Grounds Maintenance,GREG LONG TREE CARE,03/12/2024,00155646,640475,"1,270.00",Grounds Maintenance,60 - Sole Trader,Sole Trader
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,MGB CARE SERVICES,03/12/2024,00154347,640591,600.00,Ordinary Lives LD (under 65) - R/N,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,MGB CARE SERVICES,03/12/2024,00154347,640592,600.00,Ordinary Lives LD (under 65) - R/N,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640604,"1,808.84",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640605,"1,808.84",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640607,557.20,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640608,"1,056.28",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640610,578.20,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640611,557.20,East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640612,557.20,East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640613,"1,028.72",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640614,"1,028.72",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640615,"1,386.10",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640616,"1,424.70",South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640618,539.28,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640621,656.94,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640622,656.94,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640623,696.32,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640625,578.20,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640627,756.68,East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640630,717.32,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640632,"1,125.75",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640633,938.24,West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640634,938.24,West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640635,"1,095.28",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,03/12/2024,00155422,640636,678.40,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
