Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
People Services,05/04/2023,SAINSBURYS S/MKTS,86.95,"GROCERY STORES, SUPERMARKETS"
People Services,05/04/2023,ASDA SUPERSTORE,1.50,"GROCERY STORES, SUPERMARKETS"
People Services,17/04/2023,SMYTHS TOYS DERBY,80.08,"GAME, TOY, AND HOBBY SHOPS"
People Services,17/04/2023,WWW.ARGOS.CO.UK,75.00,DEPARTMENT STORES
People Services,17/04/2023,POUNDLAND LTD - 2175,15.25,DISCOUNT STORES
People Services,17/04/2023,GREGGS PLC,8.10,"EATING PLACES, RESTAURANTS"
People Services,18/04/2023,AMZNMKTPLACE AMAZON.CO,29.57,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZN DIGITAL,19.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/04/2023,AMZNMKTPLACE AMAZON.CO,44.04,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/04/2023,AMZN DIGITAL,25.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,10/05/2023,AMZNMKTPLACE AMAZON.CO,£54.71,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/05/2023,AMZNMKTPLACE,£85.39,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,16/05/2023,POUNDSTRETCHER 302,£47.11,VARIETY STORES
People Services,19/05/2023,DISCOVERY CENTRE,£56.00,TOURIST ATTRACTIONS AND EXHIBITS
People Services,19/05/2023,AMZNMKTPLACE AMAZON.CO,£19.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/05/2023,AMZNMKTPLACE,£19.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE AMAZON.CO,£40.67,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,AMZNMKTPLACE,£54.47,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,AMAZON.CO.UK 227MY4BU5,£9.94,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,12/06/2023,ASDA GROCERIES ONLINE,£138.19,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,ASDA GROCERIES ONLINE,-£44.39,"GROCERY STORES, SUPERMARKETS"
People Services,13/06/2023,AMZNMKTPLACE,£9.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,SINFIN ASDA KFC,£17.98,FAST FOOD RESTAURANTS
People Services,14/06/2023,POUNDLAND LTD - 2175,£53.20,DISCOUNT STORES
People Services,19/06/2023,ASDA GROCERIES ONLINE,£57.10,"GROCERY STORES, SUPERMARKETS"
People Services,19/06/2023,ASDA GROCERIES ONLINE,-£12.26,"GROCERY STORES, SUPERMARKETS"
People Services,21/06/2023,ASDA SUPERSTORE,£12.85,"GROCERY STORES, SUPERMARKETS"
People Services,23/06/2023,B&M 465 - HS DERBY,£31.00,SUNDRY GENERAL MERCHANDISE
Communities and Place,27/06/2023,AMZNMKTPLACE,£38.76,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,27/06/2023,AMZNMKTPLACE,£87.28,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,28/06/2023,AMZNMKTPLACE,£18.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,28/06/2023,AMZNMKTPLACE,£50.22,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,28/06/2023,AMZNMKTPLACE,£132.25,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,28/06/2023,AMZNMKTPLACE,£8.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,28/06/2023,AMZNMKTPLACE,£26.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Communities and Place,03/07/2023,EIF/PURPLEGUIDE,£30.00,"ORGANISATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
People Services,11/05/2023,AMZNMKTPLACE,£299.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/05/2023,ALDI,£150.19,"GROCERY STORES, SUPERMARKETS"
People Services,15/05/2023,WM MORRISONS STORE,£46.28,"GROCERY STORES, SUPERMARKETS"
People Services,17/05/2023,LIDL GB,£12.74,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,AMZNMKTPLACE,238.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/04/2023,AMZNMKTPLACE,38.94,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,16/05/2023,AMZNMKTPLACE,£133.90,MISCELLANEOUS AND SPECIALTY RETAIL STORES
