Body Name,Body,Date,Department,Beneficiary,Summary of Purpose (SeRCOP),Amount SUM,Merchant Code,Transaction Number,Supplier ID
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,06/11/2023,Adults Social Care Capital,AXIS EUROPE PLC ,Adults Social Care Capital,50449.93,Deferred Charges/Grant Payments,2324P08_CR00001,64946
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,BLOOM PROCUREMENT SERVICES LTD,Adults Social Care Capital,112071.06,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00002,141813
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,PARCOR LTD,Adults Social Care Capital,10983.00,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00003,163117
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,08/11/2023,Adults Social Care Capital,PR PROPERTY MAINTENANCE,Adults Social Care Capital,40176.42,Deferred Charges/Grant Payments,2324P08_CR00004,33836
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,10/11/2023,Adults Social Care Capital,SEATED FURNITURE LTD,Adults Social Care Capital,991.50,CIP - Fixtures & Fittings,2324P08_CR00005,167393
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,10/11/2023,Adults Social Care Capital,SEATED FURNITURE LTD,Adults Social Care Capital,3575.87,CIP - Fixtures & Fittings,2324P08_CR00006,167393
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,10/11/2023,Adults Social Care Capital,SITEWATCH FIRE AND SURVEILLANCE LIMITED,Adults Social Care Capital,1321.44,Security,2324P08_CR00007,55288
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,16/11/2023,Adults Social Care Capital,SWG CONSTRUCTION (BUILD & RENOVATE) LTD,Adults Social Care Capital,39642.16,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00008,166518
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,16/11/2023,Adults Social Care Capital,SWG CONSTRUCTION (BUILD & RENOVATE) LTD,Adults Social Care Capital,62841.42,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00009,166518
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,VINCI CONSTRUCTION LTD,Adults Social Care Capital,32088.94,Deferred Charges/Grant Payments,2324P08_CR00010,36361
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,VINCI CONSTRUCTION LTD,Adults Social Care Capital,14191.29,Deferred Charges/Grant Payments,2324P08_CR00011,36361
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22/11/2023,Adults Social Care Capital,WELCH AND PHILLIPS BUILDING CONTRACTORS LTD,Adults Social Care Capital,110776.20,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00012,167124
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,WERNICK HIRE LTD,Adults Social Care Capital,1244.45,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00013,01540783
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,WESSEX LIFT CO LTD,Adults Social Care Capital,10581.94,Deferred Charges/Grant Payments,2324P08_CR00014,01095737
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20/11/2023,Adults Social Care Capital,WESSEX LIFT CO LTD,Adults Social Care Capital,14596.88,Deferred Charges/Grant Payments,2324P08_CR00015,01095737
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,10/11/2023,Adults Social Care Capital,EASIBATHE LTD,Adults Social Care Capital,4355.78,Deferred Charges/Grant Payments,2324P08_CR00016,46096
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,HOME DESIGN,Adults Social Care Capital,22957.29,Deferred Charges/Grant Payments,2324P08_CR00017,141847
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,HOME DESIGN,Adults Social Care Capital,10000.00,Deferred Charges/Grant Payments,2324P08_CR00018,141847
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,08/11/2023,Adults Social Care Capital,TDF DESIGN LIMITED,Adults Social Care Capital,19000.00,Deferred Charges/Grant Payments,2324P08_CR00019,10320
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Adults Social Care Capital,TDF DESIGN LIMITED,Adults Social Care Capital,10346.77,Deferred Charges/Grant Payments,2324P08_CR00020,10320
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,15/11/2023,Adults Social Care Capital,B S VIRDEE,Adults Social Care Capital,8380.40,Deferred Charges/Grant Payments,2324P08_CR00021,16907
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,16/11/2023,Adults Social Care Capital,B S VIRDEE,Adults Social Care Capital,8000.00,Deferred Charges/Grant Payments,2324P08_CR00022,16907
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,15/11/2023,Adults Social Care Capital,LIFT & ENGINEERING SERVICES LTD,Adults Social Care Capital,10838.06,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00023,77003962
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,15/11/2023,Adults Social Care Capital,LIFT & ENGINEERING SERVICES LTD,Adults Social Care Capital,8020.72,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00024,77003962
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,09/11/2023,Adults Social Care Capital,LIFT & ENGINEERING SERVICES LTD,Adults Social Care Capital,547.35,"CIP - New Construction,Conversion, Enhancement & Reno",2324P08_CR00025,77003962
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,23/11/2023,Childrens Services,HAYS SPECIALIST RECRUITMENT LTD,Childrens Services,-1204.25,Agency Staff,2324P08_CR00026,80349
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,17/11/2023,Childrens Services,SANDWELL CHILDREN'S TRUST,Childrens Services,-5705769.15,Other Establishments,2324P08_CR00027,133302
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01/11/2023,Childrens Services,SANDWELL CHILDREN'S TRUST,Childrens Services,-5705769.23,Other Establishments,2324P08_CR00028,133302
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,16/11/2023,Childrens Services,5 STAR DAY NURSERY LIMITED,Childrens Services,2000.00,Grant Payments,2324P08_CR00029,105382
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22/11/2023,Childrens Services,AFJ LIMITED,Childrens Services,55760.00,Public Transport,2324P08_CR00030,164912
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22/11/2023,Childrens Services,AFJ LIMITED,Childrens Services,48561.00,Public Transport,2324P08_CR00031,164912
