Body Name,Body,Date,Department,Beneficiary,Summary of Purpose (SeRCOP),Amount SUM,Merchant Code,Transaction Number,Supplier ID
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,07-Mar-2024,Adults Social Care Capital,UDDIN DESIGN,Adults Social Care Capital,534.50,Deferred Charges/Grant Payments,2324P12_CR00024,167576
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,REDACTED PERSONAL DATA,Adults Social Care Capital,10257.00,Deferred Charges/Grant Payments,2324P12_CR00025,REDACTED PERSONAL DATA
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,08-Mar-2024,Adults Social Care Capital,REDACTED PERSONAL DATA,Adults Social Care Capital,16743.00,Deferred Charges/Grant Payments,2324P12_CR00026,REDACTED PERSONAL DATA
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,13-Mar-2024,Adults Social Care Capital,LIFT & ENGINEERING SERVICES LTD,Adults Social Care Capital,816.38,"CIP - New Construction,Conversion, Enhancement & Reno",2324P12_CR00027,77003962
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,06-Mar-2024,Adults Social Care Capital,LIFT & ENGINEERING SERVICES LTD,Adults Social Care Capital,603.61,"CIP - New Construction,Conversion, Enhancement & Reno",2324P12_CR00028,77003962
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,DV247 LIMITED,Childrens Services,-720.30,Equipment & Furniture ,2324P12_CR00029,113728
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,ABBEY JUNIOR SCHOOL   ,Childrens Services,1750.00,Externally Purchased Professional Services ,2324P12_CR00030,04031024
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,14-Mar-2024,Childrens Services,AFJ LIMITED,Childrens Services,59994.75,Public Transport,2324P12_CR00031,164912
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,04-Mar-2024,Childrens Services,ALEX STYLES PHOTOGRAPHY LTD,Childrens Services,2550.00,Advertising & Publicity,2324P12_CR00032,166978
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,AMP BIOMASS FUEL LTD T/A AMP CLEAN ENERGY,Childrens Services,3998.00,Ingestre Hall Arts Centre.Energy Costs-Bio Energy Costs,2324P12_CR00033,128761
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,AMP BIOMASS FUEL LTD T/A AMP CLEAN ENERGY,Childrens Services,2506.75,Ingestre Hall Arts Centre.Energy Costs-Bio Energy Costs,2324P12_CR00034,128761
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,AMP BIOMASS FUEL LTD T/A AMP CLEAN ENERGY,Childrens Services,3646.18,Ingestre Hall Arts Centre.Energy Costs-Bio Energy Costs,2324P12_CR00035,128761
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,AMP BIOMASS FUEL LTD T/A AMP CLEAN ENERGY,Childrens Services,2830.58,Ingestre Hall Arts Centre.Energy Costs-Bio Energy Costs,2324P12_CR00036,128761
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,07-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,700.00,"Printing, Stationery & General Office Expenses",2324P12_CR00037,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,970.00,"Printing, Stationery & General Office Expenses",2324P12_CR00038,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,2241.00,"Printing, Stationery & General Office Expenses",2324P12_CR00039,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,3320.00,"Printing, Stationery & General Office Expenses",2324P12_CR00040,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,1265.00,"Printing, Stationery & General Office Expenses",2324P12_CR00041,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,750.00,"Printing, Stationery & General Office Expenses",2324P12_CR00042,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,APD PRINT & DESIGN,Childrens Services,750.00,"Printing, Stationery & General Office Expenses",2324P12_CR00043,49454
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,ARDO MEDICAL LTD,Childrens Services,28245.70,Materials & Consumables,2324P12_CR00044,167703
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,18-Mar-2024,Childrens Services,"ARTVENTURERS DUDLEY , WOMBOURNE AND TIPTON",Childrens Services,500.00,Externally Purchased Professional Services ,2324P12_CR00045,167802
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BAKER ROSS LIMITED,Childrens Services,813.86,"Printing, Stationery & General Office Expenses",2324P12_CR00046,01269861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BARNARDO SERVICES LIMITED,Childrens Services,679032.23,Contract Payments,2324P12_CR00047,9330
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BARNARDO SERVICES LIMITED,Childrens Services,83963.40,Externally Purchased Professional Services ,2324P12_CR00048,9330
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1750.00,Rents,2324P12_CR00049,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1283.52,Rents,2324P12_CR00050,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1568.00,Rents,2324P12_CR00051,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1166.76,Rents,2324P12_CR00052,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1283.52,Rents,2324P12_CR00053,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1283.52,Rents,2324P12_CR00054,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,933.52,Rents,2324P12_CR00055,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BCH PROPERTY LIMITED,Childrens Services,1568.00,Rents,2324P12_CR00056,01011861
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,506.39,Materials & Consumables,2324P12_CR00057,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,582.30,Catering Provisions,2324P12_CR00058,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,644.43,Catering Provisions,2324P12_CR00059,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,974.88,Catering Provisions,2324P12_CR00060,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,704.26,Catering Provisions,2324P12_CR00061,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,691.79,Catering Provisions,2324P12_CR00062,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,841.36,Catering Provisions,2324P12_CR00063,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,962.10,Catering Provisions,2324P12_CR00064,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,561.57,Catering Provisions,2324P12_CR00065,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,BIDFOOD,Childrens Services,637.87,Catering Provisions,2324P12_CR00066,164984
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,18-Mar-2024,Childrens Services,BLACK COUNTRY HEALTHCARE NHS FT,Childrens Services,1500.00,SH Payments,2324P12_CR00067,166658
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,CALOR GAS LTD,Childrens Services,1502.59,Gas,2324P12_CR00068,01562564
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CERTAS ENERGY LIMITED,Childrens Services,665.30,Oil,2324P12_CR00069,80421
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CHUBB FIRE & SECURITY LIMITED t/a CHUBB ELECTRONIC SECURITY,Childrens Services,1782.77,Security,2324P12_CR00070,81343
