Feb-24,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,29-Feb-24,11983712,"£12,216.40",1ENERGY GROUP LIMITED,10151249,Green Heat Network - Phase 1,CAPITAL
HCC,Hull City Council,05-Feb-24,11950108,"£3,995.00",1ST ABILITY LTD,10103754,Disabled Facilities Grant,CAPITAL
HCC,Hull City Council,13-Feb-24,11959516,"£2,963.36",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959518,"£2,213.95",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959519,"£1,801.10",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959520,"£1,848.15",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959521,"£2,025.07",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959527,"£2,009.66",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959531,"£2,322.69",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959532,"£1,918.18",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959533,"£1,811.91",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959534,"£1,637.13",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959535,"£1,566.56",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959537,"£2,255.15",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959538,"£1,554.67",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959539,£291.04,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959543,"£1,599.52",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959547,"£1,634.88",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959550,"£2,397.71",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959553,"£2,015.45",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962478,"£1,928.23",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962480,"£2,131.29",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962481,"£1,453.22",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962482,"£1,505.44",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962483,£312.92,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962484,"£1,371.77",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962485,"£2,122.49",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962486,"£1,474.41",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962487,"£1,579.71",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962489,"£1,610.59",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962490,"£1,700.09",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962491,"£1,891.45",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962492,"£1,613.72",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962493,"£1,695.16",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962495,"£2,017.26",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962496,"£2,389.44",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,16-Feb-24,11962500,"£1,780.33",24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13-Feb-24,11959516,£204.19,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959518,£152.55,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959519,£124.11,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959520,£127.35,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959521,£139.54,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959527,£138.48,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959531,£160.05,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959532,£132.17,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959533,£124.85,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959534,£112.81,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959535,£107.94,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13-Feb-24,11959537,£155.39,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
