Nov-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,13/11/2023,11819920,185.07,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819921,2334.13,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819921,8.86,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819921,160.83,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819922,2013,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819922,7.64,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819922,138.71,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819923,1858.72,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819923,7.06,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819923,128.08,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819925,1842.31,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819925,6.99,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819925,126.94,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819926,2246.09,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819926,8.53,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819926,154.77,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819928,1779.8,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819928,6.76,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819928,122.64,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819929,2004.5,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819929,7.61,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819929,138.12,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819930,1875.91,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819930,7.12,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819930,129.26,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819931,1843.01,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819931,7,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819931,126.99,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819933,2653.12,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819933,10.07,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819933,182.81,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819934,1829.03,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819934,6.94,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819934,126.03,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819936,1795.14,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819936,6.81,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819936,123.69,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819937,385.57,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819937,1.46,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819937,26.57,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819938,1881.79,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819938,7.14,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819938,129.67,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819939,1762.84,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819939,6.69,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819939,121.47,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819940,2275.82,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819940,8.64,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819940,156.82,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11819942,2457.07,24 X 7 LTD,10152395,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,13/11/2023,11819942,9.33,24 X 7 LTD,10152395,The Language Unit,Learning and Skills
HCC,Hull City Council,13/11/2023,11819942,169.3,24 X 7 LTD,10152395,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,13/11/2023,11820121,4046.96,4 SEASONS (HULL) LTD,10065636,Commissioning Team,Adults Social Care
HCC,Hull City Council,29/11/2023,11819617,300.99,4IMPRINT DIRECT,10032603,Fostering - Hull City Council,Safeguarding
HCC,Hull City Council,28/11/2023,11851701,59.94,5-WAYS MOTORCYCLE CENTRE LTD,10013121,Environmental Services,Street Scene Services
HCC,Hull City Council,01/11/2023,11780944,90,75 MEDIA LIMITED,10158432,Expenditure,Corporate Finance
HCC,Hull City Council,21/11/2023,11843555,1476.83,966 CARS,10126454,Assessment Team 1,Safeguarding
HCC,Hull City Council,21/11/2023,11843555,42033.31,966 CARS,10126454,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,21/11/2023,11843555,134.96,966 CARS,10126454,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,21/11/2023,11843555,229.95,966 CARS,10126454,Localities North - Team 1,Safeguarding
HCC,Hull City Council,21/11/2023,11843555,832.74,966 CARS,10126454,Pathway Team,Safeguarding
HCC,Hull City Council,21/11/2023,11843555,8974.59,966 CARS,10126454,Transport - Looked After Children,Safeguarding
HCC,Hull City Council,21/11/2023,11843555,1316.01,966 CARS,10126454,"Transport - Other (CIN, CPP etc)",Safeguarding
HCC,Hull City Council,21/11/2023,11843555,200.51,966 CARS,10126454,Transport Adults - General Rechage,Adults Social Care
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Adoption - Regional Adoption Agency,Safeguarding
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Adults Safeguarding Team,Adults Social Care
HCC,Hull City Council,01/11/2023,11798155,13.92,A B ROOMS & SON LIMITED,01180091,"Advocacy, Access & Support Pod",Early Intervention
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Asylum Unaccompanied Children,Safeguarding
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Care Leavers,Safeguarding
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,EHASH - Early Help & Safeguarding Hub,Safeguarding
