Apr-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,04/04/2023,10943644,1296,APPROPRIATE ADULTS UK,10120781,Youth Offending Team Manager,Early Intervention
HCC,Hull City Council,04/04/2023,10900417,112.98,ARCO GROUP,01010605,ASC Business Support,Adults Social Care
HCC,Hull City Council,04/04/2023,10900419,128.28,ARCO GROUP,01010605,ASC Business Support,Adults Social Care
HCC,Hull City Council,04/04/2023,10900424,42.48,ARCO GROUP,01010605,ASC Business Support,Adults Social Care
HCC,Hull City Council,04/04/2023,10953544,-64.99,ARCO GROUP,01010605,Management Fee HRA Areas,Neighbourhoods & Housing
HCC,Hull City Council,04/04/2023,10948652,153.66,ARCO GROUP,01010605,CPE - On Street & PCN,Street Scene Services
HCC,Hull City Council,04/04/2023,10899752,980,BATEMANS DELIVERY SERVICE,10002689,Communications & Marketing,Economic Development and Regeneration
HCC,Hull City Council,04/04/2023,10954092,66.67,BEERHOUSE SELF DRIVE,10023218,Humber Field Unit,Economic Development and Regeneration
HCC,Hull City Council,04/04/2023,10984458,12507.59,CGL,10061885,Drugs and Alcohol IPS,Health and Wellbeing
HCC,Hull City Council,04/04/2023,10984460,9231,CGL,10061885,Drugs and Alcohol - Housing Tenancy,Health and Wellbeing
HCC,Hull City Council,04/04/2023,10901238,174.34,EAST RIDING OF YORKSHIRE COUNCIL,01050400,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,04/04/2023,10986507,1815,EAST RIDING OF YORKSHIRE COUNCIL,01050400,Home to School Transport - Special,Learning and Skills
HCC,Hull City Council,04/04/2023,10901036,75,EDENS BABY EXPERIENCES,10153181,Early Help-Health and Wellbeing,Early Intervention
HCC,Hull City Council,04/04/2023,10901101,7498.75,EKOSGEN,10073376,HEY LEP - Core costs,Hull & East Yorkshire LEP
HCC,Hull City Council,04/04/2023,10899754,15975,ELIA INTERNATIONAL LIMITED,10144926,Service Transformation - CYPS,CAPITAL
HCC,Hull City Council,04/04/2023,10923553,750,ENVIRONMENTAL & MANAGEMENT SOLUTIONS (EMS) LTD,10076986,Early Help-Health and Wellbeing,Early Intervention
HCC,Hull City Council,04/04/2023,10901398,254.64,F R SCOTT LTD.,01190032,Early Years & Childcare,Early Intervention
HCC,Hull City Council,04/04/2023,10901132,224,F R SCOTT LTD.,01190032,Construction,Economic Development and Regeneration
HCC,Hull City Council,04/04/2023,10981945,138.36,FUELMATE LIMITED,10059697,HOOTS Team,Adults Social Care
HCC,Hull City Council,04/04/2023,10901392,50.17,FUELMATE LIMITED,10059697,Stable Way Childrens Home,Safeguarding
HCC,Hull City Council,04/04/2023,10900020,57.5,GILSON HOTEL,10142732,Homelessness Temporary Accommodation,Neighbourhoods & Housing
HCC,Hull City Council,04/04/2023,10900073,105.42,GILSON HOTEL,10142732,Homelessness Temporary Accommodation,Neighbourhoods & Housing
HCC,Hull City Council,04/04/2023,10986506,1713.92,GOODWIN DEVELOPMENT TRUST LTD,10016667,Youth Support Service,Early Intervention
HCC,Hull City Council,04/04/2023,10900552,1944,GREY MATTER LEARNING,10150257,Shared Lives,Adults Social Care
HCC,Hull City Council,04/04/2023,10899511,80,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986497,220,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986498,250,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986499,325,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986500,435,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986503,1390,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10899519,460,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986501,1960,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10943916,89.5,JOYNSONS CATERING EQUIPMENT,01100043,School Meals Overheads,Property & Assets
HCC,Hull City Council,04/04/2023,10948715,47,JOYNSONS CATERING EQUIPMENT,01100043,School Meals Overheads,Property & Assets
HCC,Hull City Council,04/04/2023,10900923,2475,LIKE ASSOCIATES LTD,10154883,HEY LEP - Core costs,Hull & East Yorkshire LEP
HCC,Hull City Council,04/04/2023,10900506,250,MANOR OCCUPATIONAL HEALTH LTD,10052825,The Portage Service (FASS Team),Learning and Skills
HCC,Hull City Council,04/04/2023,10899708,250,MANOR OCCUPATIONAL HEALTH LTD,10052825,HR Resources,Organisation Development & Human Resources
HCC,Hull City Council,04/04/2023,10943555,72.54,MKM BUILDING SUPPLIES,01130828,Cemeteries,Customer Services
HCC,Hull City Council,04/04/2023,10986496,525,REDACTED,REDACTED,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10986514,122,REDACTED,REDACTED,Commissioning Team,Adults Social Care
HCC,Hull City Council,04/04/2023,10899573,317,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,01330105,CHCP - Sexual Health,Health and Wellbeing
HCC,Hull City Council,04/04/2023,10984313,716,NHS NORTH OF ENGLAND COMMISSIONING UNIT,10103632,Procurement And Tendering Support,Health and Wellbeing
HCC,Hull City Council,04/04/2023,10984443,40,PREMIER SERVICES (HULL) LTD,10011970,Management Fee HRA Areas,Neighbourhoods & Housing
HCC,Hull City Council,04/04/2023,10901165,2850,QUICKLINE COMMUNICATIONS LIMITED,10056614,Learner Services,Economic Development and Regeneration
HCC,Hull City Council,04/04/2023,10900401,52,RNIB,01312046,Joint Equipment Store,Adults Social Care
HCC,Hull City Council,04/04/2023,10900395,170,RNIB,01312046,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,04/04/2023,10900398,44.97,RNIB,01312046,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,04/04/2023,10900403,299.76,RNIB,01312046,Integrated Physical & Sensory Service (IPAS),Learning and Skills
HCC,Hull City Council,04/04/2023,10901161,200,S&R GROUNDWORKS LTD,10131629,Community Initatives Budget,CAPITAL
HCC,Hull City Council,04/04/2023,10983862,6965,THE KNOWLEDGE ACADEMY,10097672,Universal Drug Funding Grant,Health and Wellbeing
HCC,Hull City Council,04/04/2023,10986502,500,TRINITY CHAMBERS CROSS PAYMENT ACOUNT,10148959,Legal Services - Social Care,Town Clerks Service
HCC,Hull City Council,04/04/2023,10890676,107.76,TURNER & PRICE LTD,01200363,Technology,Economic Development and Regeneration
HCC,Hull City Council,04/04/2023,10890691,9.9,TURNER & PRICE LTD,01200363,Technology,Economic Development and Regeneration
HCC,Hull City Council,05/04/2023,10633254,60,A B ROOMS & SON LIMITED,01180091,Estate Related,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,10948691,84,A B ROOMS & SON LIMITED,01180091,Management Fee HRA Areas,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,10981440,7,A B ROOMS & SON LIMITED,01180091,Management Fee - Estate Management,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,10651344,10.5,A B ROOMS & SON LIMITED,01180091,Overheads,Property & Assets
HCC,Hull City Council,05/04/2023,10943681,233.76,A FLETCHER & SONS,01270396,Coroner's Office,Customer Services
HCC,Hull City Council,05/04/2023,10985537,4186.1,REDACTED,REDACTED,Comm & S/work General,Safeguarding
HCC,Hull City Council,05/04/2023,10984631,1181.97,REDACTED,REDACTED,Shared Lives,Adults Social Care
HCC,Hull City Council,05/04/2023,10901572,548,A WILLIS CONSULTANT LTD,10153135,Food Health & Safety,Health and Wellbeing
HCC,Hull City Council,05/04/2023,10900637,95.2,REDACTED,REDACTED,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,05/04/2023,11002749,6353.93,ABCA SYSTEMS,10054755,Renew Controlled Entry Systems,CAPITAL
HCC,Hull City Council,05/04/2023,11002750,1160.07,ABCA SYSTEMS,10054755,Renew Controlled Entry Systems,CAPITAL
HCC,Hull City Council,05/04/2023,11002714,167.01,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002715,81.33,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002716,1338.62,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002717,122.01,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002718,267.32,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002719,167.01,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,05/04/2023,11002720,40.67,ABCA SYSTEMS,10054755,R&M - Citywide,Neighbourhoods & Housing
