Aug-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,31/08/2023,11412376,£20.00,A B ROOMS & SON LIMITED,01180091,Day Services,Adults Social Care
HCC,Hull City Council,28/08/2023,11409299,£9.89,A B ROOMS & SON LIMITED,01180091,Expenditure,Corporate Finance
HCC,Hull City Council,07/08/2023,11109790,£48.00,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,17/08/2023,11409515,£152.60,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,17/08/2023,11409516,£105.57,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,17/08/2023,11409517,£105.57,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,17/08/2023,11409518,£52.78,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,17/08/2023,11409519,£55.30,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,09/08/2023,11375346,£60.00,A B ROOMS & SON LIMITED,01180091,Overheads,Property & Assets
HCC,Hull City Council,09/08/2023,11375343,£13.50,A B ROOMS & SON LIMITED,01180091,School Meals Overheads,Property & Assets
HCC,Hull City Council,10/08/2023,11380941,£3.64,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11380942,£2.73,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11380944,£3.64,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11380945,£5.45,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11380946,£9.09,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11381927,£5.45,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,17/08/2023,11409404,£18.24,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,17/08/2023,11409406,£26.76,A B ROOMS & SON LIMITED,01180091,Environmental Services,Street Scene Services
HCC,Hull City Council,10/08/2023,11380941,£3.64,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,10/08/2023,11380942,£2.72,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,10/08/2023,11380944,£3.64,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,10/08/2023,11380945,£5.46,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,10/08/2023,11380946,£9.09,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,10/08/2023,11381927,£5.46,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,17/08/2023,11409405,£7.41,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,17/08/2023,11409783,£9.88,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,18/08/2023,11409788,£24.71,A B ROOMS & SON LIMITED,01180091,Grounds Maintenance,Street Scene Services
HCC,Hull City Council,31/08/2023,11420574,£70.00,A B ROOMS & SON LIMITED,01180091,Grounds & Open Spaces Development,Street Scene Services
HCC,Hull City Council,10/08/2023,11380941,£2.18,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11380942,£1.64,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11380944,£2.18,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11380945,£3.27,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11380946,£5.45,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11381927,£3.27,A B ROOMS & SON LIMITED,01180091,Gullies,Street Scene Services
HCC,Hull City Council,10/08/2023,11380941,£1.45,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11380942,£1.09,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11380944,£1.45,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11380945,£2.18,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11380946,£3.64,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11381927,£2.18,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,17/08/2023,11409404,£26.76,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
