Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Procurement Comment
321017,Residential Care,424014,Care Services UK Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20061872,202302,02/05/2023,3791.3,
321017,Residential Care,424014,Care Services UK Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20061872,202302,02/05/2023,3791.3,
321017,Residential Care,424014,Care Services UK Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20061872,202302,02/05/2023,3791.3,
321017,Residential Care,424014,Care Services UK Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20060581,202302,11/04/2023,3791.3,
321017,Residential Care,424014,Care Services UK Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20060581,202302,11/04/2023,-3409.44,
321117,Childrens Residential Care,410360,Care Today (Childrens Services) Ltd,People,10418,Residential - External Fees,R5008,Other agencies,3690999,202302,01/05/2023,13085.4,
321117,Childrens Residential Care,410360,Care Today (Childrens Services) Ltd,People,10418,Residential - External Fees,R5008,Other agencies,3687856,202302,01/03/2023,15165.28,
321117,Childrens Residential Care,410360,Care Today (Childrens Services) Ltd,People,10418,Residential - External Fees,R5008,Other agencies,3687856,202302,01/03/2023,3154.28,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062748,202302,02/05/2023,1173.16,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062748,202302,02/05/2023,1173.16,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062748,202302,02/05/2023,1173.16,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062748,202302,02/05/2023,1173.16,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060949,202302,20/04/2023,1173.16,
321016,Nursing Homes,405985,Care UK Community Partnerships Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060949,202302,20/04/2023,-1055,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,570,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,570,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,570,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,570,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,570,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067280,202302,02/05/2023,-512.15,
321014,Domiciliary Care,409828,Caremark Coventry,People,10722,OP Home Care,R5008,Other agencies,3689903,202302,01/05/2023,371160,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067239,202302,24/11/2022,3180.69,
261414,Social & Community Care,409828,Caremark Coventry,People,10991,OP Individual Service Funds,R5008,Other agencies,20067239,202302,24/11/2022,-3088.65,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20067362,202302,19/05/2023,1519.17,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20067362,202302,19/05/2023,1538.4,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20067362,202302,19/05/2023,1504.75,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20067362,202302,19/05/2023,1591,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20067362,202302,19/05/2023,1087.29,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20063610,202302,09/05/2023,1336.49,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,20063610,202302,09/05/2023,1692.24,
321014,Domiciliary Care,406079,Carers Trust Heart of England,People,10722,OP Home Care,R5008,Other agencies,3689899,202302,01/05/2023,44460,
321117,Childrens Residential Care,421521,Caretech Community Services Ltd,People,10418,Residential - External Fees,R5008,Other agencies,3688864,202302,20/04/2023,7892.86,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20062339,202302,02/05/2023,713.26,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20062339,202302,02/05/2023,713.26,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20062339,202302,02/05/2023,713.26,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20062339,202302,02/05/2023,713.26,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20060492,202302,11/04/2023,713.26,
321017,Residential Care,421502,Caring Consultancy Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20060492,202302,11/04/2023,-641.42,
391114,Buildings Surveys,423453,Carousel Marketing Ltd,Place,10310,Coventry City Centre Regeneration,C1005,Surveyors Fees,3688313,202302,31/03/2023,4895.59,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10300,Internal Fostering Team,R4400,Services - Professional Fees,3690375,202302,28/04/2023,936,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10410,Legal Costs (LAC),R4400,Services - Professional Fees,3686161,202302,27/04/2023,673.92,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10084,Section17 Payments West,R4400,Services - Professional Fees,3688729,202302,27/04/2023,2639.14,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10084,Section17 Payments West,R4400,Services - Professional Fees,3688728,202302,26/04/2023,1123.2,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10084,Section17 Payments West,R4400,Services - Professional Fees,3688727,202302,20/04/2023,1335.2,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10300,Internal Fostering Team,R4400,Services - Professional Fees,3687931,202302,17/04/2023,780,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10084,Section17 Payments West,R4400,Services - Professional Fees,3688204,202302,11/04/2023,1123.2,
261200,Professional & Advisory Services,400825,Carter Brown - The Expert Services Ltd,People,10169,Section17 Payments South,R4400,Services - Professional Fees,3687930,202302,24/03/2023,1348.7,
152200,Technical & Feasibility Consultancy,423123,Carter Jonas LLP,Place,10869,Air Quality Early Measures,C6002,Fees - External Staff,3688869,202302,09/05/2023,1300,
391411,Highways Repair & Maintenance,400834,Cashelton Construction Ltd,Place,11930,Highways Holding - Confirm,R2076,Highways Work,3687640,202302,09/05/2023,66157.45,
391411,Highways Repair & Maintenance,400834,Cashelton Construction Ltd,Place,11930,Highways Holding - Confirm,R2076,Highways Work,3687545,202302,05/05/2023,43227.05,
391411,Highways Repair & Maintenance,400834,Cashelton Construction Ltd,Place,11930,Highways Holding - Confirm,R2076,Highways Work,3687546,202302,05/05/2023,39721.28,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,-1046.29,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1046.29,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20063153,202302,04/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062747,202302,02/05/2023,1556.78,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062715,202302,02/05/2023,2032.09,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062747,202302,02/05/2023,1556.78,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062715,202302,02/05/2023,2032.09,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062715,202302,02/05/2023,2032.09,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062747,202302,02/05/2023,1556.78,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062716,202302,02/05/2023,1678.19,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062595,202302,02/05/2023,1690.5,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062747,202302,02/05/2023,1556.78,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062715,202302,02/05/2023,2032.09,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062727,202302,02/05/2023,1786.14,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062727,202302,02/05/2023,1786.14,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062716,202302,02/05/2023,1678.19,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062601,202302,02/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062595,202302,02/05/2023,1690.5,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062727,202302,02/05/2023,1786.14,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062601,202302,02/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062601,202302,02/05/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062595,202302,02/05/2023,1690.5,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062601,202302,02/05/2023,1628.87,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062727,202302,02/05/2023,1786.14,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062716,202302,02/05/2023,1678.19,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062595,202302,02/05/2023,1690.5,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20062716,202302,02/05/2023,1678.19,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060920,202302,20/04/2023,-1606.24,
321016,Nursing Homes,406395,Castel Froma Neuro Care Ltd,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060920,202302,20/04/2023,1786.14,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060906,202302,20/04/2023,-1827.42,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060906,202302,20/04/2023,2032.09,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060907,202302,20/04/2023,-1509.16,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060948,202302,20/04/2023,1556.78,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060948,202302,20/04/2023,-1399.98,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060961,202302,20/04/2023,-1464.81,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060908,202302,20/04/2023,-1520.23,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060907,202302,20/04/2023,1678.19,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060961,202302,20/04/2023,1628.87,
321016,Nursing Homes,406009,Castel Froma Neuro Care Ltd,People,10834,LD Nursing Care Placements,R5008,Other agencies,20060908,202302,20/04/2023,1690.5,
111200,Food & Beverages,409383,Castell Howell Foods Ltd,People,11086,Outdoor Education Service - Plas Dol-y-Moch,R4101,Groceries,3692212,202302,23/05/2023,607.1,
200000,Financial Services,425163,Castlebridge Hotels Coventry Ltd,Place,10310,Coventry City Centre Regeneration,C7000,Capital Loans,3692049,202302,26/05/2023,287162.83,
200000,Financial Services,425163,Castlebridge Hotels Coventry Ltd,Place,10310,Coventry City Centre Regeneration,C7000,Capital Loans,3686223,202302,26/04/2023,562919.19,
321117,Childrens Residential Care,422716,Castlecare Homes Ltd - Swan Lodge CC,People,10418,Residential - External Fees,R5008,Other agencies,3689549,202302,25/04/2023,20155.59,
281300,Legal Opinion,421282,Catherine Ravenscroft,People,11081,Education Welfare,R4400,Services - Professional Fees,3688144,202302,24/04/2023,750,
271200,ICT Hardware,416102,CDW Ltd,People,11922,ICT User Support,R4531,Computing - IT Hardware,3692666,202302,23/05/2023,999,
271200,ICT Hardware,416102,CDW Ltd,People,11922,ICT User Support,R4531,Computing - IT Hardware,3691686,202302,17/05/2023,1160.81,
271200,ICT Hardware,416102,CDW Ltd,Place,11262,Adult Ed E Learning,R4531,Computing - IT Hardware,3690346,202302,15/05/2023,1169.84,
271200,ICT Hardware,416102,CDW Ltd,People,11922,ICT User Support,R4531,Computing - IT Hardware,3688720,202302,05/05/2023,1317.5,
271200,ICT Hardware,416102,CDW Ltd,People,11017,ICT Operational,R4531,Computing - IT Hardware,3688479,202302,04/05/2023,1655.5,
271200,ICT Hardware,416102,CDW Ltd,Place,10561,Parks General,R4531,Computing - IT Hardware,3686527,202302,24/04/2023,3187.15,
271200,ICT Hardware,416102,CDW Ltd,People,10377,ICT Architecture,C3003,IT Hardware,3686097,202302,21/04/2023,3965.6,
271200,ICT Hardware,416102,CDW Ltd,People,10377,ICT Architecture,C3003,IT Hardware,3685748,202302,18/04/2023,54804.56,
271200,ICT Hardware,416102,CDW Ltd,People,10377,ICT Architecture,C3003,IT Hardware,3685632,202302,17/04/2023,27149.04,
271200,ICT Hardware,416102,CDW Ltd,People,11017,ICT Operational,R4531,Computing - IT Hardware,3684459,202302,11/04/2023,652.67,
271200,ICT Hardware,416102,CDW Ltd,Place,10053,OPR0276 London Road 259 Whitley Depot,R4531,Computing - IT Hardware,3683237,202302,05/04/2023,2344.29,
201700,Grants,426206,Cell Therapy Sciences Ltd,Place,11084,ERDF - Innovation Programme,C5000,Grants,3686725,202302,04/05/2023,2729.62,
321050,"Temporary Accommodation, Short Stay",418857,Centennial Property Ltd t/a The Housing Network,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3692007,202302,01/05/2023,174179.85,
321050,"Temporary Accommodation, Short Stay",418857,Centennial Property Ltd t/a The Housing Network,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3687463,202302,01/05/2023,1325,
321050,"Temporary Accommodation, Short Stay",418857,Centennial Property Ltd t/a The Housing Network,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3692584,202302,01/05/2023,33690,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062756,202302,02/05/2023,1112,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062756,202302,02/05/2023,1112,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062756,202302,02/05/2023,1112,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20062756,202302,02/05/2023,1112,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060966,202302,20/04/2023,-1000,
321016,Nursing Homes,426101,Central England Healthcare - Eversleigh Nursing Home,People,11945,OP Nursing Care Placements,R5008,Other agencies,20060966,202302,20/04/2023,1112,
201700,Grants,412763,Central Schools Trust T/A Balsall Common Primary School,People,10118,Looked After Children Education Service - Pupil Premium Plus,R4701,External Funding (Grants) to external bodies,3691842,202302,25/05/2023,700,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3692884,202302,15/05/2023,23185.8,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3690277,202302,09/05/2023,-25392.4,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3690277,202302,09/05/2023,48329.71,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3690276,202302,02/05/2023,-25392.4,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3690276,202302,02/05/2023,49212.92,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3688305,202302,25/04/2023,24465.14,
381100,Fuel,403893,Certas Energy UK Ltd T/A Pace Fuelcare,Place,11277,Fleet Services,R3000,Vehicle Fuel & Oil,3687845,202302,17/04/2023,24841.33,
261200,Professional & Advisory Services,426277,Chalkline Education & Support Ltd,People,11901,SEN: Education other than at school,R4400,Services - Professional Fees,3692831,202302,22/05/2023,4600,
261200,Professional & Advisory Services,426277,Chalkline Education & Support Ltd,People,11901,SEN: Education other than at school,R4400,Services - Professional Fees,3690530,202302,09/05/2023,2300,
261200,Professional & Advisory Services,426277,Chalkline Education & Support Ltd,People,11901,SEN: Education other than at school,R4400,Services - Professional Fees,3690529,202302,02/05/2023,4600,
261200,Professional & Advisory Services,426277,Chalkline Education & Support Ltd,People,11901,SEN: Education other than at school,R4400,Services - Professional Fees,3690528,202302,03/04/2023,2300,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11879,IPS LD Maurice Edelman House,R1100,Agency Staff,3692257,202302,10/05/2023,1055.68,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11879,IPS LD Maurice Edelman House,R1100,Agency Staff,3692256,202302,03/05/2023,1045.05,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11248,IPS Eric Williams House,R1100,Agency Staff,3691620,202302,03/05/2023,820.39,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11879,IPS LD Maurice Edelman House,R1100,Agency Staff,3688503,202302,26/04/2023,1211.65,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11248,IPS Eric Williams House,R1100,Agency Staff,3688502,202302,26/04/2023,929.22,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11879,IPS LD Maurice Edelman House,R1100,Agency Staff,3687081,202302,19/04/2023,770.37,
261400,Temporary & Agency Staff,423415,Chambers Healthcare Services Ltd,People,11248,IPS Eric Williams House,R1100,Agency Staff,3688501,202302,19/04/2023,830.86,
151510,Public Health,418199,Change Grow Live Services Ltd,People,10170,Alcohol and Drugs,R5008,Other agencies,3687029,202302,26/04/2023,-136310,
151510,Public Health,418199,Change Grow Live Services Ltd,People,10170,Alcohol and Drugs,R5008,Other agencies,3687027,202302,26/04/2023,219439.75,
151510,Public Health,418199,Change Grow Live Services Ltd,People,10170,Alcohol and Drugs,R5008,Other agencies,3687029,202302,26/04/2023,272620,
151510,Public Health,418199,Change Grow Live Services Ltd,People,10170,Alcohol and Drugs,R5008,Other agencies,3687028,202302,26/04/2023,15990.08,
261200,Professional & Advisory Services,400888,Chapman Devere Consultants,People,10291,Section17 Payments Central,R4400,Services - Professional Fees,3692485,202302,22/05/2023,972.7,
261200,Professional & Advisory Services,400888,Chapman Devere Consultants,People,10291,Section17 Payments Central,R4400,Services - Professional Fees,3684611,202302,13/04/2023,4253.7,
261200,Professional & Advisory Services,400888,Chapman Devere Consultants,People,10084,Section17 Payments West,R4400,Services - Professional Fees,3692634,202302,12/04/2023,2270.5,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20062717,202302,02/05/2023,622.18,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20062717,202302,02/05/2023,622.18,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20062717,202302,02/05/2023,622.18,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20062717,202302,02/05/2023,622.18,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20060909,202302,20/04/2023,622.18,
321016,Nursing Homes,406026,Cherry Tree,People,11075,MH Nursing Care Placements,R5008,Other agencies,20060909,202302,20/04/2023,-559.51,
192110,Room Hire,400917,Cheylesmore Community Association Ltd,Place,10098,Municipal Elections,R2201,Venue Hire,3692759,202302,25/05/2023,880,
401303,Childrens Residential Foster Care,400920,Child Care Bureau Ltd,People,10706,Fostering - External Fees,R5008,Other agencies,3691331,202302,30/04/2023,3414.6,
401303,Childrens Residential Foster Care,400920,Child Care Bureau Ltd,People,10706,Fostering - External Fees,R5008,Other agencies,3691330,202302,30/04/2023,4476,
281300,Legal Opinion,400941,Christopher Watson,Place,10704,Legal Services,R4400,Services - Professional Fees,3687493,202302,21/04/2023,700,
201700,Grants,425512,Chromalock Ltd,Place,10429,ERDF - Green Business Programme,C5000,Grants,3690512,202302,19/05/2023,2730,
101100,Electrical,419656,CIA Fire and Security Ltd,Place,11149,War Memorial Park,R4007,Materials,3689189,202302,01/05/2023,870,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3692012,202302,23/05/2023,912.43,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3692552,202302,19/05/2023,1792.03,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3692040,202302,19/05/2023,1110.69,
321050,"Temporary Accommodation, Short Stay",416617,Citizen Housing Group Ltd,People,10291,Section17 Payments Central,R2202,Rent - Client Accomodation,3691618,202302,15/05/2023,650.48,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3689848,202302,04/05/2023,2420.05,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3691148,202302,04/05/2023,1440.99,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3689230,202302,04/05/2023,914.96,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3688135,202302,03/05/2023,1665.79,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3690481,202302,02/05/2023,1008.86,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3688136,202302,27/04/2023,829.73,
250000,Housing Management,416617,Citizen Housing Group Ltd,People,11788,Housing Options - Homelessness Administration,R2203,Rent Bonds - Client Accomodation,3689228,202302,27/04/2023,1927.3,
