Proclass,Proclass(T),Supplier,Supplier(T)2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
321017,Residential Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077587,202303,25/06/2023,564.02,
321017,Residential Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077461,202303,25/06/2023,564.02,
321017,Residential Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077587,202303,25/06/2023,564.02,
321017,Residential Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077370,202303,25/06/2023,604.11,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077370,202303,25/06/2023,604.11,
201700,Grants,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077370,202303,25/06/2023,604.11,
291120,Organised Activities,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,855.64,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
291120,Organised Activities,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
201700,Grants,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077340,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077491,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077491,202303,25/06/2023,564.02,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077340,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077340,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077491,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077634,202303,25/06/2023,564.02,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077491,202303,25/06/2023,564.02,
201700,Grants,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20077340,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077442,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077608,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077608,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077587,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,855.64,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,855.64,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,855.64,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077519,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077519,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077461,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077512,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077425,202303,25/06/2023,604.09,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077431,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077431,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077431,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077461,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077461,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077518,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077616,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077590,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077590,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077590,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077590,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077370,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077442,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077442,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077442,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077601,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077409,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077409,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077409,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077587,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077518,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077591,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077591,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077591,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077425,202303,25/06/2023,604.09,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077425,202303,25/06/2023,604.09,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077591,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077518,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077518,202303,25/06/2023,604.11,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077601,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077601,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20077601,202303,25/06/2023,564.02,
261414,Social & Community Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076713,202303,25/06/2023,530.42,
261414,Social & Community Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076713,202303,25/06/2023,530.42,
261414,Social & Community Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077175,202303,25/06/2023,591.15,
261414,Social & Community Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076713,202303,25/06/2023,530.42,
261414,Social & Community Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076714,202303,25/06/2023,530.42,
321100,Chilldren´s Community Based Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076703,202303,25/06/2023,530.42,
321100,Chilldren´s Community Based Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076703,202303,25/06/2023,530.42,
321100,Chilldren´s Community Based Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077195,202303,25/06/2023,530.42,
321100,Chilldren´s Community Based Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077195,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077000,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077000,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077000,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077000,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076722,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076722,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077165,202303,25/06/2023,530.42,
349999,Not Elsewhere Classified,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076701,202303,25/06/2023,530.42,
351400,Traffic Control,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076701,202303,25/06/2023,530.42,
351400,Traffic Control,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077028,202303,25/06/2023,591.15,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076701,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077028,202303,25/06/2023,591.15,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076714,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076909,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076909,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076740,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076740,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076864,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076864,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076909,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076836,202303,25/06/2023,591.15,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076836,202303,25/06/2023,591.15,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076943,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076943,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076847,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076847,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077173,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077173,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077283,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076689,202303,25/06/2023,591.15,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076703,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076864,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076864,202303,25/06/2023,530.42,
401101,Disabled Children - Short Day Breaks,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077175,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077175,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076909,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077283,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076713,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076692,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076692,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076692,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077176,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076689,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076689,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076689,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076714,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077162,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077162,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077162,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076740,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076722,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076722,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076943,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077028,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077028,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076847,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076740,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077173,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077173,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076701,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076714,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077175,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076949,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076949,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076949,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076949,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076847,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077156,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077156,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077156,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077156,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076692,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076836,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076836,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077162,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077165,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077195,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077195,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076943,202303,25/06/2023,530.42,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077176,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077176,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20077176,202303,25/06/2023,591.15,
401301,Social Community Care Supplies & Services - Children - Residential Services,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20076703,202303,25/06/2023,530.42,
201700,Grants,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20070318,202303,30/05/2023,604.11,
321050,"Temporary Accommodation, Short Stay",405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20070464,202303,30/05/2023,855.64,
320000,Social Community Care Supplies & Services,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20070373,202303,30/05/2023,604.09,
370000,Utilties,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20070544,202303,30/05/2023,564.02,
370000,Utilties,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20070544,202303,30/05/2023,564.02,
