Proclass,Proclass(T),Supplier,Supplier(T) ,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085453,202304,24/07/2023,664.02
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085301,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085301,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085479,202304,24/07/2023,"1,459.75"
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085301,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085273,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085436,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085252,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085284,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085459,202304,24/07/2023,704.11
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085444,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085459,202304,24/07/2023,704.11
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085213,202304,24/07/2023,659.14
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085301,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085479,202304,24/07/2023,"1,459.75"
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085454,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085284,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085436,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085273,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085412,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085444,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085213,202304,24/07/2023,659.14
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085444,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085454,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085479,202304,24/07/2023,"1,459.75"
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085184,202304,24/07/2023,622.68
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085267,202304,24/07/2023,604.09
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085338,202304,24/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085453,202304,24/07/2023,664.02
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085252,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085434,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085273,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085284,202304,24/07/2023,721.43
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20080315,202304,11/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085436,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085475,202304,24/07/2023,681.34
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085184,202304,24/07/2023,622.68
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085338,202304,24/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085267,202304,24/07/2023,604.09
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085338,202304,24/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085453,202304,24/07/2023,664.02
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085436,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085454,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085434,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20080315,202304,11/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085475,202304,24/07/2023,681.34
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085475,202304,24/07/2023,681.34
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085267,202304,24/07/2023,604.09
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085213,202304,24/07/2023,659.14
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085412,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20080315,202304,11/07/2023,604.11
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085434,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085454,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085412,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085412,202304,24/07/2023,715.31
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085444,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,10834,LD Nursing Care Placements,R5008,Other agencies,20085475,202304,24/07/2023,681.34
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085213,202304,24/07/2023,659.14
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085434,202304,24/07/2023,675.22
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20085252,202304,24/07/2023,715.31
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084547,202304,24/07/2023,592.34
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084514,202304,24/07/2023,708.47
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20085100,202304,24/07/2023,641.62
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084966,202304,24/07/2023,641.62
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084920,202304,24/07/2023,702.35
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20085094,202304,24/07/2023,641.62
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084656,202304,24/07/2023,710.22
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084667,202304,24/07/2023,649.49
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084538,202304,24/07/2023,589.96
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084978,202304,24/07/2023,620.66
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20084517,202304,24/07/2023,641.62
