Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20127620,202310,07/01/2024,850,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20127620,202310,07/01/2024,850,
321017,Residential Care,427615,A L A Care Ltd - Parkhouse Grange,People,11947,OP Residential Care Placements,R5008,Other agencies,20127620,202310,07/01/2024,850,
321050,"Temporary Accommodation, Short Stay",425294,A S Grewal T/A Asgro Ltd,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3742640,202310,01/01/2024,3720,
321050,"Temporary Accommodation, Short Stay",425294,A S Grewal T/A Asgro Ltd,People,10225,Housing - B&B Accommodation,R2202,Rent - Client Accomodation,3742173,202310,01/12/2023,3600,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20125733,202310,07/01/2024,1611.61,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20125733,202310,07/01/2024,1611.61,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20125733,202310,07/01/2024,1611.61,
321014,Domiciliary Care,425709,A&M Homecare Services Ltd,People,10949,LD Home Care,R5008,Other agencies,20125733,202310,07/01/2024,1638.91,
202000,Rents,426917,A1Place4U Ltd,People,11381,Homes for Ukraine,R6290,Client Support,3742488,202310,31/12/2023,500,
261100,Interpretation & Translation,414896,AA Global Language Services Ltd,People,10322,Interpreter Service,R4400,Services - Professional Fees,3743752,202310,31/12/2023,2472,
321016,Nursing Homes,405760,Abbey House,People,11945,OP Nursing Care Placements,R5008,Other agencies,20129892,202310,16/01/2024,664.02,
