Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-OA NW Deane,Other Expenses,45148,3111307867,2448,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA SW Eastleigh,Adult Social Care - Personal Allowance,45160,3111308558,739,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA SW New Forest East,Adult Social Care - Personal Allowance,45159,3111308463,936,R,Adult Services
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45142,6500016053,13500,R,Citizens Advice Hart District Ltd
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45142,6500016052,5500,R,Communities First Wessex
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45142,6500016054,6000,R,Open Sight Hampshire
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45140,3111305234,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45140,3111305235,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45140,3111305236,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45168,3111319690,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45168,3111319691,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45168,3111319692,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Other Services,45153,2216121496,5983.65,R,Lingland Interpreters
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45153,3111308053,869,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Client Lodgings and Accommodation,45153,3111308130,518.92,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Project Accommodation Resettled,Payments to Other Local Authorities,45148,2216118004,1485.36,R,EAST HAMPSHIRE DISTRICT COUNCIL
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45156,2216130585,661.89,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45156,2216128809,536.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45156,2216130867,2057.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45169,2216140194,1576.82,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45169,2216140194,1161.55,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45156,2216127865,661.37,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45156,2216128647,1245.21,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45156,2216128852,800.61,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45156,2216129318,873.77,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45147,2216117163,596.32,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45163,2216137507,1282.29,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45156,2216130501,1046.74,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45160,2216134077,512.57,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC New Forest,Social Care - Direct Payments,45156,2216130911,578.57,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45156,2216128083,781.07,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45156,2216129232,868.71,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45156,2216130483,532.29,R,PERSONAL PAYMENTS
