Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-OA NW Basingstoke,Furniture,45017,2215975279,629,R,Back Care Solutions Limited
Hampshire County Council,Adults' Health and Care,ACM-OA SW New Forest East,Adult Social Care - Personal Allowance,45020,3111236688,861.5,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA SW New Forest West,Adult Social Care - Personal Allowance,45029,3111244217,545,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-Reablement South,Drugs and Medical Supplies,45042,2215966778,525,R,County Supplies
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45017,2215934235,60000,R,Age UK Portsmouth
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45021,6500016021,15000,R,Basingstoke Voluntary Action
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45033,6500016023,5500,R,Communities First Wessex
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45021,6500016022,14946,R,More Education (T/A Koala Community
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45021,6500016020,7500,R,Unity
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45027,3111244024,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45027,3111244025,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45027,3111244026,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45022,3111243873,575,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Other Services,45027,2215940747,684,R,The Bigword Group
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Payments to Other Local Authorities,45043,2215967366,2100,R,Havant Borough Council
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45034,2215953654,683.95,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45034,2215951764,529.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45034,2215952179,582.36,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45034,2215950775,683.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45034,2215951589,1286.72,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45034,2215951809,827.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45034,2215952311,902.9,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45034,2215951778,1160.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45036,2215958526,855.39,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45037,2215960314,2908.32,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45034,2215953555,1081.63,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45034,2215950998,807.11,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45034,2215952217,897.67,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45034,2215953535,550.03,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45027,3111244080,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45027,3111244081,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45027,3111244082,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45027,3111244083,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Connect to Support,Advertising (non staff),45030,2215944793,618,R,McConnells (Midlands) Ltd
Hampshire County Council,Adults' Health and Care,Connect to Support,IT Software,45020,2215936677,11250,R,PCG UK Ltd
Hampshire County Council,Adults' Health and Care,Contain Outbreak Management Fund,Hired and Contracted Services,45029,2215942151,4150,R,Social Care Institute for Excellenc
Hampshire County Council,Adults' Health and Care,Contain Outbreak Management Fund,Hired and Contracted Services,45040,2215963187,4150,R,Social Care Institute for Excellenc
Hampshire County Council,Adults' Health and Care,COVID-19,Cleaning services,45027,2215940831,1975,R,HOMES REVITALISED
Hampshire County Council,Adults' Health and Care,COVID-19,Cleaning services,45021,2215936807,795,R,Keeping House
Hampshire County Council,Adults' Health and Care,DA Bill Support to Victims,Grant Income,45027,3111244087,15733.33,R,BASINGSTOKE AND DEANE
Hampshire County Council,Adults' Health and Care,DAAT - Drugs & Alcohol Treatment,Payments to Health Authorities,45027,3111244015,492861.36,R,Inclusion Drug Alcohol and Psycholo
Hampshire County Council,Adults' Health and Care,DAAT - Drugs & Alcohol Treatment,Payments to Health Authorities,45027,3111244088,90000,R,Inclusion Drug Alcohol and Psycholo
Hampshire County Council,Adults' Health and Care,DCMHN-Andover-Non Del,Mechanical Maintenance,45030,3400212630,17954.33,R,Emcor Group (UK) Plc
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Other Services,45036,2215957976,4330,R,Prepaid Financial Services Ltd
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Other Services,45042,2215965818,7625,R,Prepaid Financial Services Ltd
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Other Services,45042,2215965820,7330,R,Prepaid Financial Services Ltd
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Payments to Private Contractors,45027,3111244055,17183.56,R,ENHAM
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Private Contractors,45027,3111244018,27227.92,R,THE HAMPTON TRUST
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45027,3111244016,146308.96,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45027,3111244017,165632.12,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Grants to Local Organisations,Grant Aid and Donations,45020,6500016019,31500,R,CITIZENS ADVICE HAMPSHIRE
Hampshire County Council,Adults' Health and Care,Grants to Local Organisations,Grant Aid and Donations,45020,6500016018,198396,R,Communities First Wessex
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Cleaning Materials,45035,2215955793,1020,R,Blueleaf Limited
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45041,2215964464,1671.3,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45041,2215964983,537.5,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Uniform Business Rates,45017,3500253204,3637,R,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Uniform Business Rates,45042,3500253466,3635,R,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Disability Aids and Equipment,45042,2215965877,3200,R,BATHEX LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Disability Aids and Equipment,45042,2215965877,2100,R,BATHEX LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Disability Aids and Equipment,45042,2215965877,1925,R,BATHEX LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Uniform Business Rates,45017,3500253260,1266.7,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Uniform Business Rates,45042,3500253520,1262,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45029,2215942145,3668.05,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45029,2215942146,4334.3,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45033,2215948996,3313.62,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45042,2215965324,4041.28,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45027,2215940597,1050,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967575,972,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967575,540,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967575,1350,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45021,2215937721,1111,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45021,2215937733,1111,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45021,2215937733,886.25,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967529,2549,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967529,2828,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967529,1772.5,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967529,1778.5,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45017,2215938262,16250,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45044,2215968635,10000,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45044,2215968635,10000,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45028,2215941109,6160,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45028,2215941110,4650,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45041,2215964320,1570.4,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45041,2215964320,3233,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215957293,5130,R,Invacare Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45033,2215948834,895,R,JENX LIMITED
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45035,2215955718,1470,R,JOERNS HEALTHCARE
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45035,2215955762,645,R,JOERNS HEALTHCARE
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45035,2215955762,8040,R,JOERNS HEALTHCARE
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45041,2215963644,900,R,JOERNS HEALTHCARE
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942841,4950,R,MANGAR INTERNATIONAL LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45034,2215953866,1575,R,OTS LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45017,2215934278,1525.16,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45017,2215934281,1410.86,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45017,2215934298,1512.29,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45022,2215938201,1654.75,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45027,2215940685,1715.8,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45028,2215941710,769.97,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942144,1467.78,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942851,2431.22,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942854,1547.33,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942856,954.96,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45029,2215942857,1039.09,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45035,2215955683,925.9,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,1945.8,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,563.2,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,725.34,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,945.75,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,853.92,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958488,2815.8,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45043,2215967599,1576.4,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45041,2215964277,5775,R,SCAN MOBILITY LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45041,2215964277,7350,R,SCAN MOBILITY LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45036,2215958378,4120,R,SUMED INTERNATIONAL (UK) LTD
