Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-OA NE Hart & Alton,Payments to Private Contractors,45065,3111261873,1980.23,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA NW Basingstoke,Furniture,45050,2215975282,629,R,Back Care Solutions Limited
Hampshire County Council,Adults' Health and Care,ACM-OA NW Winchester,Rent,45072,2216010797,4949.7,R,WINCHESTER CITY COUNCIL
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45068,6500016026,7920,R,RUSHMOOR HEALTHY LIVING
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45068,6500016027,4500,R,TOP OF THE TOWN STUDIOS & GALLERY C
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Other Services,45077,2216013458,8500,R,IDOX SOFTWARE LTD
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45056,3111259253,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45056,3111259254,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45056,3111259255,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Other Local Authorities,45070,2216008010,89424.5,R,EASTLEIGH BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Other Local Authorities,45071,2216009732,20000,R,EASTLEIGH BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Other Local Authorities,45071,2216009739,50000,R,EASTLEIGH BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Client Lodgings and Accommodation,45049,3111250458,886.98,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Payments to Other Local Authorities,45063,2215994189,1050,R,HART DISTRICT COUNCIL
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Payments to Other Local Authorities,45057,2215983227,630,R,New Forest District Council
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Payments to Other Local Authorities,45065,2216000796,1846.84,R,New Forest District Council
Hampshire County Council,Adults' Health and Care,AHC -Local Welfare Assistance Schemes,Other Services,45050,2215975090,2187.46,R,SCRATCH
Hampshire County Council,Adults' Health and Care,AHC -Local Welfare Assistance Schemes,Payments to Voluntary bodies,45051,2215976925,30000,R,THE ENVIRONMENT CENTRE
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45064,2215999035,661.89,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45064,2215997209,512.23,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45064,2215997615,536.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45048,2215972190,535.67,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45064,2215996238,661.37,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45064,2215997036,1245.21,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45064,2215997254,800.61,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45064,2215997739,873.77,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45051,2215977015,530.36,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45051,2215977015,740.54,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45064,2215997223,1122.99,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45064,2215998939,1046.74,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45064,2215996459,781.07,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45064,2215997650,868.71,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45064,2215998918,532.29,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45072,2216011126,959.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45056,3111259258,370136.98,R,Southern Health NHS Foundation Trus
