Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-OA SE Havant North,Furniture,45184,2216161713,714,R,Back Care Solutions Limited
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45171,6500016063,10131,R,Basingstoke NeighbourCare
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45176,2216149050,750,R,IN CONTROL PARTNERSHIPS
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45196,6500016070,14500,R,SPEAKEASY ADVOCACY
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45196,3111332788,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45196,3111332789,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45196,3111332790,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Pupil / Client Travel Reimbursement,45175,2216147336,4900,R,Personal Payments
Hampshire County Council,Adults' Health and Care,AHC Transformation Recruitment,Staff Advertising - General,45191,2216179004,1537.5,R,Monster Worldwide Ltd
Hampshire County Council,Adults' Health and Care,AHC Transformation Team 3,Payments to Private Contractors,45191,3111324756,930.6,R,Apex Prime Care - Shirley
Hampshire County Council,Adults' Health and Care,AHC Transformation Team 3,Payments to Private Contractors,45191,3111324757,1306.8,R,Apex Prime Care - Shirley
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45188,2216171532,683.95,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45188,2216169721,554.01,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45188,2216171812,2125.71,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45175,2216147174,582.99,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45188,2216168775,683.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45188,2216169561,1286.72,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45188,2216169761,827.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45188,2216170237,902.9,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45198,2216187017,910.47,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45188,2216171449,1081.63,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45198,2216186295,538.57,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC New Forest,Social Care - Direct Payments,45177,2216150470,710.68,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC New Forest,Social Care - Direct Payments,45188,2216171852,597.86,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45177,2216151957,841.26,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45188,2216168993,807.11,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45188,2216170147,897.67,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45188,2216171429,550.03,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,CDOP Management,IT Software,45183,2216159545,15884.61,R,SOFTCAT
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332738,367000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332739,492000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332740,733000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332741,246000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332755,733000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332782,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332783,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332813,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332814,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332815,367000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45196,3111332816,246000,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Connect to Support,Advertising (non staff),45174,2216144681,1825,R,McConnells (Midlands) Ltd
Hampshire County Council,Adults' Health and Care,Connect to Support,Advertising (non staff),45174,2216144682,19843.98,R,Newsquest Media Group
Hampshire County Council,Adults' Health and Care,Connect to Support,IT Software,45174,2216145388,1500,R,PCG UK Ltd
Hampshire County Council,Adults' Health and Care,Connect to Support,IT Software,45195,2216181002,650,R,PCG UK Ltd
Hampshire County Council,Adults' Health and Care,Contain Outbreak Management Fund,Other Services,45197,2216184390,2500,R,Association of Directors of PH UK
Hampshire County Council,Adults' Health and Care,DAAT - Drugs & Alcohol Treatment,Medical and Counselling Fees,45190,2216176267,519460.75,R,Midlands Partnership NHS FT
Hampshire County Council,Adults' Health and Care,DAAT - Drugs & Alcohol Treatment,Payments to Health Authorities,45196,3111332767,492861.36,R,Inclusion Drug Alcohol and Psycholo
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Other Services,45196,2216183543,7320,R,Prepaid Financial Services Ltd
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Payments to Private Contractors,45196,3111332757,17183.56,R,ENHAM
Hampshire County Council,Adults' Health and Care,Direct Payment Support Service,Payments to Private Contractors,45195,2216181781,56500,R,People Place Lives Limited
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332744,65869.2,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332745,52622.82,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332746,65869.2,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332747,65869.2,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332748,52622.82,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Domestic Abuse,Payments to Voluntary bodies,45196,3111332749,52622.82,R,SOUTHERN DOMESTIC ABUSE SERVICE
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Disability Aids and Equipment,45184,2216162627,991,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45174,2216144530,765,R,Blueleaf Limited
