Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-Adult Placement Officer / SW's-HQ,"Newspapers, Periodicals and Publications",45209,2216198494,762,R,SHARED LIVES PLUS LIMITED
Hampshire County Council,Adults' Health and Care,ACM-Adult Placement Officer / SW's-HQ,"Newspapers, Periodicals and Publications",45209,2216198494,666.7,R,SHARED LIVES PLUS LIMITED
Hampshire County Council,Adults' Health and Care,ACM-OA NW Andover,Other Expenses,45222,3111347270,1011,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA NW Andover,Other Expenses,45222,3111347272,630,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA SE Gosport,Equipment,45230,3111350246,998,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-OA SE Gosport,Equipment,45230,3111350247,1014,R,Adult Services
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45202,6500016071,4750,R,FOREST FORGE THEATRE COMPANY
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Grant Aid and Donations,45219,6500016086,4950,R,Making Space for Crafts Ltd
Hampshire County Council,Adults' Health and Care,Adults Services Partnership Grant,Other Services,45201,2216188017,150000,R,Methodist Homes Association
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45223,3111347393,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45223,3111347394,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45223,3111347395,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Transport to School Activities,45230,2216230206,2550,R,Personal Payments
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Transport to School Activities,45230,2216230206,600,R,Personal Payments
Hampshire County Council,Adults' Health and Care,AHC Transformation Recruitment,Exhibitions (Purchase/Hire/Production),45201,3111334500,540,R,Corporate Resources
Hampshire County Council,Adults' Health and Care,AHC Transformation Recruitment,Staff Advertising - General,45215,2216206695,1650,R,Monster Worldwide Ltd
Hampshire County Council,Adults' Health and Care,AHC Transformation Recruitment,Staff Advertising - General,45225,2216225347,1000,R,Monster Worldwide Ltd
Hampshire County Council,Adults' Health and Care,AMHP,Educational and Vocational Training,45202,2216189427,1750,R,Edge Training and Consultancy Ltd
Hampshire County Council,Adults' Health and Care,Autism IAG Service,Payments to Voluntary bodies,45202,2216190272,50000,R,AUTISM HAMPSHIRE
Hampshire County Council,Adults' Health and Care,Careers in Health & Social Care,Educational and Vocational Training,45230,2216229876,1197,R,PETER SYMONDS COLLEGE
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45218,2216216893,661.89,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45218,2216215157,536.14,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45203,2216192314,1035.26,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45203,2216192314,1876.54,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45218,2216214223,661.37,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45218,2216214995,1245.21,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45218,2216215196,800.61,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45218,2216215653,873.77,R,PERSONAL PAYMENTS
