Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,ACM-OA SW New Forest East,Adult Social Care - Personal Allowance,45099,3111277306,861.5,R,Adult Services
Hampshire County Council,Adults' Health and Care,ACM-Reablement South,Drugs and Medical Supplies,45105,2216058170,525,R,County Supplies
Hampshire County Council,Adults' Health and Care,ACM-Reablement West,Drugs and Medical Supplies,45092,2216033415,525,R,County Supplies
Hampshire County Council,Adults' Health and Care,ACM-Reablement West,Other Expenses,45098,2216048486,515,R,ALTON MALTINGS CENTRE
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45084,3111274430,57332.88,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45084,3111274431,6636.8,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Advocacy,Payments to Private Contractors,45084,3111274432,6636.72,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Other Services,45090,3111276488,10500,R,Lingland Interpreters
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Other Services,45093,2216036730,3546.59,R,Lingland Interpreters
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Other Services,45093,2216036805,3845.76,R,Lingland Interpreters
Hampshire County Council,Adults' Health and Care,Afghan Hotels Wraparound Funding ( Afgha,Payments to Voluntary bodies,45083,3111274185,575,R,Adult Services
Hampshire County Council,Adults' Health and Care,Afghan Integration Resettled,Client Lodgings and Accommodation,45078,3111265999,727.17,R,Adult Services
Hampshire County Council,Adults' Health and Care,AMHP,Educational and Vocational Training,45096,2216040670,675,R,BOURNEMOUTH UNIVERSITY
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-LD Hart & Rushmoor,Social Care - Direct Payments,45097,2216045591,683.95,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45097,2216043741,529.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-MH South East,Social Care - Direct Payments,45097,2216044146,554.01,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45085,2216024045,661.94,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Bas Deane & EHN,Social Care - Direct Payments,45085,2216024045,1713.15,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45097,2216042764,683.42,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45097,2216043571,1286.72,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45097,2216043785,827.3,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Fareham & Gosp,Social Care - Direct Payments,45097,2216044274,902.9,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Hart & Rushmoor,Social Care - Direct Payments,45099,2216050553,854.88,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Havant & EHS,Social Care - Direct Payments,45097,2216045503,1081.63,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC New Forest,Social Care - Direct Payments,45082,2216016840,820.65,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45086,2216025926,517.2,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45089,2216027491,612.86,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45096,2216041279,946.92,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45097,2216042986,807.11,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45097,2216044182,897.67,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45097,2216045483,550.03,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Carers Sup-DP-PSSSMC Winch & TVN,Social Care - Direct Payments,45097,2216045835,605.03,R,PERSONAL PAYMENTS
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45084,3111274449,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45084,3111274450,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45084,3111274451,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children 0-5,Payments to Health Authorities,45084,3111274452,370136.98,R,Southern Health NHS Foundation Trus
Hampshire County Council,Adults' Health and Care,Children and Young People,Advertising (non staff),45082,2216017580,882,R,PULSE OUTDOOR MEDIA LIMITED
Hampshire County Council,Adults' Health and Care,Clinical Skills,Educational and Vocational Training,45089,2216027739,895,R,SOUTHERN HEALTH NHS FOUNDATION TRUS
Hampshire County Council,Adults' Health and Care,Clinical Skills,Educational and Vocational Training,45089,2216027745,895,R,SOUTHERN HEALTH NHS FOUNDATION TRUS
Hampshire County Council,Adults' Health and Care,Connect to Support,IT Software,45104,2216056395,1500,R,PCG UK Ltd
