Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   3,,,,,,
Start Date:  28 May 2023,,,,,,
End Date:   24 June 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110277585,20 Jun 2023,"2,789,807.99",
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110278849,21 Jun 2023,"2,789,807.99",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110289183,19 Jun 2023,"2,737,225.17",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110279126,21 Jun 2023,"2,700,912.00",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048974,09 Jun 2023,"2,682,655.84",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Office Cleaning,1005\5110275039,30 May 2023,"2,535,596.97",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110280297,21 Jun 2023,"2,491,206.55",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110279159,21 Jun 2023,"2,444,268.02",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110288613,16 Jun 2023,"2,406,020.57",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,Track General Maintenance,1005\5110280109,31 May 2023,"2,367,821.64",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900049065,23 Jun 2023,"2,341,298.29",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Road Maintenance,1002\5110289690,21 Jun 2023,"2,169,921.45",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110276756,30 May 2023,"2,151,797.06",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900049062,23 Jun 2023,"2,132,438.44",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900049078,23 Jun 2023,"2,129,273.66",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900048989,09 Jun 2023,"2,029,069.37",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002\5110274100,05 Jun 2023,"1,885,064.43",
