Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  8,,,,,,,,,
Start Date: 15 October 2023,,,,,,,,,
End Date: 11 November 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110345002,01/11/2023,"£2,729,876.96",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110342109,01/11/2023,"£2,598,122.16",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110347393,23/10/2023,"£2,491,206.55",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110343610,18/10/2023,"£2,328,407.01",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049594,10/11/2023,"£2,326,705.05",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049563,27/10/2023,"£2,225,226.83",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049591,10/11/2023,"£2,164,061.89",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049607,10/11/2023,"£2,138,332.00",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049567,27/10/2023,"£2,054,898.68",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110357527,08/11/2023,"£1,975,548.50",,,,
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110338431,25/10/2023,"£1,869,921.82",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110343608,18/10/2023,"£1,730,000.00",,,,
