Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
TFL CORPORATE,Grosvenor Estate Management Limited,Miscellaneous Costs,1001/1900201421,01 December 2023,"2,682,700.00",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Track General Maintenance,1005/5110357585,13 November 2023,"2,593,153.96",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110353937,22 November 2023,"2,491,206.55",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110358967,15 November 2023,"2,406,020.57",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049702,08 December 2023,"2,276,193.35",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110353698,22 November 2023,"2,257,895.15",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049665,24 November 2023,"2,206,331.24",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049715,08 December 2023,"2,205,587.20",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049699,08 December 2023,"2,169,250.46",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049669,24 November 2023,"2,054,898.69",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110356131,28 November 2023,"1,977,000.00",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110366883,08 December 2023,"1,873,660.13",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110372490,06 December 2023,"1,820,637.86",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110372047,06 December 2023,"1,811,265.68",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110358955,15 November 2023,"1,730,000.00",,,,
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110355697,22 November 2023,"1,719,668.08",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110361137,23 November 2023,"1,691,861.99",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110372221,06 December 2023,"1,661,471.13",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110365676,27 November 2023,"1,624,471.10",,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901699383,29 November 2023,"1,575,640.00",,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901698811,14 November 2023,"1,575,640.00",,,,
TRANSPORT TRADING LTD,CITY OF WESTMINSTER,Rates,1004/1901698812,14 November 2023,"1,575,640.00",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110354707,13 November 2023,"1,526,247.62",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049712,08 December 2023,"1,524,177.41",,,,
