Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  13,,,,,,,,,
Start Date:  03 March 2024,,,,,,,,,
End Date: 31 March 2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110426971,28 March 2024,"£3,095,315",,,,
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110426772,22 March 2024,"£3,053,303",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110411065,04 March 2024,"£2,986,181",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110401122,04 March 2024,"£2,800,243",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110418064,22 March 2024,"£2,791,636",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110418098,22 March 2024,"£2,598,571",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110414904,22 March 2024,"£2,491,207",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110400907,04 March 2024,"£2,441,952",,,,
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Traction Current,1025/5110409438,18 March 2024,"£2,439,252",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900050139,28 March 2024,"£2,393,662",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110427709,22 March 2024,"£2,392,368",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900050077,15 March 2024,"£2,377,563",,,,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900050155,28 March 2024,"£2,241,385",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110423335,19 March 2024,"£2,053,655",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900050142,28 March 2024,"£2,028,769",,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Maintenance Materials,1033/5110423894,26 March 2024,"£2,024,734",,,,
LONDON UNDERGROUND LTD,ELEPHANT & CASTLE PROPERTIES CO LTD,Civil Engineering Construction Works,1005/5110343898,06 March 2024,"£1,988,500",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900050081,15 March 2024,"£1,957,440",,,,
SURFACE TRANSPORT CORP,L B Hounslow,Civil Engineering Construction Works,1002/5110426704,20 March 2024,"£1,854,028",,,,
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110413783,14 March 2024,"£1,810,810",,,,
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,MR Construction Costs,1005/5110421557,20 March 2024,"£1,763,131",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110428931,22 March 2024,"£1,700,563",,,,
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110423330,19 March 2024,"£1,634,850",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900050154,28 March 2024,"£1,567,417",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900050066,15 March 2024,"£1,548,551",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110418516,11 March 2024,"£1,545,615",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110426969,28 March 2024,"£1,526,248",,,,
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110408909,14 March 2024,"£1,494,225",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900050140,28 March 2024,"£1,480,633",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900050152,28 March 2024,"£1,462,361",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110418513,08 March 2024,"£1,452,400",,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Maintenance Materials,1033/5110423845,26 March 2024,"£1,441,783",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Contracted Services - Roads,1002/5110416472,22 March 2024,"£1,431,872",,,,
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110418130,20 March 2024,"£1,425,723",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110414093,06 March 2024,"£1,387,720",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900050143,28 March 2024,"£1,386,928",,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110423581,20 March 2024,"£1,355,316",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110414587,22 March 2024,"£1,311,800",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110428163,22 March 2024,"£1,306,968",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110410473,19 March 2024,"£1,295,771",,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110428952,22 March 2024,"£1,245,425",,,,
SURFACE TRANSPORT CORP,Kier Transportation Ltd,Road Maintenance,1002/5110426769,22 March 2024,"£1,238,958",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110410984,04 March 2024,"£1,231,641",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900050065,15 March 2024,"£1,198,238",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900280139,22 March 2024,"£1,187,092",,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800049969,07 March 2024,"£1,162,559",,,,
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110428936,22 March 2024,"£1,152,748",,,,
SURFACE TRANSPORT CORP,One time supplier - external,Other Joint Funding Contributions,1002/1900078328,05 March 2024,"£1,152,047",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110418911,22 March 2024,"£1,150,000",,,,
SURFACE TRANSPORT CORP,Tarmac Kier Joint Venture,Road Maintenance,1002/5110428915,22 March 2024,"£1,145,759",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900050131,28 March 2024,"£1,138,403",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110407583,11 March 2024,"£1,135,875",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110413664,22 March 2024,"£1,135,711",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110407459,13 March 2024,"£1,135,711",,,,
